Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Exotec,"Exotec builds elegant goods-to-person warehouse robotic solutions for the world's largest brands. The company combines the best of hardware and software to offer flexible warehouse systems that drive operational efficiency, add resiliency, and improve working conditions for warehouse operators. 30+ industry-leading brands including Carrefour, Decathlon, Gap, and Uniqlo trust Exotec to improve their operations and profitably navigate rapid shifts in business models and customer expectations.

For more information please visit https://www.exotec.com/",Robotics Engineering,"1,001-5,000 employees",Privately Held,"Wasquehal, Hauts-de-France, France",France,exotec.com,https://www.linkedin.com/company/exotec
The Autonomous Way (TAW) France,"Robotique et IA - Facility Management / Aviculture & Agriculture de précision 
Robots 100% autonomes",Robotics Engineering,11-50 employees,Privately Held,"Auray, Brittany, France",France,theautonomousway.com,https://www.linkedin.com/company/the-autonomous-way
CyBotics Association,"CyBotics est une association régie par la loi 1901, située à IXCampus, dédiée à la promotion et au développement de la robotique. Notre mission est de fédérer les passionnés, les étudiants et les professionnels autour de projets de robotique.


À terme, CyBotics ambitionne de se transformer en bureau d'études afin de mener des missions spécialisées dans le domaine de la robotique et d'apporter des solutions innovantes à divers projets.",Robotics Engineering,2-10 employees,Non Profit,"St.-Germain-en-Laye, Île-de-France, France",France,cybotics.fr,https://www.linkedin.com/company/cybotics-association
ROBOGENIE école de robotique,"Robogenie, école de robotique pour apprendre à construire et programmer des robots.",Robotics Engineering,2-10 employees,Privately Held,"Asnières-sur-Seine, Île-de-France, France",France,robogenie.fr,https://www.linkedin.com/company/robogenie-ecole-robotique
AspenNav,"Driving the future of autonomy, AspenNav builds the navigation intelligence for tomorrow's mission-critical platforms.
Our software‐defined, sensor‐agnostic navigation platform unifies GNSS, inertial, vision, radio, and emerging sensors into a single intelligent system that delivers robust, high‐accuracy positioning—even in GNSS‐denied or contested environments.
Unlike traditional navigation solutions tied to proprietary hardware, AspenNav decouples software from sensors. Using advanced data‐fusion algorithms and AI‐driven modeling, we unlock high performance from affordable, off‐the‐shelf components, reducing cost, complexity, and integration time.
AspenNav works like an operating system for navigation: a modular, scalable foundation that adapts to any vehicle, mission, or industry without requiring deep navigation expertise. Customers can deploy in days, customize when needed, and scale confidently as requirements evolve.
We serve organizations across maritime autonomy, aerial drones, defense, space, and industrial robotics, helping them navigate reliably where conventional systems fall short.

Navigate every challenge. One platform, endless solutions.",Robotics Engineering,2-10 employees,Privately Held,"Mérignac, Nouvelle-Aquitaine, France",France,aspennav.com,https://www.linkedin.com/company/aspennav
tplusone,"Many people think - amongst them Musk - Humanoid Robots will be to the 21st century what cars were for the 20th. They integrate so easily inside any environment that they'll become an essential part of our economy, especially as labor shortages continue to rise.  

Right now, hardware is almost ready, but software remains a challenge. Focusing on the latter, Tplusone aims to develop a complete brain for humanoids, to make them as versatile as humans, and tackle any physical work.",Robotics Engineering,2-10 employees,Privately Held,"Saint-ouen, France",France,tplusone.io,https://www.linkedin.com/company/tplusoneio
SVD Robotics,"Spécialisé dans la simulation de procédés robotisés, la génération de trajectoires sur des géométries complexes et la programmation paramétrique des robots industriels, SVD Robotics intervient dans le développement d’applications robotiques innovantes et flexibles.

• Ingénierie et simulation robotique
De la coordination de systèmes multi-robots à l’optimisation des trajectoires d’outil, en passant par la résolution automatique des problèmes d’accessibilité et de collision, SVD Robotics utilise des techniques de pointe pour automatiser la programmation des robots et faciliter le déploiement de projets robotiques.

• Développement de procédés robotisés
Avec une expertise couvrant des champs de compétences complémentaires telles que la création de jumeaux numériques, l’intégration de capteurs ou encore la programmation de trajectoires sur des modèles CAO et des scans 3D, SVD Robotics accompagne les industriels pour développer des solutions robotiques particulièrement adaptées au traitement de petites séries, de pièces complexes ou de produits variables.

• Interfaces de pilotage sur-mesure
SVD Robotics propose des interfaces de pilotage sur-mesure pour créer des systèmes de production flexibles qui s’adaptent à la variabilité de la production. Configurées en fonction des paramètres métiers, ces IHM intuitives et no-code permettent aux opérateurs d’adapter très rapidement le procédé à la production de nouvelles pièces.",Robotics Engineering,Self-employed,Privately Held,"Bordeaux, Nouvelle-Aquitaine, France",France,svd-robotics.com,https://www.linkedin.com/company/svd-robotics
URDF Studio,,Robotics Engineering,Self-employed,Privately Held,"Paris, Île-de-France, France",France,urdfstudio.com,https://www.linkedin.com/company/urdfstudio
IVERIS,"Nos solutions innovantes au cœur de votre productivité
Nous transformons vos défis industriels en leviers de performance en optimisant vos lignes de production grâce à des solutions sur mesure, alliant innovation technologique et excellence opérationnelle.

 Compétences clés :
• Gestion de projets complexes,
• Ingénierie mécanique, robotique, logiciel & calculs,
• Supply chain & gestion fournisseurs,
• Suivi de chantier en coactivité, avec une installation à l’échelle mondiale,

 Nos équipes agiles s’adaptent aux contraintes et aux standards clients, en s’appuyant sur un solide réseau de partenaires et une approche rigoureuse orientée résultats.",Robotics Engineering,11-50 employees,Self Owned,"Saint Brévin Les Pins, Loire Atlantique, France",France,iveris.fr,https://www.linkedin.com/company/iveris-sas
Axiom Philippines,"The people who grow our food, maintain our infrastructure, and rebuild after every storm are doing some of the most important work in the world. Axiom builds robotic services that help them do it better, with more precision, more reach, and the kind of accountability the work deserves.

We operate professional drone based services for Philippine farms and cooperatives. Although our work starts in agriculture, over time, it expands to every industry; utilities, ports, infrastructure, disaster response, environmental monitoring, and wherever the work of building, growing, and sustaining what people depend on needs partners who can be trusted to get it right, Axiom is built to be there.

Why we exist: to be the truth in automation, so that the work of building, growing, and sustaining what people depend on can be done with clarity and confidence.

We serve organizations whose work matters in the real world; cooperatives, plantations, and eventually utilities and infrastructure operators across Southeast Asia, who carry the responsibility of getting it right for the people who depend on them.

We're hiring our founding team. We're looking for people who care what they're building, who they're building it with, and who it serves. If that sounds like you, we'd like to hear from you.

Open founding leadership roles:

• Chief Financial Officer
• Head of Field Operations
• Head of People
• VP Engineering

Axiom is privately capitalized and headquartered in Bonifacio Global City, Metro Manila.",Robotics Engineering,11-50 employees,Privately Held,"Bonifacio, Corsica, France",France,axiom.com.ph,https://www.linkedin.com/company/axiomphilippines
Team Chat Robotique,Association d'anciens participants de la coupe de France de robotique se retrouvant pour construire des robots et continuer à participer à la compétition.,Robotics Engineering,2-10 employees,Non Profit,"Le Creusot, Bourgogne-Franche-Comté, France",France,gitlab.io,https://www.linkedin.com/company/team-chat-robotique
Novyn,"Novyn — Intelligence At Work
Novyn est un intégrateur de robotique de service professionnelle, basé dans les Hauts-de-France, avec une ambition nationale.
Nous ne fabriquons pas de robots. Nous les sélectionnons, les installons, les programmons et les maintenons — pour qu'ils s'intègrent naturellement dans votre activité, dès le premier jour.
Notre offre couvre six domaines :

 Meet — accueil et réception

 Reach — engagement client en magasin

 Serve — service et livraison

 Watch — sécurité augmentée

 Flow — logistique interne

 Clean — hygiène et désinfection
Notre approche : un pilote terrain de 3 semaines, des résultats mesurables, puis un déploiement progressif et maîtrisé.
Un écosystème, pas seulement des robots. Chaque robot Novyn s'inscrit dans un cycle complet : sélection rigoureuse, intégration sur-mesure, maintenance et évolution, puis reconditionnement responsable. Pour la fin de vie de nos équipements, nous collaborons avec des entreprises adaptées spécialisées dans le traitement DEEE et le reconditionnement informatique — des acteurs de l'Économie Sociale et Solidaire ancrés dans les territoires.
Intelligence At Work — l'intelligence robotique au service de votre exploitation, et de l'emploi local et inclusif.
 Lille (59) — expansion Nantes prévue fin 2026

 sales@novyn.tech",Robotics Engineering,2-10 employees,Privately Held,"Lille - Paris - Nantes, France",France,novyn.tech,https://www.linkedin.com/company/novyntech
GERARD ROBOTICS,"Autonomous robots for poop collection.
We are mechanical and AI engineers.

why are we doing that ?
humanity breeds 85 billion farmland animals , making 24 billion tons of poop every year. With better supervision, we can get biogas green energy, and soil nutrients to regenerate our lands. 

It starts by collecting poop !",Robotics Engineering,2-10 employees,Privately Held,"Paris, Île-de-France, France",France,gerardrobotics.com,https://www.linkedin.com/company/gerard-robotics
Maestro Consortium,"The Maestro Consortium is a collaborative initiative uniting academia and industry to develop and maintain an open-source software stack for robotic locomotion and manipulation. Bringing together leading research institutions and industrial partners, Maestro fosters innovation in motion planning, control, perception, and manipulation, with applications spanning manufacturing, automation, autonomous vehicles, simulation, and industrial inspection.

By combining cutting-edge research with long-term industrial support, Maestro ensures software stability, fosters a thriving developer community, and accelerates the adoption of advanced robotics solutions.

 Join us to shape the future of robotics!",Robotics Engineering,Self-employed,Partnership,"Paris, Île-de-France, France",France,maestro-consortium.org,https://www.linkedin.com/company/maestro-consortium
EVOROBS,"EVRY ORGANISATION ROBOTIC STUDENT (EVOROBS) est l'association de robotique de l'UFR Science et Technologie de l'université d'Évry Paris-Saclay, ouverte à toutes celles et ceux qui souhaitent explorer, apprendre ou approfondir la robotique, que vous soyez débutant ou expérimenté.

Notre mission est double :

Permettre à chaque étudiant de réaliser ses projets robotiques, seul ou en équipe.

Offrir un espace d'apprentissage ouvert à tous, débutants comme confirmés.

Nous participons à des concours, organisons des ateliers pratiques et développons des robots innovants pour relever des défis techniques et sociétaux.

Rejoignez-nous pour construire le futur, un robot à la fois.

Contact: evorobs@gmail.com",Robotics Engineering,11-50 employees,Non Profit,"Évry-Courcouronnes, Île-de-France, France",France,,https://www.linkedin.com/company/evry-organisation-robotics-students-evorobs-
Alké ingénierie,"Alké Ingénierie is a Vendée-based company whose main activities are design and execution of mechanical/mecatronic projects, and development of motorized axes. We support companies on R&D projects for products or processes, from design phase to finished product. Creation, improvement, optimization, or industrialization : Alké offers solutions to develop your projects or strengthen your engineering teams.",Robotics Engineering,Self-employed,Privately Held,"Les Essarts, Pays de la Loire, France",France,alke-ingenierie.com,https://www.linkedin.com/company/alke-ingenierie
Hephaistos-Innovation,"Hephaistos est une jeune startup en cours de création. Nous souhaitons utiliser de la robotique modulaire à grande échelle pour automatiser la construction de bâtiments.
La techno est pensée autour de petits modules d'environ 10 cm de côté qui peuvent s'assembler pour réaliser des fonctions haut niveau (robots peintres, échafaudage, second œuvre, gros œuvre, etc.) à la manière de Lego motorisé intelligent (un peu comme les réplicants dans Stargate ou les microbots dans Nouveaux héros).",Robotics Engineering,2-10 employees,Privately Held,"Rennes, Brittany, France",France,,https://www.linkedin.com/company/hephaistos-innovation
E3bot,"E3bot is an educational robotics company focused on making STEM and AI learning more accessible through affordable, open-source, and hands-on tools. Our solutions combine educational robotics, practical training, and innovative learning methods to help students build technical skills, creativity, and problem-solving ability.

Founded with a mission to expand access to high-quality STEM education, E3bot works with partners and institutions to deliver scalable learning experiences that prepare young people for the future of work and innovation.",Robotics Engineering,2-10 employees,Educational,"Paris, Île-de-France, France",France,e3bot.com,https://www.linkedin.com/company/e3bot
