Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
HTC,"HTC Corporation (HTC) designs for a better world, connecting people in ways never thought possible. 
 
As a global innovator in smart mobile devices, connected technology and virtual reality, HTC has produced award-winning products and industry firsts since its inception in 1997, including the highly acclaimed One and Desire line of smartphones, the HTC Vive virtual reality system and Under Armour Healthbox.  
 
HTC’s pursuit is simple: to bring brilliance to life. The Pursuit of Brilliance lives through everything we do, and keeps us searching for more. Our motivation is rooted in designing game-changing mobile experiences and devices for consumers around the world, and our legacy is built upon redefining everything we’ve imagined before. 
 
Within the authentic culture of HTC, YOU have the opportunity to design and drive the story of your own career within the mobile and virtual reality technology landscape. We are a forward thinking collaborative group who bring passion to our work and find excitement in discovering, designing and developing new products that provide diverse innovative solutions to our customers. If you want to learn more or explore new career opportunities to join HTC visit us at https://www.linkedin.com/company/htc/careers.
 
HTC_ The Pursuit of Brilliance.",Consumer Electronics,"1,001-5,000 employees",Public Company,"Singapore, Singapore",Singapore,htc.com,https://www.linkedin.com/company/htc
Rotimatic,"Zimplistic’s vision is to accelerate the world’s transition to eating healthy at home through smart technology and robotics. It’s flagship product, Rotimatic, enables users to make flatbreads with a touch of a button in flat 90 seconds. 

Consumerism has led to a shift in the eating habits where people are more reliant on supermarkets and frozen food because it is convenient and easy. Busy lifestyles and lack of time has led to a generation of ‘instant food’ that is loaded with preservatives and additives. With a vision of seamlessly integrating consumer robotics with IoT, we are working to bring about a day when families can eat healthy homemade meals with just the touch of a button.

Zimplistic’s flagship product, Rotimatic is the world’s first and only fully automated, IoT and AI enabled kitchen robot that measures, kneads, rolls, cooks and puffs perfectly round flatbreads, every single time. It takes away the hassle of making flatbreads with hands and allows users to get creative without compromising on health.

Rotimatic has already touched lives of 70,000 families around the world and has been instrumental in reversing unhealthy eating habits, one roti at a time. Rotimatic is transforming home kitchens and revolutionizing the kitchen robotics segment.",Consumer Electronics,51-200 employees,Privately Held,"Singapore, Singapore",Singapore,zimplistic.com,https://www.linkedin.com/company/rotimatic
Brilliant Labs,Open eyewear for the AI era,Consumer Electronics,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,brilliant.xyz,https://www.linkedin.com/company/brilliantlabsltd
MMD Monitors & Displays,"MMD is a wholly owned company of TPV Technology Limited, the world’s largest monitor manufacturer. Established in 2009 through a brand license agreement between Philips and TPV, MMD exclusively markets and sells Philips-branded LCD monitors and digital signage displays worldwide.

Headquartered in Amsterdam, with design and development centers in Taiwan, MMD leverages Philips’ brand heritage and TPV’s manufacturing strength to deliver innovative, reliable, and high-quality display solutions to markets around the globe. Our dedicated team of display experts brings deep industry experience, allowing us to move with speed and precision in a competitive and rapidly evolving industry.

Unlike diversified competitors, MMD focuses solely on the displays market—enabling us to offer tailored service and dedicated support to our partners and customers. Through a consistent push & pull strategy, we ensure a relevant, demand-driven product portfolio that supports both profitability and long-term channel relationships.

In 2022, MMD introduced Evnia, a Philips sub-brand that redefines gaming with a fresh, inclusive perspective. With a focus on stylish design, immersive technology, and accessibility, Evnia brings a new energy to the gaming space—welcoming everyone to own their gaming experience.

MMD is committed to operational excellence, long-term partnerships, and a forward-thinking approach to product innovation, positioning us as a trusted partner for all channel intermediaries in the global display market.",Consumer Electronics,51-200 employees,Privately Held,"Singapore, Singapore",Singapore,mmdmonitors.com,https://www.linkedin.com/company/mmd-monitors-&-displays
AXTRO Pte. Ltd.,"AXTRO Pte. Ltd. is a Singapore-based company that supports organisations in supplying and implementing connected devices, customised merchandise, and large-scale fulfilment programmes.

We work on projects that combine hardware, logistics, and operational coordination. Our scope includes wearable and connected health devices, IoT solutions, corporate gifts and event kits, as well as distribution of sports and electronics products. We support clients from sourcing and product customisation through to packaging, deployment, and ongoing programme support.

For connected health, wearable and IoT initiatives, we work with organisations to design and implement solutions that are workable at scale. This may involve advising on device suitability, managing customisation and production, coordinating deployment across multiple locations or user groups, and supporting long-term programme continuity. These projects are commonly linked to corporate wellness initiatives, institutional deployments, population-scale programmes, and commercial use cases where reliability and consistency are important.

Through AXTRO Gifts, we help organisations source and deliver branded merchandise, staff kits, and redemption items. We focus on production practicality, clear timelines, and dependable delivery so campaigns and programmes can run smoothly.

AXTRO Sports manages our omni-channel retail and distribution activities, supplying wearable devices, sports products, and related equipment to both individual customers and institutional buyers. In addition to online and offline retail, we support bulk supply, channel distribution, programme fulfilment, and local after-sales coordination, allowing us to serve both everyday customers and organisations running structured deployments.

We combine regional manufacturing access with local project coordination and support in Singapore. Our focus is on delivering solutions that are practical, scalable, and dependable in real operating environments.",Consumer Electronics,11-50 employees,Privately Held,"Kampong Ubi, Central Region, Singapore",Singapore,axtro.com,https://www.linkedin.com/company/axtro
Advantir Innovations,"At Advantir we build new technologies that create delightful consumer experiences for the world. 

Our flagship product is the Swirl.Go soft serve capsule system, the world’s first system that creates premium quality soft serve ice cream (i.e ""Nespresso"" for  desserts).

Customers can simply choose a Swirl Pod of their favourite brand and flavour, insert it into the Swirl.Go dispenser, and enjoy premium quality soft serve within seconds.

We are a institution backed company with presence in Korea, Taiwan and Thailand. We are also the winners of

• Most Tech Driven Startup @ Ideasinc 2018
• Champion of Foodtech Category for IPHatch Day 2018
• Top 20 finalist in the Korea Grand Startup Challenge 2019 held in Korea
• 2019 TTA Accelerator Top 10 (Taiwan)
• Space-F X Weworks Labs Foodtech Accelerator 2019 (Thailand)",Consumer Electronics,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,swirlgo.com,https://www.linkedin.com/company/advantir-innovations
Play For Dream,"Founded in 2020, we are a leading deep-tech company dedicated to transforming digital entertainment and productivity through advanced spatial computing devices. Our mission is to elevate human capabilities by revolutionizing how the world acquires, communicates, and interacts with information, spearheading the 3D infotech revolution and enriching society.

Leveraging our full-stack R&D expertise—from hardware design to software development and system integration—we have successfully launched two generations of AI-powered VR products. Our third-generation device, the world’s first Android-based MR headset, saw overwhelming demand, with pre-orders oversubscribed just hours after its Kickstarter launch.

The excitement around our products—where mixed reality converges with AI—is palpable. It’s inspiring to see so many people embracing our vision of a future where everyone is empowered to connect, create and collaborate, anytime, anywhere.",Consumer Electronics,51-200 employees,Privately Held,"Central Region, Singapore",Singapore,pfdm.ai,https://www.linkedin.com/company/play-for-dream
Elush Retail Group,"Elush Retail started its retail business in July 2003. Our core business, iStudio, is the biggest Apple Premium Reseller in Singapore with 15 retail stores islandwide, including 4 in the Departure area of Singapore Changi Airport at Terminal 1, 2, 3 & 4. Get your Apple products tax free when you shop with iStudio at Changi Airport when transiting through or departing from Singapore. Alternatively, pre-order your Apple products and complementary accessories at iShopChangi before flying off.

Find iStudio now at 7 new locations - Bedok Mall, City Square Mall, Jurong East Mall, Jurong Point, NEX, Raffles City Shopping Centre and Tampines Mall.

In May 2018, Elush Retail Group acquired 4 EpiCentre stores, now tech lifestyle stores retailing brands such as Samsung, Huawei, Microsoft and more. Find the EpiCentre stores at ION Orchard, Wheelock Place, Marina Bay Sands and Bugis Junction.

Our vision is to be internationally recognised as a retailer of choice for our consumers, brand owners and our employee.

If you are keen to embark on a career with Elush Retail, here’s the opportunity to join our big family. We are searching for team players who are passionate, eagerness to learn, self-motivated towards performance and dynamic.

If you wish to take up the challenging job with enormous scope and opportunities for your career advancement, email us at hr[at]elushretail.com.",Consumer Electronics,201-500 employees,Privately Held,"Singapore, Singapore",Singapore,istudiosg.com,https://www.linkedin.com/company/elush-t3-pte-ltd
Hisense Singapore,"Hisense is a global leader in technology for the home.

We are passionate about making life enhancing technology accessible to the world through our innovations in televisions, laundry, refrigeration and air conditioner.

We believe that everyone should be able to enjoy state-of-the-art technology and as a result, the products we create should exceed the expectations of our customers.

Our ULED technology revolutionizes the traditional LED experience. It pushes the boundaries of contrast and striking detail with local dimming and dynamic LED zones. It broadens the color gamut using tiny nanocrystals making images more true to life. The result is a truly outstanding viewing experience for your favorite entertainment.

Hisense is a global Television and Home Appliance manufacturer active in more than 130 countries worldwide. Our complete product portfolio includes multimedia, home appliances, communications, intelligent information systems, refrigeration and air conditioning equipment.

Hisense Singapore is part of Hisense Group launched in 2021. We focus on offering smart TV, home appliances, and B2B solutions to innovations with excellent service in Singapore. 

To discover more, please visit our website at www.hisense.sg",Consumer Electronics,11-50 employees,Public Company,"Singapore, Singapore",Singapore,hisense.sg,https://www.linkedin.com/company/hisense-singapore
WRAEK,Wraek aims to create the next level gaming keyboard with our patent-pending technologies that allows gamers to have greater control over their gameplay by eliminating the use of 3 out of the 5 fingers for direction control.,Consumer Electronics,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,wraek.com,https://www.linkedin.com/company/wraek
