Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
QuTech,"At QuTech, we work on a radically new technology with world-changing potential. Our mission: to develop scalable prototypes of a quantum computer and an inherently safe quantum internet, based on the fundamental laws of quantum mechanics.

Established by TU Delft and the Netherlands Organisation for Applied Scientific Research TNO, the focus at QuTech currently covers nearly all facets of quantum computing, including theoretical physics, new materials, quantum coding, and the actual development of (components of) a quantum computer.",Nanotechnology Research,201-500 employees,Public Company,"Delft, South Holland, Netherlands",Netherlands,qutech.nl,https://www.linkedin.com/company/qutech
FERGUTEC B.V.,"If you require a high tech vacuum component, coating, RGA or pumping system solution, we have the capacity to meet your specific needs. Our sales engineers are experienced, professionally trained, and dedicated to customer satisfaction.

Founded in 1997, we have recently moved to our new larger and modern workshop and offices in Valkenswaard, located in the High Tech Eindhoven Region of the Netherlands. Eindhoven is recognized and awarded as the smartest region in the World in 2011 and the hometown to leading Tech companies such as Philips, ASML, FEI and many more.

From our new workshop, we ship vacuum products and systems to customers in the BeNeLux around the globe. We are proud to serve leading domestic and international companies, research institutes  and laboratories in every continent.

Fergutec wants to be your preferred value added supplier in sales & service of new & refurbished high vacuum equipment. We represent worlds leading vacuum technology brands such as Solid Sealing technology Inc, ADL GmbH, Stanford Research Systems, Moorfield Ltd. and  more. Based on our years of experience in the market, we accelerate your business from our vacuum expertise!",Nanotechnology Research,2-10 employees,Public Company,"Valkenswaard, North Brabant, Netherlands",Netherlands,fergutec.nl,https://www.linkedin.com/company/fergutec-b.v.
IntiGraphene,"Founded in 2022, IntiGraphene is a graphene manufacturing and researching company that develops the only truly sustainable graphene solution at scale. 

Through game-changing, highly scalable, polymer-doped graphene nanoplates we are accelerating the next steps in product innovation for a better and more sustainable future.",Nanotechnology Research,2-10 employees,Privately Held,"Amsterdam, North Holland, Netherlands",Netherlands,intigraphene.com,https://www.linkedin.com/company/intigraphene
RTC&P Consultancy & Projectmanagement B.V.,"Independent professional consultancy company focussing on innovation, troubleshooting in (combinations of) high tech processes like:

Precision Cleaning 
Deposition technologies, thin layer technology (PVD, CVD and so on), electroplating, conversion layers.

Expertise
Defects and stains on surfaces and coatings
Contamination issues
Failure analysis in high tech products
Process risks",Nanotechnology Research,2-10 employees,Self Owned,"Eindhoven, North Brabant, Netherlands",Netherlands,rtcenp.org,https://www.linkedin.com/company/rtc&p-consultancy-&-projectmanagement-b.v.
NT-MDT B.V.,"Nanotechnology is exploding. The world of small sizes has never been as vital for so many directions in science and industry. With this new direction comes a greater need for measurement on the atomic scale and new demands for reliable, precise, and multi-purpose instrumentation. NT-MDT enjoys a 30-year history in instrumentation created specifically for nanotechnology research, leading the field in originality, quality, and high tech development.
We strive for next-generation SPM technology, whether it be in pure modularity that allows a university or industrial lab to start with a cost-effective core product and build to a grand, multi-user research center or the ultimate amalgamation of SPM with related technologies that has resulted in ultramicrotomy for nanotomography and spectroscopy-based instruments that meld the world of imaging with the world of chemical analysis. We believe passionately in pushing the envelope for rapid innovation while still delivering superb customer service.

NT-MDT offers expert service and applications development through more than 20 representative offices and distributor centers around the globe. In the past years, our installed base has grown to over 1000 instruments, promoting growth of both lab and research programs world-wide.

Whether you are engaged every day in nano research or just contemplating it, coupling your specific scientific knowledge and expertise with our competence in instrument creation will produce the highest quality research results currently available.

Mission
Our mission is to enable researchers, engineers and developers to conduct nanoscale research by creating ever more perfect nanotechnology instrumentation. Along the way, we maintain a global perspective, always taking into consideration the needs of student in the classroom, the researcher at the cutting edge in the laboratory, and the practicalities of industrial R&D.",Nanotechnology Research,11-50 employees,Privately Held,"Apeldoorn, Gelderland, Netherlands",Netherlands,ntmdt.nl,https://www.linkedin.com/company/ntmdt
Ozongreen,"Geweldig schoonmaken, 
zonder chemie.

Werken met de kracht van natuur en nanobubble technologie; zeer effectief schoonmaken, desinfecteren, ontgeuren en afspoelen.

Ozonwater. Gemaakt van het water wat we drinken en de lucht die we ademen.

Verlaag je kosten en help tegelijkertijd mee aan een schonere wereld.

Ozonwater is een natuurlijke, krachtige schoonmaak- en desinfectievloeistof gemaakt van water en zuurstof (O2) en wordt ter plekke (on-site) gemaakt met behulp van nanobubble technologie. Dit zorgt er voor dat je je gebruik van chemie flink kunt minderen. Ozonwater is zeer ecologisch verantwoord en laat géén chemisch residu achter. Er blijft na schoonmaak of desinfectie niks achter op zuurstof en water na.

Ozonwater is veilig voor mens, dier en natuur. Je hebt geen PPE (beschermingsmiddelen) nodig om er mee te werken.

Meer informatie; https://ozongreen.nl/wp-content/uploads/2022/01/10_Redenen.pdf

Een greep uit de resultaten: https://ozongreen.nl/resultaten/",Nanotechnology Research,2-10 employees,Privately Held,"Goor, Overijssel, Netherlands",Netherlands,ozongreen.nl,https://www.linkedin.com/company/ozongreen
LIPOSOMA Health,"LIPOSOMA Health is the innovation and development hub of the LIPOSOMA group.

Founded in 2019, LIPOSOMA Health builds on decades of liposomal research to develop advanced lipid-based delivery systems for pharmaceutical, nutraceutical, and medical applications. Our work focuses on improving the bioavailability, stability, and targeted delivery of active compounds, using scientifically validated technologies such as liposomes, lipid nanoparticles, nano lipid carriers and mixed micelles
While LIPOSOMA continues to serve the immunological research community with liposomes for immunological research, LIPOSOMA Health drives new product development, commercial partnerships, and clinical applications.

For news and updates, follow our main company page: LIPOSOMA, or visit Liposomatechnology.com, or Liposomanutraceuticals.com.",Nanotechnology Research,11-50 employees,Privately Held,"Almere, Flevoland, Netherlands",Netherlands,liposomatechnology.com,https://www.linkedin.com/company/liposoma-health
IPS Materials,"IPS Materials is an independently operating full-service coating company and strategic partner of Emisshield in Europe. We serve high energy consuming industries directly to improve their energy efficiency. We build partnerships with companies providing energy saving solutions to their customers to protect a sustainable future.

Emisshield is the third generation of high emissivity ceramic coating originally design by NASA to protect space vehicles used in space exploration. Emisshield is a thin filmed, space certified ceramic coating with high emissivity and heat re-radiation capabilities extending over a wide temperature range up to 1,700°C (3,100°F). The Emisshield technology positively impacts most heat applications by changing the base physics of any system, and thus allows for positive improvements on any heat generating or absorbing structure. Emisshield High-Emissivity coatings are proven solution based products that provide energy savings, production increases, downtime reductions, increased material life and lower air emissions.",Nanotechnology Research,2-10 employees,Privately Held,"Tilburg, North Brabant, Netherlands",Netherlands,ipsmaterials.com,https://www.linkedin.com/company/ips-materials
Periodic Today,"Periodic Today specializes in producing calibration and reference standards designed for SEM users.

Our crafted products undergo quality control procedures in our laboratory and are compatible with renowned SEM brands such as FEI / Thermo Fisher, Hitachi, Jeol, Phenom, Tescan and Zeiss microscopes.

If your SEM brand is not listed, please don’t hesitate to contact us through our contact page.  We offer customized standards tailored to meet your specific requirements.",Nanotechnology Research,2-10 employees,Privately Held,"Nijmegen, Gelderland, Netherlands",Netherlands,periodictoday.com,https://www.linkedin.com/company/periodictoday
MicroCreate,"MicroCreate is an independent company providing MEMS foundry services, consultancy and fabrication of microdevices for corporate and academic research laboratories who want to outsource cleanroom processing and might not have access to critical equipment and technologies as provided by the Mesa+ NanoLab at the University of Twente.",Nanotechnology Research,Self-employed,Public Company,"Enschede, Overijssel, Netherlands",Netherlands,microcreate.nl,https://www.linkedin.com/company/microcreate
