Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Gartner,"We deliver actionable, objective business and technology insights. Our expert guidance and tools enable faster, smarter decisions and stronger performance on an organization’s mission-critical priorities.

Our unrivaled combination of business and technology insights steers clients toward the right decisions on the issues that matter most. As a $6.5 billion company, with over 20,000 associates, and a member of the S&P 500, we are an objective partner with 13,000+ client enterprises in ~90 countries and territories — across every major function, geography, industry and market sector — and boast 45+ years of experience providing insights and expert guidance to client enterprises worldwide.

To learn more about how we guide the leaders who shape the world, visit gartner.com. 

Gartner, Inc. (NYSE: IT) 

Community guidelines: https://gtnr.it/3tceMrU

Hot Topics Across the C-Suite LinkedIn Newsletter: https://gtnr.it/4c56S97",Information Services,"10,001+ employees",Public Company,"Singapore, Singapore",Singapore,gtnr.it,https://www.linkedin.com/company/gartner
Impulse Essec Entrepreneurship club,"Impulse | The ESSEC Singapore Entrepreneurship Club
Empowering ESSEC students with entrepreneurship, innovation, networking, and hands-on learning.",Information Services,Self-employed,Self Owned,"Singapore, Singapore",Singapore,,https://www.linkedin.com/company/impulseentrpreneurship
GLORY STELLAR PTE. LTD.,GLORY STELLAR PTE. LTD. is a Singapore-based company providing satellite data and geospatial service support.,Information Services,2-10 employees,Privately Held,Singapore,Singapore,glorystellar.com,https://www.linkedin.com/company/glory-stellar-pte-ltd
AgentArch,,Information Services,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,agentarch.net,https://www.linkedin.com/company/agentarch
WizReg Technologies Pte Ltd,"WizReg Technologies was created to help Singapore's regulated organisations move beyond manual compliance processes that slow teams down and increase operational risk — from SGX-listed issuers managing multi-framework ESG disclosures, to statutory boards processing grant and funding applications, to law firms and corporate service providers running strict onboarding and vetting controls.

As the exclusive partner for Wizpresso in Singapore, we bring agentic AI capabilities to governance, risk, and compliance workflows — Wizpresso Diligence for regulatory and ESG compliance, Wizpresso Adnoto for application vetting and workflow automation — with a strong emphasis on trust, control, and measurable efficiency.",Information Services,2-10 employees,Privately Held,Singapore,Singapore,wizregtech.com,https://www.linkedin.com/company/wizregtech
Faithful Path Community,"Welcome to Faithful Path Community, a vibrant online membership-based platform dedicated to nurturing mental well-being, personal growth, and spiritual fulfillment through a Christian and biblical lens. We are more than just a community; we are a family of believers committed to walking alongside you as you navigate life’s challenges and triumphs with faith, hope, and purpose.",Information Services,Self-employed,Self Employed,"Singapore, Singapore",Singapore,faithfulpathcommunity.com,https://www.linkedin.com/company/faithfulpathcommunity
momofind,"The largest directory of stores and services in Singapore.
Need a service? Find with Momofind: Our mission is to make services in Singapore easier to find and access through our app. 
We help service providers get a digital presence and broaden their reach to potential customers.",Information Services,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,momofind.com,https://www.linkedin.com/company/momofind
Magellan SEA Ltd,Magellan SEA Ltd is dedicated to providing consumer data protection and educational services from Southeast Asia to the United States of America.,Information Services,11-50 employees,,"Singapore, Singapore",Singapore,magellansea.com,https://www.linkedin.com/company/magellan-sea-ltd
USRA Pte Ltd,"We are a Digital Agency specializing in

- Web Development
- Mobile Applications
- E-Commerce 
- Digital Marketing (Facebook Marketing, Chatbots)",Information Services,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,usra.sg,https://www.linkedin.com/company/usrasg
Chatterpulse,"Chatterpulse is an online and social data analytics software company specialized in AI based Social and News Media listening, analytics and reporting of hundreds of Channels created by our users. We have been recognized by our happy customers for a super-powerful product platform, groundbreaking NLP technology, and an abundance of clean and accurate social data.

Chatterpulse is based in San Francisco Bay Area. It currently operates offices in Atlanta, Singapore and India.",Information Services,11-50 employees,Public Company,"Singapore, Singapore",Singapore,chatterpulse.com,https://www.linkedin.com/company/chatterpulse
Klavit Pte. Ltd.,,Information Services,2-10 employees,Privately Held,"Downtown Core, Central, Singapore",Singapore,klavit.com,https://www.linkedin.com/company/klavit
AI PRO PTE. LTD,"Provide AI smart safety solutions for industrial enterprises, including personnel safety, equipment management, and more. These solutions are applicable across industries such as petrochemicals, power, construction sites, and urban environments.",Information Services,51-200 employees,Partnership,"Downtown Core, Central Region, Central Region, Singapore",Singapore,ai-pro.ai,https://www.linkedin.com/company/ai-pro-pte-ltd
Burrowresearch@SG,"BurrowResearch is a market research agency. We are a multi-talent team made up of individuals from diverse career and skillset.
Our goal is to inspire our clients to achieve their business objectives. Our unique blend of research experience, innovative IT expertise, and professional marketing knowledge give us the ability to offer a full fledged solution.
We are practical doers who hold our staffs to high quality service standards. Each department is led by a staff with at least 10 years of experience.",Information Services,51-200 employees,Self Owned,"Singapore, Singapore",Singapore,burrowresearch.com,https://www.linkedin.com/company/burrowresearch-sg
StockFind,A modern stock research platform that simplifies intrinsic value discovery for retail investors.,Information Services,Self-employed,Self Owned,"Singapore, Singapore",Singapore,stockfind.app,https://www.linkedin.com/company/stockfindapp
Memory Keeper,,Information Services,2-10 employees,Partnership,"Singapore, Singapore",Singapore,,https://www.linkedin.com/company/memory-keepernus
