Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Izon Science,"Izon Science enables nanoparticle researchers across a range of disciplines to isolate and characterise particles with precision. With the field of extracellular vesicles (EVs) now pushing towards clinical applications, Izon is meeting the need for scalable EV isolation solutions for EV-based diagnostics and EV-based therapeutics, as well as fundamental EV research. 
This is achieved through its evolving range of size exclusion chromatography-based qEV columns, associated instrumentation for automating particle isolation, and customised bioprocessing development services. With such diverse customers, the qEV platform accommodates a broad range of sample types and volumes.  
Meanwhile, Izon brings high-resolution insights to the physical characterisation of EVs, lipid nanoparticles, viruses and beyond, through the Exoid and its Tunable Resistive Pulse Sensing (TRPS) technology. Through its unique particle-by-particle approach, the Exoid allows researchers across fundamental research and nanomedicine development to measure particle size, concentration, and zeta potential.
Izon’s network is global, with offices located in Christchurch (New Zealand – Headquarters), Lyon (France), Boston and Texas (US).",Nanotechnology Research,51-200 employees,Privately Held,"Christchurch, Canterbury, New Zealand",New Zealand,izon.com,https://www.linkedin.com/company/izon-science
"FLUIDINOVA, S.A.","FLUIDINOVA was founded in 2005 in Portugal as a specialized manufacturer of synthetic nano-hydroxyapatite and tricalcium phosphate materials, which are commercialized worldwide for different applications, under the brand name nanoXIM.

nanoXIM•Oral Care: The key hydroxyapatite ingredients for oral care applications, to reduce dental hypersensitivity, enhance enamel remineralization and restore natural whiteness. 
Available in two different forms: water suspension (nano) and powder (micro).

nanoXIM•Medical: Synthetic highly pure hydroxyapatite (HAp) and tricalcium phosphate (TCP) materials for bone regeneration medical devices. 
Available in three different forms: pastes, powders and granules.

nanoXIM•Food: The key hydroxyapatite ingredients for functional food and food supplements, to promote bone strength, reduce bone loss and prevent dental hypersensitivy. 
Available in two different forms: water suspension (nano) and powder (micro).

nanoXIM•Research: Looking for a calcium phosphate for your research? nanoXIM products are also available for several research fields including bio-separation, catalysis, pharma, biotechnology and functionalized textiles.",Nanotechnology Research,11-50 employees,Privately Held,"Wellington, Wellington, New Zealand",New Zealand,fluidinova.com,https://www.linkedin.com/company/fluidinova
NanoLayr,"NanoLayr is a New Zealand-owned and operated textile company, offering industrial scale, nanofibre production services along with co-development and commercialization of nanofibre products. Using the process of electrospinning, and only the finest materials, we can create custom-made fibres, delivering revolutionary products to multiple markets including filtration, cosmetics and healthcare, textiles, composites and electronics. NanoLayr, the global leader in high-performance functional textiles using our advanced nanofibre technology.",Nanotechnology Research,11-50 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,nanolayr.com,https://www.linkedin.com/company/nanolayr
IEEE Nanotechnology Council Young Professionals Region 10 (Asia Pacific),"IEEE Nanotechnology Council is a platform that serves as a connection point between members involved in the field of nanotechnology. This forum serves as an enabler for many scientists and engineers and encourages closer cooperation.  All IEEE members are entitled to IEEE NTC membership.  
 
IEEE Young Professionals is a volunteer organization within the IEEE that helps young professionals transition from student to professional life. Most interact with us through their local Affinity Groups, who host events for Young Professionals members. Globally, the organization provides a range of products and services focused on networking, professional development and technical education.

IEEE Nanotechnology Council Young Professionals R10 (Asia-Pacific) is an entity within the scope of IEEE NTC which serves a linkage of young professionals working in the broad fields of nanotechnology to come together to interact, share technical knowledge and career-related activities .

If you are an IEEE Member who has received your first professional degree within the last 10 years, you are automatically part of IEEE Young Professionals! If not, we are soon changing our membership criteria those who are within 15 years of their first degree will automatically be a part of Young Professionals. Those who are not automatically members will now be given the opportunity to opt-in for the first time ever. We accept people of varying demographics, and need the help of more experienced professionals to network with and mentor Young Professionals.

For more information about each group:

IEEE Young Professionals (https://yp.ieee.org/)

IEEE Nanotechnology Council (https://ieeenano.org/)

IEEE Region 10 (https://ieeer10.org/)",Nanotechnology Research,201-500 employees,Non Profit,"Auckland, Auckland, New Zealand",New Zealand,ieeenano.org,https://www.linkedin.com/company/ieee-ntc-yp-r10-ap
Inhibit Coatings,Inhibit Coatings produces leading-edge antimicrobial solutions to create hygienic environments.,Nanotechnology Research,2-10 employees,Privately Held,"Wellington, Wellington, New Zealand",New Zealand,inhibitcoatings.com,https://www.linkedin.com/company/inhibit-coatin
Ligar,"We have moved! To stay up to date on the latest in molecular filtration technology, visit amaea.com or connect with amaea on LinkedIn at linkedin.com/company/amaea
---
We provide molecular filtration solutions for the beverage industry. Our unique technology enables companies to improve product quality and operational processes by capturing target molecules and molecular compounds using our unique, molecularly imprinted polymers.",Nanotechnology Research,11-50 employees,Partnership,"Hamilton, Waikato, New Zealand",New Zealand,amaea.com,https://www.linkedin.com/company/ligar-polymers
BIONANOMAT MX,"At NANOHUMANS, we believe that many of the challenges faced in daily life can be addressed through the power of bio-nanotechnology and sustainable advanced materials. Our mission is to harness cutting-edge innovation to create practical, forward-thinking solutions that have a lasting impact.

BIONANOMAT MX is currently evolving into a state-of-the-art NANOLAB focused on breakthrough research and development, while also transitioning into a pilot-scale NANOFAB facility. This transformation reflects our commitment to leading the way in bio-nanotechnology, creating a bridge between scientific discovery and real-world application.

Follow us to stay updated on our progress as we continue to innovate and push the boundaries of what's possible with advanced materials and nanotechnology.",Nanotechnology Research,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,bionanomatmx.com,https://www.linkedin.com/company/bionanomat
Protective Coatings and Treatments,PCT (Protective coatings and treatments) sell a range of coatings and treatments suitable for use on almost any surface or substrate.,Nanotechnology Research,2-10 employees,Privately Held,"Dunedin, Otago, New Zealand",New Zealand,protectivecoatings.co.nz,https://www.linkedin.com/company/nonscents-natural-odour-removal
Electrospinz Ltd,"Electrospinz Ltd makes a variety of laboratory scale electrospinning machines and accessories.
The machines are characterised by robust and open construction to provide a safe platform for research and development of electrospinning processes and electrospun materials.",Nanotechnology Research,2-10 employees,Privately Held,"Blenheim, Marlborough, New Zealand",New Zealand,electrospinz.co.nz,https://www.linkedin.com/company/electrospinz-ltd
GtM Action,We help you develop your teams’ knowledge about using graphene in your products. Start testing graphene dispersion methods and mix designs. Source high quality pure graphene at volume. Learn about taking your graphene enhanced products to markets. Or just want to know more about graphene in concrete and composite materials.,Nanotechnology Research,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,gtmaction.com,https://www.linkedin.com/company/gtmaction
Nuenz Limited,"Making the world stronger, lighter and faster with ceramic fibre reinforcing.  We have a novel fibre production process that provides a reliable source of high performance silicon nitride fibres.  Exceptionally strong and stable with a multitude of commercial applications; Nuenz fibres make advanced materials technology affordable and accessible.",Nanotechnology Research,11-50 employees,Privately Held,"Lower Hutt, Wellington, New Zealand",New Zealand,nuenz.com,https://www.linkedin.com/company/nuenz-limited
Entropeak,"Imagine a world where batteries last longer, perform better, and are built for a truly sustainable future. Entropeak is making that a reality.

We’re pioneering new advanced materials that push the boundaries of energy storage, starting with batteries.",Nanotechnology Research,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,entropeak.tech,https://www.linkedin.com/company/entropeaktech
NANO HYGIENE NZ,We specialize in infection prevention using Nanotouch Self Cleaning products that Keep high touchable surfaces into continuously self-cleaning surfaces.,Nanotechnology Research,11-50 employees,Privately Held,"Christchurch, Canterbury, New Zealand",New Zealand,nanohygiene.co.nz,https://www.linkedin.com/company/nanohygienenz
Nano-Care New Zealand,"We are Nano-Care New Zealand, specialists in high-tech nano surface coatings. 

Using nanotechnology, one of the most advanced scientific fields, we provide an extensive range of coating treatments designed to make surfaces more resilient, durable, and hygienic.",Nanotechnology Research,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,nano-care.co.nz,https://www.linkedin.com/company/nano-care-new-zealand
Nano Clear NZ Ltd,"Nano Clear NZ Ltd is the official distributors of Nano-Clear products in New Zealand. 

Nano-Clear is a single component clear coat system that requires no mixing, it is ready to use from the can. Nano-Clear will rejuvenate highly oxidised surfaces to restore colour, gloss and UV properties. Nano-Clear will protect almost any surface to give longevity, making it an easy to clean long lasting surface, proven to revive and protect fibreglass, paint, plastics, vinyl, stainless steel, aluminium and much more to provide extreme weathering resistance, high scratch resistance, innovative self cleaning properties as well as being chemical and solvent proof for easy maintenance. Covering every aspect of transport, automotive, architecture and marine.

Nano-Clear: Your total solution for protecting your investment. 

Feel free to send us through an email at geoff@nanoclear.co.nz",Nanotechnology Research,11-50 employees,Self Employed,"Cambridge, Waikato, New Zealand",New Zealand,nanoclear.co.nz,https://www.linkedin.com/company/nano-clear-nz-ltd
Carbon Valley,Sustainable nanotechnology and economic development for New Zealand and beyond through innovative agrifibre growing and processing.,Nanotechnology Research,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,carbonvalley.nz,https://www.linkedin.com/company/carbonvalley
Nanoshield Ltd,"Nanoshield Ltd Specialize in all types of vehicle detailing and Glass Showers. 
We use Pearl Nano Hydrophobic Ceramic Coatings. 
We clean the shower glass of all contaminants from the glass and protect with Pearl Nano Hydrophobic ceramic coatings. Lasts up to 5 years .

Nanoshield Mobile vehicle detailing, we come to you. Prices start from $60.00 basic clean right to through to the Pearl Nano Hydrophobic Ceramic coatings.",Nanotechnology Research,2-10 employees,Self Employed,"Auckland, Auckland, New Zealand",New Zealand,nanoshield.co.nz,https://www.linkedin.com/company/nanoshield-ltd
Ceramic Pro New Zealand,"Ceramic Pro is a nano-ceramic protection system of the new generation, for the next generation. Our mission is two fold: we want to improve the lifespan of your assets, and we want to preserve the irreplaceable ecosystems here in Aotearoa New Zealand. We provide our customers with an alternative to harsh chemicals traditionally used to clean and protect their valuable goods. Our environmentally sustainable solutions will ensure your assets retain their brand new look and feel for years.

Essentially Ceramic Pro is a clear solid product that protects against ultraviolet rays and water damage, as well as daily wear and tear. Our products can be applied to a vast range of surfaces including cars, boats, aircrafts, construction and industrial objects and accessories.

Ceramic Pro coatings bond to surfaces at a molecular level, filling in any nano-pores and creating a hydrophobic surface that is impervious to contamination. This makes our products ideal for critical applications across all industries. No other product in the world performs quite like this! 

If you invest in the protection of your assets now, you will lower maintenance and replacement costs. This also helps to decrease the massive amount of waste generated each year and means you can reduce your ecological footprint.

WHY CHOOSE CERAMIC PRO? 

Ceramic Pro is not a paint protection, wax or sealant that will wash away or break down over time. It is a nano-ceramic coating that forms a permanent adhesion to the paint and can only be removed through abrasion. No chemical can dissolve the coating.
- Hardness above 9H: The glass coat is above 9H on the Pencil test scale. This scale is used in the coating industry to determine a mineral`s hardness, 9H is the highest on the scale.
- Super Gloss: The shine from this product is not comparable to any other product on the 
market. It has to be seen in real life.
- Super Hydrophobic
- Chemical Resistance 
- Oxidation and Corrosion Resistant
- UV protection",Nanotechnology Research,2-10 employees,Partnership,"Auckland, Auckland, New Zealand",New Zealand,ceramic-pro.co.nz,https://www.linkedin.com/company/ceramic-pro-new-zealand
MicroClean,Antimicrobial Surface Protection.,Nanotechnology Research,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,microclean.nz,https://www.linkedin.com/company/microcleannz
