Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
WEG,"Founded in 1961, WEG is a global electro-electronic equipment company, operating in the capital goods sector a with focus on electric motors, gearboxes and drives and controls, energy generation and transformers, electrification products and systems, automation and digitalization. WEG stands out in innovation by constantly developing solutions to meet the major trends in energy efficiency, renewable energy and electric mobility. With manufacturing units in 15 countries and present in more than 135 countries, the company has more than 47,000 employees worldwide. WEG’s net revenue reached R$ 38.0 billion in 2024, 57.0% from external markets.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees",Public Company,"Hengelo, Overijssel, Netherlands",Netherlands,weg.net,https://www.linkedin.com/company/weg
PICSEE,"PICSEE is een hi-tech, alles-in-één, onbemande, mobiele, outdoor surveillance-oplossing. Geautoriseerd partner van Axis Communications.","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Privately Held,"Alblasserdam, South Holland, Netherlands",Netherlands,picsee.nl,https://www.linkedin.com/company/picseenl
All Power Solution,"All Power Solution has a leading position in the business of used and reconditioned Diesel Generators and Gas Generators. We provide the best equipment at the best possible prices and offer a wide range of diesel & gas generators from 10 KVA to 2500 KVA. The trademarks listed on the website such as Caterpillar, Jenbacher, Perkins, Waukesha, Wartsila, MWM, MAN, Guascor, and all other not mentioned brand names used on the website are trademarks of their own respective individual companies.
Our mission is “to be the most proactive, flexible, and innovative full-service wholesale dealer, installer, service, and maintainer of fuel-efficient diesel and natural gas generators.” We seek to earn the trust of lifelong satisfied customers. Because we are 100% committed to you and your needs.","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Self Owned,"Amsterdam, North Holland, Netherlands",Netherlands,allpowersolution.com,https://www.linkedin.com/company/allpowersolution
Klomp Elektrotechniek,Op zoek naar een ervaren installateur die met je mee denkt? Ons professionele team helpt je graag verder met installatiewerkzaamheden voor thuis of op kantoor.,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,Privately Held,"Barneveld, Gelderland, Netherlands",Netherlands,klompelektrotechniek.nl,https://www.linkedin.com/company/klomp-elektrotechniek
Installatiebedrijf Peters Didam B.V.,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Didam, Gelderland, Netherlands",Netherlands,,https://www.linkedin.com/company/installatiebedrijf-peters-didam-b.v.
De Keizer Marine Engineering B.V.,,"Appliances, Electrical, and Electronics Manufacturing",51-200 employees,,"Zaandam, North Holland, Netherlands",Netherlands,dekeizermarine.com,https://www.linkedin.com/company/de-keizer-marine-engineering-b.v.
PowerCity Amplifiers,"Wij maken buizenversterkers en speakercabinetten met de perfecte sound. Hierbij staan de wensen van de gitarist centraal. De versterkers worden gemaakt met kwalitatief hoogwaardige onderdelen. Zo krijg jij de perfecte sound, look & feel.","Appliances, Electrical, and Electronics Manufacturing",2-10 employees,Partnership,"Oldenzijl, Groningen, Netherlands",Netherlands,powercity.rocks,https://www.linkedin.com/company/powercity
Kemkens Installatieburo B.V.,"Kemkens Installatieburo B.V. is an electrical/electronic manufacturing company based out of OSS, Netherlands.","Appliances, Electrical, and Electronics Manufacturing",51-200 employees,,"Oss, North Brabant, Netherlands",Netherlands,,https://www.linkedin.com/company/kemkens-installatieburo-b.v.
Blitss.eu,"Blitss houdt van vrijheid, plezier, stijl en duurzaam. Deze elementen zijn aanwezig in onze producten en onze diensten. Wij zijn gericht op het verbeteren van de laatste kilometers naar de eindbestemming in verstedelijkte gebieden en bieden hiervoor elektrische scooters en steps aan.","Appliances, Electrical, and Electronics Manufacturing",2-10 employees,Privately Held,"Capelle aan den IJssel, South Holland, Netherlands",Netherlands,blitss.eu,https://www.linkedin.com/company/blitss-eu
Micro Systems B.V.,"Micro Systems is al meer dan 20 jaar actief en gespecialiseerd in het ontwerpen en bouwen van elektronische besturingen.
Dit omvat printontwerp en de ontwikkeling van betrouwbare (embedded)software. 
Ook assemblages van eindproducten van kleine series alsmede ondersteuning met EMC keuringen en mechanische ontwerpen behoord tot de mogelijkheden.
Met onze jarenlange ervaring en ons uitgebreid netwerk van experts op vele vakgebieden kunnen wij u helpen bij de keuze van de materialen en technieken.","Appliances, Electrical, and Electronics Manufacturing",2-10 employees,Privately Held,"Zeewolde, Flevoland, Netherlands",Netherlands,microsystems.nl,https://www.linkedin.com/company/micro-systems-b.v.
Sinewave,Beschrijving,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"Assen, -, Netherlands",Netherlands,sinewave.nl,https://www.linkedin.com/company/sinewave-embedded
D2 Domotica,"D2Domotica is een netwerkorganisatie actief op het gebied van domotica. Van advies tot uitvoering en service, zowel voor de professional als de particulier. Of het nu gaat om zorgdomotica in een extramurale of intramurale omgeving, een luxe villa of een gewoon woonhuis, in al deze segmenten hebben we onze sporen verdiend.

Wij onderscheiden ons door onze persoonlijke aanpak en door onze manier van werken. Uitgangspunt is altijd de wens van de klant en niet de technische mogelijkheden of onmogelijkheden. Vaak wordt in een project gestart met de suggestie dat ""alles mogelijk is"", de praktijk leert echter dat een duidelijke en een reele afbakening van de gewenste functionaliteiten een beter startpunt is. Door onze jarenlange ervaring op het vlak van domotica (vanaf 1991) weten we inmiddels wel wat goede en betrouwbare oplossingen zijn.
Open standaarden

D2Domotica is merkonafhankelijk en maakt indien mogelijk altijd gebruik van open standaarden zoals IP en KNX/EIB. KNX is een open domotica standaard waar meer dan 150 fabrikanten deel van uit maken. Bij de links is een aantal van deze fabrikanten opgenomen.
KNX professionals

In Nederland zijn op dit moment meer dan 170 KNX Professionals die u op deskundige wijze kunnen ondersteunen. Ook D2Domotica is lid van KNX Professionals.","Appliances, Electrical, and Electronics Manufacturing",Self-employed,Privately Held,"’s-Hertogenbosch, North Brabant, Netherlands",Netherlands,d2domotica.nl,https://www.linkedin.com/company/d2-domotica
