Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Evobi Automations Pvt Ltd,"Evobi Automations Pvt. Ltd. is a leading automation company headquartered in Bengaluru, with over 12 years of experience in technology and manufacturing. We operate through two specialized business units:

Rednerds – Your go-to partner for manufacturing needs, specializing in ODM (Original Design Manufacturing) and OEM (Original Equipment Manufacturing). We provide high-quality design and production services, turning concepts into reality.

Yudu Robotics – Focused on product innovation, we design and develop cutting-edge hardware and software solutions with a core emphasis on Embedded Robotics and IoT. Our goal is to integrate intelligent technology into transformative products in Education",Robotics Engineering,51-200 employees,Privately Held,"Bengaluru, Karnataka, India",India,,https://www.linkedin.com/company/evobiautomations
Vedant Technologies,"Vedant Technologies is one of the leading organizations in the field of Industrial Automation. As an Automation Solutions Provider, we have an impressive Track Record in various industries including Automotive, Chemical, Energy, Material Handling, Metals and Mining, Packaging, Paper, Power and Textile. Our Customers include Market Leaders and we have added value to their productivity with our proficiency in Factory and Process Automation. These value additions and our end-to-end approach have given us a worldwide reputation of delivering the Right Solutions.",Robotics Engineering,11-50 employees,Self Owned,"Bengaluru, Karnataka, India",India,vedanttechnologies.co.in,https://www.linkedin.com/company/vedant-technologies
Shivyantra Technologies,"At Shivyantra Technologies (Pune, India), we are on a mission to bring cutting-edge robotics, automation, and IT solutions closer to people, education, and businesses. We believe technology should not just exist — it should transform lives, inspire learning, and drive growth.

Our journey is driven by passion for innovation, problem-solving, and impact. As a growing venture, we aim to bridge the gap between ideas and execution, enabling schools, startups, and organizations to experience the real potential of technology.

 Our Focus Areas:
 Robotics & AI – Training, workshops, and real-world solutions for learners and innovators
 Automation – Smart, cost-effective solutions tailored for schools, startups, and industries
 IT Services – Website development, deployment, hosting, and on-demand technical support
 Tech Events – Competitions, exhibitions, and innovation-driven programs to inspire the next generation

 Our Vision
To become a trusted hub where innovation meets impact, creating opportunities for students, institutions, and organizations to explore, adopt, and grow with the technologies of the future.

 Our Values

Innovation  – Always pushing the boundaries of what’s possible

Collaboration  – Working together to achieve shared success

Learning  – Continuous growth through knowledge and exploration

Impact  – Delivering solutions that make a difference in real life


At Shivyantra Technologies, we are not just building solutions — we are building the future, step by step. Whether it is empowering students with robotics, helping businesses with IT, or organizing tech events, our goal is to leave a mark of innovation everywhere we go.

 Pune, India |  8308329235 |  https://www.shivyantratechnologies.store",Robotics Engineering,2-10 employees,Self Owned,"Pune, Maharashtra, India",India,shivyantratechnologies.store,https://www.linkedin.com/company/shivyantra-technologies
Hanbee,"Hanbee Technologies builds AI-powered service robots for Indian hospitals and clinics. Our robots speak Tamil, navigate autonomously, and handle routine delivery tasks — freeing nurses to focus on patient care.

Designed and assembled in Chennai. Built for India's healthcare reality.

Currently: building our first hospital pilot in Tamil Nadu.
Founder: Aravindhan K | info@hanbee.in",Robotics Engineering,11-50 employees,Privately Held,"Tirukalukunram, Tamil Nadu, India",India,hanbee.in,https://www.linkedin.com/company/hanbee-india
CORE Robotics Private Limited,"CORE Robotics is dedicated to empowering businesses through innovative turnkey solutions that streamline operations, enhance productivity, and optimize efficiency. With a strong commitment to precision and reliability, CORE Robotics provides end-to-end automation solutions, transforming the way industries operate.

What We Offer:

Turnkey Automation Solutions: From concept to installation, we manage the entire process to ensure seamless integration and maximum impact.

Industrial Robotics Integration: Our team of experts integrates cutting-edge robotics systems into existing workflows, enhancing precision and productivity.

Custom Automation Projects: We specialize in developing tailored automation systems designed to meet specific operational challenges.

Consulting and Support Services: CORE Robotics provides ongoing consulting and support to ensure long-term success and adaptability to changing needs.",Robotics Engineering,11-50 employees,Privately Held,"Haveli, Maharashtra, India",India,corerobotsystems.com,https://www.linkedin.com/company/core-robotics-private-limited
"Mars Rover Students Club, IIITD&M KANCHEEPURAM",Exploring Robotics and Automation World .,Robotics Engineering,51-200 employees,Non Profit,"Chennai, Tamil Nadu, India",India,netlify.app,https://www.linkedin.com/company/mars-rover-students-club-iiitdm-kancheepuram
KAL-M Robotics and Innovations,"KAL-M: Navigating the Future, One Innovation at a Time. Transforming Robots, Simplifying Tech, Together.",Robotics Engineering,2-10 employees,Privately Held,"Chennai, Tamil Nadu, India",India,kal-m.com,https://www.linkedin.com/company/kal-m-robotics-and-innovations
BotForge Labs,We work on technologies enabling Embodied AI.,Robotics Engineering,2-10 employees,Privately Held,"Chennai, Tamil Nadu, India",India,botforgelabs.com,https://www.linkedin.com/company/botforge-labs
Prospero Dynamics Private Limited,"At Prospero Dynamics, we believe the future belongs to businesses that automate intelligently.

We are a robotics and automation company helping organizations transform labour-intensive operations into efficient, scalable, and experience-driven ecosystems. Our mission is simple: make autonomous work a reality and help businesses operate smarter, safer, and more profitably.

From hotels, restaurants, airports, hospitals, corporate offices, retail stores, manufacturing facilities, educational institutions, and large-scale events, we deploy intelligent robotic solutions that enhance productivity, improve consistency, reduce operational costs, and elevate customer experiences.

Our portfolio includes:
• Interactive Reception & Engagement Robots
• Service & Delivery Robots
• Autonomous Cleaning Robots
• Material Handling & Logistics Robots
• Security & Surveillance Solutions
• AI-Powered Visitor Management Systems
• Event & Exhibition Engagement Robots
• Autonomous Infrastructure Solutions

What makes us different is that we don't sell robots.

We partner with organizations to identify operational challenges, design suitable automation strategies, deploy the right solutions, and ensure measurable business outcomes. Every deployment follows a structured framework covering discovery, consultation, site analysis, implementation, training, monitoring, optimization, and long-term support.

Today, Prospero Dynamics has successfully executed 300+ projects across India, serving leading brands in hospitality, healthcare, retail, airports, corporate workplaces, manufacturing, and large-scale public events.

As India transitions towards Industry 5.0, we envision a future where robots are no longer viewed as novelty products but as essential business infrastructure—working alongside people to create safer workplaces, better customer experiences, and sustainable growth.

Our vision is ambitious yet clear:

To become India's most trusted robotics automation platform.",Robotics Engineering,11-50 employees,Privately Held,"Kukatpally, TG, India",India,prosperodynamics.com,https://www.linkedin.com/company/prospero-dynamics
Cosine Robots,Making high quality robots accessible for all.,Robotics Engineering,2-10 employees,Privately Held,"Bengaluru, Karnataka, India",India,cosinerobots.com,https://www.linkedin.com/company/cosinerobots
