Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
LG Electronics,"Step into the world of LG Electronics, a global innovator in technology and consumer electronics focused on creating solutions for a better life. Guided by our brand promise, Life’s Good, we aim to make everyday life better, smarter and more meaningful for people around the world.

With a history spanning more than six decades, a network of more than 100 subsidiaries, and an international workforce of over 75,000, LG Electronics operates on a truly global scale. Since our founding in 1958, we have remained focused on delivering innovative products and technologies that improve lives around the world.

Through our four business divisions — Home Appliance Solution, Media Entertainment Solution, Vehicle Solution, and Eco Solution Companies — we provide innovative products and services that enhance everyday life across residential, entertainment, mobility, and HVAC sectors.

At the same time, we continue to expand into new growth areas including AI Home, smart factories, robotics and platform-based services such as webOS, building on our strengths in both consumer technology and B2B solutions.

Our management philosophy, Jeong-do Management, reflects our commitment to integrity, transparency and doing business the right way. Built on the principles of customer value creation and people-oriented management, our culture encourages collaboration, creativity and growth.

Join us as we continue to shape what comes next, because at LG, Life’s Good.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees",Public Company,"North York, Ontario, Canada",Canada,lg.com,https://www.linkedin.com/company/lg-electronics
LED Cool Lights,"Led Cool Lights is a leader in designing and manufacturing Led Lighting for Exhibits, Events, Commercial and Residential applications. 

LED COOL LIGHTS is a LED Manufacturer of Signs, LED Screens, LED Tape & Neon, Bulbs & More. 
We believe in setting the trend and thinking ahead. Let us help you shift your way of thinking about lighting and help open your mind to endless creative possibilities for your next project. 

Please email sales@LEDCoolLights for any inquiries or quotes needed.","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Privately Held,"Toronto, Ontario, Canada",Canada,ledcoollights.com,https://www.linkedin.com/company/led-cool-lights
Lightheaded Lighting,"We've grown a lot over the last 40 years.

What began as one man's obsession with light has evolved into a 50+ person (and still growing) full-service industrial lighting manufacturer. In fact, we’ve grown so much our old name (Dasal Industries) just didn’t fit anymore. So, we decided to change it to a name that conveys our enduring obsession with light, peerless LED knowledge, dizzying array of architectural lighting products, and, fun-loving company culture. Our new name is Lightheaded. Rest assured; only our name has changed. The same people are still here helping architects, designers, engineers and other light specifiers solve lighting problems. Because our unwavering commitment to you, our customer, is one thing that will never change.

With our head office located on the ever inspiring west coast of Canada, Lightheaded has become a well established North American Lighting Manufacturer with an agency network spanning the continent.

Product design, testing, production, powder coating & innovations are all done within our 31,000 sq. ft facility. Our specification-grade architectural lighting products have matured over the years to now include a multitude of Downlights, Recessed Multiples, Pendant Multiples, Architectural Cylinders and an ever expanding array of LED products.

A constant force behind all our products is our team of dedicated professionals. A culture enriched with creativity, intelligent customer service, quality control, plus a never ending quest to exceed expectations, are the spirit of our team .","Appliances, Electrical, and Electronics Manufacturing",51-200 employees,Privately Held,"Port Coquitlam, British Columbia, Canada",Canada,lightheadedlighting.com,https://www.linkedin.com/company/lightheadedlighting
SOKA Lighting,"Fabricant d’appareils d’éclairage intérieur et extérieur, standard et sur mesure,  pour tous secteurs d’activité  - équipement du point de vente, hôtellerie & restauration, secteurs industriel ou tertiaire. 

Notre métier : développer et fabriquer en France les luminaires performants de demain en partenariat avec les concepteurs lumières, architectes et designers du monde entier.

Fondée en 1952, la maison SOKA dispose aujourd’hui d’un catalogue de plus de 1200 références. Artisan d’origine, nous savons répondre aux demandes spécifiques de nos clients tout en ayant une capacité de production industriel. 

La société est fière d’être membre de l’ACE.","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Self Owned,"Laval, Quebec, Canada",Canada,soka.fr,https://www.linkedin.com/company/sokalighting
Phason Controls,Phason Controls is an AgTech company that develops and manufactures Innovative Electronic Controls for the Livestock and Agricultural sectors. We commit to delivering high-quality products that withstand the harsh conditions of agricultural environments.,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Privately Held,"Winnipeg, Manitoba, Canada",Canada,phasoncontrols.com,https://www.linkedin.com/company/phason-controls
Datec Coating Technologies,"Datec Coating Technologies develops custom thick-film heating solutions for OEM applications across industries including automotive, food equipment, medical, semiconductor, and aerospace. 

Our technology enables heating elements to be printed directly onto substrates such as aluminum, stainless steel, and mica, providing fast heat-up, uniform temperature distribution, and mechanically robust designs. These heaters are engineered for long operational life and can be customized to meet specific watt density, form factor, and performance requirements.

As an industry innovator, Datec designs and manufactures some of the most advanced heating components on the market. Let us integrate our innovation into your products.","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Privately Held,"Mississauga, Ontario, Canada",Canada,dateccoating.com,https://www.linkedin.com/company/datec-coating-technologies
IO Industries Inc.,"IO Industries Inc. designs cutting-edge digital video equipment, including compact high-resolution video cameras and high-speed digital video recorders. From single-camera solutions to large, synchronized, multi-camera video recording arrays, IO Industries provides dependable, scalable and operator-friendly equipment that continually pushes the limits of digital video.  Since 1991 we have focused on providing our customers with high performance and high quality solutions for all types of digital video applications. Our products are proudly designed and built in Canada, at our headquarters in London, Ontario.  

Some of our areas of focus include:

Volumetric Capture: Our Volucam cameras, designed with the needs of volumetric video capture studios in mind, incorporate key innovations resulting in accelerated workflow, simplified studio configuration and reduced support time.

Live Broadcasting: Our POV video cameras feature interchangeable lenses and advanced global shutter image sensors, are fully remotely controllable, and output multi-format SMPTE SDI video from HD-SDI up to 12G-SDI.  Designed for live sports and event broadcasting as well as television and cinema production, these cameras are also ideal for virtual reality camera arrays.

Industrial Machine Vision: Our industrial cameras with CoaXPress high-speed video outputs are used in a wide-range of machine vision and computer vision applications, from component inspection systems in electronics manufacturing to insect research platforms at academic institutes.  High-resolution video can be rapidly sent to real-time image processing systems or uncompressed video recorders such as our DVR Express Core 2 series.  

Scientific and Aerospace Research: Our DVR Express Core family of digital video recorders provide SSD-direct, uncompressed recording from multiple cameras using most popular video interfaces.  These recorders are a scalable platform for long-duration video recording with no dropped frames.","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Privately Held,"London, Ontario, Canada",Canada,ioindustries.com,https://www.linkedin.com/company/io-industries
Sunsel Systems,"Located in Burnside Industrial Park in Dartmouth, Nova Scotia, Sunsel Systems provides electronics manufacturing services (EMS) within the Atlantic region and all across Canada. We are leading the way in the EMS industry employing some of the most cutting edge automation coupled with expertise and unsurpassed customer service.

Our primary objective is to become an extension to your company's production process. We offer fully automated Surface Mount Technology (SMT) and Thru-hole technology services for manufacturing circuit boards that enable us to meet your production budget and deadlines. 

We have the expertise to source materials, design, build, and test your products to your specifications.

We are ISO 9001:2008 certified and we Assemble as per IPC J-STD-001, IPC-A-610: Classes I, II, III .","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Privately Held,"Dartmouth, Nova Scotia, Canada",Canada,sunsel.ca,https://www.linkedin.com/company/sunsel-systems
Flick On Lighting Solutions,"Flick On’s mission is to deliver innovative lighting products together with lighting solutions that are practical and creative, along with providing local product and technical support for all our customers. Founded in 2012, we currently have 10 employees and are looking to expand. Our head office is located in Welland, together with warehousing and assembly facilities all on the same site.

We are planning to double our size by 2025, further contributing to local SA employment. Continued product development will be designed to meet market demand and more R&D manufacturing processes will transition to our SA headquarters to speed up this process. We are a trusted LED supplier across the SA Network of engineers, architects, wholesalers and contractors, primarily servicing the commercial and hospitality sector.  

We develop products that are creative and on trend and work with a few suppliers who share the same vision, thereby building long term relationships to ensure quality control and aid in product improvement. We are a complete one-stop solution catering to all stages of a project: from design and tender through to the installation and after sales. We work and liaise with relevant stakeholders dependent on the project lifecycle. At Flick On, we are constantly reviewing new product designs, functionalities and technical capabilities in all things LED lighting that will work in both domestic and commercial applications. Our product range is the result of years of collating feedback and product requirements from our customers, bringing you LED products that are cost-effective, where functionality meets design, in most if not all our products.","Appliances, Electrical, and Electronics Manufacturing",2-10 employees,Privately Held,"Welland, Ontario, Canada",Canada,flickon.com.au,https://www.linkedin.com/company/flick-on-lighting-solutions
BEQ Technology,"BEQ Technology c’est le plus grand réseau de vente et d’installateurs de bornes de recharge pour voitures électriques au Canada. 

Notre objectif est d’offrir des produits de qualité et équipés des toutes dernières technologies sur le marché. Cet objectif se combine à celui d’offrir un service d’installation électrique hors pair qui a fait notre réputation au fil du temps.

NOTRE MISSION : Connecter sur l’énergie verte, une borne de recharge à la fois tout en offrant un service clé en main de solutions de recharge à énergie verte par le plus grand réseau d’électriciens installateurs certifiés.

NOTRE VISION : Devenir la plus grande référence en solutions de recharge à énergie verte, tout en misant toujours plus sur l’innovation.

NOS VALEURS : Contribuer à la protection de l’environnement en participant à l’électrification des transports avec nos produits de recharge performants et un service client irréprochable.","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Partnership,"Sherbrooke, Quebec, Canada",Canada,beqtechnology.com,https://www.linkedin.com/company/beq-technology
