Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
ICON plc,"Since our foundation in Dublin, Ireland in 1990, our mission has been to help our clients to accelerate the development of drugs and devices that save lives and improve quality of life. We do this by delivering best in class information, solutions and performance, with an unyielding focus on quality at all times.

We offer a full range of consulting, development and commercialisation services from a global network of offices in 53 countries. We focus our innovation on the factors that are critical to our clients – reducing time to market, reducing cost, and increasing quality – and our global team of experts has extensive experience in a broad range of therapeutic areas.",Biotechnology Research,"10,001+ employees",Public Company,"Sydney, New South Wales, Australia",Australia,iconplc.com,https://www.linkedin.com/company/icon-plc-2
Proseek Bio,"Addressing unmet diagnostic needs in women's health through new glycoprotein biomarker panel clinical mass spectrometry-based blood tests that are accurate, simple for patients and doctors, but sophisticated and cost-effective in the clinical laboratory.",Biotechnology Research,2-10 employees,Privately Held,"Brisbane, Queensland, Australia",Australia,proseekbio.com,https://www.linkedin.com/company/proseek-bio
BSD Robotics,"With a rightful 30 years reputation for designing and manufacturing BSD semi-automated punch instruments, BSD Robotics continues to develop high quality instruments that stand the test of time due to their long-term reliability and durability in the field. BSD’s commitment and investment in research and development ensures the ongoing advancement of technologies within the life science industries.

For life science laboratories who are looking to streamline their sample preparation processes, BSD Robotics provides customers with customized solutions that are both innovative and cost effective. BSD Robotics provides solutions to alleviate the challenges of procedural errors, traceability concerns and repetitive strain injuries experienced by many laboratories. Our BSD bio-sample punch instruments aim to promote productivity, reduce labour costs and increase sample throughput whilst offering comfortable operation and ease of use. 

Dedicated to the continual availability of spare parts, coupled with the support of experienced field service technicians around the world, BSD Robotics strives to provide the manufacturer’s highest level of support and service to all our customers. 

BSD semi-automatic punchers are used for a range of applications and can be customized to suit the specific requirements of the customer. BSD has an established relationship within hospitals, university research, and government agencies around the globe.

Applications:
•	Neonatal Screening
•	Human Identification (HID)
•	HIV Testing
•	Molecular Biology
•	Genetics and Proteomics
•	Drug Discovery
•	Food and Agriculture Testing
•	Pharmacogenomics
•	DMPK",Biotechnology Research,11-50 employees,Privately Held,"Brisbane, Queensland, Australia",Australia,bsdrobotics.com,https://www.linkedin.com/company/bsdrobotics
Anatara Lifesciences Ltd,"Anatara Lifesciences is developing evidence-based solutions for gastrointestinal diseases in humans and animals.

GaRP is the working name for Anatara’s evidence based complementary medicines using unique formulations of bromelain, an enzyme extracted from pineapple stems along with other synergistic GRAS components. The combination and coating of these GaRP components have a beneficial effect on the physiology of the gastrointestinal lining, a positive influence on the microbiome (homeostasis & metabolites) and allows absorption of components in targeted areas of the gastrointestinal tract. GaRP’s multimodal activity provides a versatility for tailoring the components to various indications.

Human Applications

GaRP's human formulation is a microbiome-targeted multi-component complementary medicine that has been designed to address the primary underlying factors associated with gastrointestinal disorders such as IBS and IBD. Our formulation is positioned as an adjunct to existing therapies and is currently being tested in a double-blinded, placebo-controlled human clinical trial for safety and efficacy.

For further information on our human development plans, visit our webpage: https://anataralifesciences.com/products-pipeline/human-applications/.

Animal Applications

Anatara developed Detach for the control of scour (diarrhoea) in pigs which was approved the Australian Pesticides and Veterinary Medicines Authority (APVMA). Detach has been shown to reduce post-weaning diarrhoea and provide similar protection to antimicrobial agents, such as zinc oxide. 

BONIFF is a revised formulation of Detach that can be applied to dry feed for piglets after weaning for a simplified feeding process.

ANR-pf is a proprietary enriched formulation for poultry in water, providing a quick and flexible dosing method on-farm.

For further information on our Detach development plans, visit our webpage: https://anataralifesciences.com/products-pipeline/animal-applications/.",Biotechnology Research,2-10 employees,Public Company,"Adelaide, South Australia, Australia",Australia,anataralifesciences.com,https://www.linkedin.com/company/anatara-lifesciences-ltd
Phrenix Therapeutics,"A spinout company from Monash University and The Florey.

Funded by Curie.Bio in syndicate with Brandon Capital, Monash Investment Holdings, and Breakthrough Victoria.",Biotechnology Research,2-10 employees,Privately Held,"Parkville, Victoria, Australia",Australia,,https://www.linkedin.com/company/phrenix-therapeutics
Genome & Company,"Genome & Company is a global biopharmaceutical company that focuses on developing microbiome pharmaceuticals, consumer products and novel immune checkpoint inhibitors based on real-world clinical data and Multi-Omics analytic technology.

Since its establishment in 2015, as a global leader in the field of microbiome for immuno-oncology and novel drug discovery for immuno-oncology target, Genome & Company has been collaborating with global pharmaceutical companies, research institutions and hospitals in Korea based on the “Bed-to-Bench” approach (real-world clinical data driven R&D strategy) of GNOCLETM, a platform for discovering novel drug candidates.

Genome & Co strives to accelerate the development of innovative medicine to fulfill the medical unmet needs through microbiome therapeutics and novel drug target antibodies. 

지놈앤컴퍼니는 풍부한 임상데이터 및 다중오믹스 기술(Multi-Omics)을 바탕으로 마이크로바이옴 의약품과 신규 타깃 항암제 등을 중점 연구개발하는 글로벌 신약개발 전문기업 입니다.

2015년 설립이후, 지놈앤컴퍼니는 마이크로바이옴 면역항암제와 신규타깃 면역항암제 분야의 글로벌 리더로서 독자 신약후보물질 발굴 플랫폼 지노클(GNOCLETM)의 'Bed-to-Bench' 전략 (임상데이터기반 연구개발전략) 하에 국내외 주요 제약바이오 기업 및 연구중심병원과 협업해왔습니다.",Biotechnology Research,51-200 employees,Public Company,"Queensland, Australia",Australia,genomecom.co.kr,https://www.linkedin.com/company/genomeandcompany
Tissue Repair,Tissue Repair Ltd is an Australian biopharmaceutical company developing an advanced wound healing technology targeting applications in the chronic wound and cosmetic procedure markets. Tissue Repair has developed a unique active ingredient that is designed for wound healing and delivered topically. The biologically active pharmaceutical ingredient behaves like a decoy cell and simulates a yeast infection resulting in the stimulation of the body’s own wound repair pathways. This active ingredient also provides a platform for the opportunity to develop a range of products that have the potential to treat a broad range of conditions across the wound care market.,Biotechnology Research,11-50 employees,Public Company,"Sydney, New South Wales, Australia",Australia,tissuerepair.com.au,https://www.linkedin.com/company/tissuerepair
Custom Science Australia,Custom Science specialises in identifying and delivering best in class products and technologies for Genomics to the Australian Scientific community.,Biotechnology Research,2-10 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,customscience.com.au,https://www.linkedin.com/company/custom-science-australia
GeneWorks,"With over 25 years experience in the Australian Genomics industry, GeneWorks has a proud history of instrument and consumable sales and service, excellence in post sales support, and manufacture of bespoke isothermal nucleic acid assays here in Australia at our Melbourne facility.

More recently, our partnership with Alamar Biosciences and Quantum SI provides Australian and New Zealand researchers and clinicians access to the latest in ultra sensitive biomarker detection and Protein Sequencing.

In addition GeneWorks also proudly represents
- LGC Genomics - Genotyping reagents and services (KASP and sbeadex)
- Nippon Genetics - Molecular biology (Midori)
- OptiGene - Isothermal amplification technology (Genie Instrument and LAMP)

Our team of Scientific sales professionals, together with expert support and service engineering staff have a genuine passion for our mission to provide the latest instrument and reagent options to the Australian Biotechnology Industry.",Biotechnology Research,11-50 employees,Privately Held,"Adelaide, South Australia, Australia",Australia,geneworks.com.au,https://www.linkedin.com/company/geneworks
Identilab,"Identilab is a 100% Australian-owned and operated DNA testing laboratory, purpose-built and located in Brisbane. With over 45 years of combined experience in forensic and human identification sciences, our expert team provides high-quality, confidential DNA testing services to individuals, families, government agencies, and legal professionals across Australia.

We specialise in accredited, human identification services, including:

 Parentage Testing – Clear, legally admissible answers in paternity and maternity cases.
 Immigration DNA Testing – Fast, reliable testing that meets Department of Home Affairs requirements.
 Kinship Testing – Determining relationships such as siblings, grandparents, and aunts/uncles.
 DNA Profiling – Ideal for personal records, estate planning, or high-risk professionals.
 Twin/Triplet Zygosity Testing – Scientific confirmation of identical or fraternal status.

We're accredited to ISO/IEC 17025 by the National Association of Testing Authorities (NATA), so you can be confident in the integrity, accuracy, and legal admissibility of every result we issue.

At Identilab, we combine scientific excellence with a personalised, client-first approach. We’re responsive, transparent, and committed to making DNA testing straightforward and stress-free - whether you're navigating a legal matter, an immigration process, or simply seeking clarity.

Based in Brisbane. Proudly working with government, legal, and private clients Australia-wide (and beyond).",Biotechnology Research,2-10 employees,Privately Held,"Brisbane, Queensland, Australia",Australia,identilab.com.au,https://www.linkedin.com/company/identilab
