Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Luxury Society,"Luxury Society is our thought leadership platform delivering global insights and strategic commentary for luxury professionals. It is the trusted platform for in-depth market analysis, expert interviews, and curated events that empower decision-makers to anticipate trends and lead the conversations shaping the future of luxury.",Media & Telecommunications,2-10 employees,Partnership,"Geneva, Geneva, Switzerland",Switzerland,luxurysociety.com,https://www.linkedin.com/company/luxury-society
CORPORATE Corner,"Corporate Corner Studio is a dynamic digital media agency dedicated to fostering professional growth, collaboration, and innovation. With its tagline, ""Platform where Professionals Connect, Inspire, and Thrive!"", we serve as a hub for businesses, entrepreneurs, and thought leaders to engage through cutting-edge digital solutions. Specializing in content creation, branding, social media management, and corporate storytelling,

Corporate Corner Studio empowers professionals to build strong digital identities, expand their networks, and stay ahead in the ever-evolving corporate landscape. By combining creativity with strategic insights, the agency transforms ideas into impactful digital experiences, making it an essential partner for businesses aiming to thrive in the digital era.",Media & Telecommunications,11-50 employees,Privately Held,"Montreux, Vaud, Switzerland",Switzerland,,https://www.linkedin.com/company/corporatecorner
Polizei.news,"Wir bringen täglich brandaktuelle Polizeinachrichten aus der Schweiz. Ob Verkehrsunfälle, Brände, Katastrophen, Verbrechen, Zeugenaufrufe, Fahndungsaufrufe oder vieles mehr – auf dieser Seite sind Sie stets bestens informiert, schnell und direkt.    

An dieser Stelle möchten wir ausdrücklich betonen, dass wir für die Kommentare der User keine Verantwortung übernehmen.",Media & Telecommunications,11-50 employees,Privately Held,"Lucerne, Lucerne, Switzerland",Switzerland,polizei.news,https://www.linkedin.com/company/polizeinews
RTN,"RTN est la radio des Neuchâtelois. Elle émet en FM depuis 1984 dans le canton de Neuchâtel, le nord du canton de Vaud, une partie de la Broye, ainsi qu'en DAB+ dans toute la Suisse romande.

Basée à Marin, RTN a une orientation généraliste et une vocation de service public régional. Du matin au soir, l’information locale est au cœur de son programme, des sujets d’actualités aux événements sportifs en passant par la culture, tous les Neuchâtelois peuvent s'y retrouver. RTN diffuse une musique pop-rock variée, s'adressant à un public intergénérationnel tout au long de la journée.",Media & Telecommunications,11-50 employees,Partnership,"Marin-Epagnier, Neuchâtel, Switzerland",Switzerland,rtn.ch,https://www.linkedin.com/company/rtnsa
SONIX.GG,We provide the capability to communicate and interact over the internet as fast as in real-life. We take digital audio to the next level with a proprietary ultra-low latency and high definition audio communication app.,Media & Telecommunications,11-50 employees,Privately Held,"Lausanne, Vaud, Switzerland",Switzerland,sonix.gg,https://www.linkedin.com/company/sonixgg
RFJ,"RFJ est la radio des Jurassiens. Elle émet en FM depuis 1984 dans le canton du Jura, La Chaux-de-Fonds et une partie du Jura bernois, ainsi qu'en DAB+ dans toute la Suisse romande. 

Basée à Delémont, RFJ a une orientation généraliste et une vocation de service public régional. Du matin au soir, l’information locale est au cœur de son programme, des sujets d’actualités aux événements sportifs en passant par la culture, tous les Jurassiens peuvent s'y retrouver. RFJ diffuse une musique pop-rock variée, s'adressant à un public intergénérationnel tout au long de la journée.",Media & Telecommunications,11-50 employees,Partnership,"Delémont, Jura, Switzerland",Switzerland,rfj.ch,https://www.linkedin.com/company/rfjsa
GEM-T Magazine,"GEM-T, le premier magazine trilingue dédié à l'art de la joaillerie. Actualité des créateurs, tendances joaillières, interviews exclusives, coulisses des ateliers, décryptages, coups de coeur et bonnes adresses.",Media & Telecommunications,11-50 employees,Privately Held,"Eaux-Vives, Geneva, Switzerland",Switzerland,gemt-magazine.com,https://www.linkedin.com/company/gemt-magazine
Nouveau Genève,"Vendu dans 400 kiosques de la région, le magazine trimestriel Nouveau Genève aborde toute l'actualité du Grand Genève. Il décrypte sur 68 pages le développement de cette région en matière de bâti, d'urbanisme et de mobilité.",Media & Telecommunications,2-10 employees,Privately Held,"Geneva, Geneva, Switzerland",Switzerland,nouveaugeneve.ch,https://www.linkedin.com/company/nouveaugenève
Le Regard Libre,"Premier mensuel suisse de débat, dans une optique libérale et pluraliste. Site Web et magazine papier. Soutenez le pluralisme: commandes en ligne, abos, Payot et Cairn.info",Media & Telecommunications,11-50 employees,Non Profit,"Neuchâtel 2, Switzerland",Switzerland,leregardlibre.com,https://www.linkedin.com/company/le-regard-libre
Radio Morcote International,"Radio Morcote International è la radio rock più ascoltata in Ticino,  e non solo. 

Fondata da Grant Benson, (speaker di fama internazionale) e Daniela Moroni, (PR e  ufficio stampa) per colmare un vuoto nella scena radiofonica, è diventata  un punto di riferimento nel settore del broadcasting e della comunicazione 

Il segreto del suo successo risiede nella  scelta musicale che spazia da Frank Sinatra ai Led Zeppelin e nella professionalità e capacità del team di far rete sul territorio con una sguardo sempre rivolto all'internazionale. Ha un palinsesto in continua evoluzione e crescita con  programmi su PODCAST, SPOTIFY e in diretta da Los Angeles, Morcote, Locarno, e Milano. . 

Speakers, Conduttori e la nuova redazione giornalistica ticinese si affiancano alla redazione americana che aggiorna gli ascoltatori in lingua inglese sulle notizie a livello mondiale in diretta da Washington, New York e Hong Kong.

I primati:
- radio rock più ascolta in Ticino
- premiata da Ticino Turismo come una delle realtà più interessanti nate durante il lockdown 2020 
- è la  più raccontata sui media con oltre 300 articoli pubblicati solo nel primo anno
- è l'unica radio al mondo ad aver fatto espatriare per la prima volta nella storia Radio Caroline, all'estero: dai mari del nord al lago di Lugano. 

RMI è anche una agenzia di comunicazione in grado di soddisfare molteplici servizi tra i quali sponsorizzazioni, ufficio stampa, ideazione e organizzazione di eventi, branding, programmazione musicale, radio in store e molto altro. 

Come ascoltare Radio Morcote:

DAB+ (Ticino, Lombardia e Piemonte)
 FREE APP ( Google Play /iOS)
 Online (Smart Speaker, Aggregators)

Blue+
Spotity
Podcast",Media & Telecommunications,2-10 employees,Privately Held,"Morcote, Ticino, Switzerland",Switzerland,radiomorcoteinternational.com,https://www.linkedin.com/company/radio-morcote-international
