Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
SMA Solar,"Innovative and sustainable key technologies are prerequisites for renewable energy supply. More than 3,500 employees from 18 countries work to ensure that SMA is actively helping to promote the production and development of PV system technology worldwide.

SMA is the only inverter manufacturer worldwide that offers the right inverter for every module type and system size ; for small residential systems, medium-sized commercial systems and large-scale plants; grid-connected photovoltaic systems; and off-grid and hybrid systems. 

SMA also develops technologically leading system solutions and is on the leading edge of the energy of the future, in areas such as intelligent optimization of self-consumption, grid integration of solar power and integration of batteries for more effective use of renewable energies. 

The intention of this LinkedIn profile is to share expert knowledge in inverter technology, interesting reference projects and new products in the field of commercial and large-scale solar power plants and to discuss today’s and future energy supply structures and solutions. We are looking forward to your comments, questions and feedback.

Corporate information: https://www.sma.de/en/corporate-information.html
Data Protection: https://www.sma.de/en/data-protection-declaration.html",Renewable Energy Semiconductor Manufacturing,"1,001-5,000 employees",Public Company,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,sma.de,https://www.linkedin.com/company/sma-solar
ExtraWatts,"The foundation stone of Extrawatts Solar solutions has been laid in 2014 in the Middle East. A Quadrennial later Extrawatts got expanded to India in 2018. Extrawatts Solar Solutions is Solar manufacturing and distributing platform shared with Ashapower. Our main objective was to make an affordable and accessible solar energy to all. To reduce carbon emissions and pollution, thus creating a green and clean environment is more like an obligation to us. We continue building a better world, for a brighter future",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,extrawatts.in,https://www.linkedin.com/company/extrawattsuae
Coretec Solutions,"Coretec Solutions is dedicated to making our future Efficient, Renewable and Sustainable. We have a vast experience and network in a number of Business Areas and Geographies. With our experience and network we deliver value and projects within for example: 
+ Fund Raising for Renewable Energy Investment Funds
+ Structured Financing for Renewable Energy Projects
+ Project Development of Renewable Energy
+ Advisor and expert consultant for Renewable Energy
+ EPC and Project Management for Renewable Energy
+ Market Strategy and Distribution partner for technology solutions within Energy Efficiency, Renewable Energy and Sustainability targeting Middle East and Africa",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,coretec.biz,https://www.linkedin.com/company/coretec-solutions-fz
Gauss Global LLC,"Imagine a world where plastic can actually be useful and not turned into rubbish. Imagine a world where we are not wasting any type of plastic, nylon, or engine oils.  Imagine a world where there's no plastic polluting our oceans. Imagine a world where plastic is not contaminating our planet. Imagine a world where our children don't need to be surrounded by mountains of it. What if I told you that this is not only imagination? What if I told you that Gauss is already working towards it? 

Over the last 6 decades, human beings have been responsible for the mass production of plastic. This has been accelerating and rapidly growing to a colossal amount of 8.3 billion metric tons, and of course most of it in disposable products that can’t be recycled, to be more specific that comes to 91%.

Plastic is one of those materials that takes over 400 years to degrade, and that means that most of it still exists in some shape or form.  Even if only 12% of that plastic has been incinerated, this process is still responsible for the emission of toxic gases, that damage the Earth’s atmosphere. 

Unfortunately, we live in a world where governments and powerful International organizations do not take drastic environmental actions, so it is up to each one of us to do what has to be done to preserve not only the Planet but also life on the Planet. With that in mind, Gauss has invested heavily in the “acquisition” of the exploitation rights of a revolutionary patent that allows us to gradually alleviate this scourge. Our scientists have discovered, through an innovative method, the possibility of transforming plastic into additive fuels such as gasoline, diesel, and paraffin.

Ultimately Gauss will not only fight pollution, by creating an ecosystem that helps battle plastic littering but also change a very normalized behavior when it comes to environmental protection: the lack of plastic recycling solutions.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"الخليج التجاري, Dubai, United Arab Emirates",United Arab Emirates,gaussgloballlc.com,https://www.linkedin.com/company/gauss-global-llc
Solo Energy ME,Water Heating solutions,Renewable Energy Semiconductor Manufacturing,2-10 employees,Partnership,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,soloenergyme.com,https://www.linkedin.com/company/solo-energy-me
Architaly Green Energy DMCC,,Renewable Energy Semiconductor Manufacturing,,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,architaly.com,https://www.linkedin.com/company/architalygreen
Surplus and Prime Worldwide FZ LLC,SURPLUS & SCRAP MARKETPLACE,Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Ras Al Khaimah, Raʼs Al Khaymah, United Arab Emirates",United Arab Emirates,surplusandprime.com,https://www.linkedin.com/company/surplus-and-prime-worldwide-fz-llc
ASGARD ECO FUND,"ASGARD is a decentralized cryptoecological fund, which provides cryptocurrency funding for specific environmental tasks. A unique feature of the decentralized cryptoecological fund is the creation of a mechanism of motivating the inhabitants of the Earth in search of hidden environmental damage.

ASGARD — это децентрализованный криптоэкологический фонд, который обеспечивает финансирование конкретных экологических задач. Уникальной особенностью децентрализованного криптоэкологического фонда является создание механизма мотивации жителей Земли в поисках скрытого экологического ущерба.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Self Employed,"Raʼs Al Khaymah, United Arab Emirates",United Arab Emirates,asgardecofund.io,https://www.linkedin.com/company/asgard-eco-fund
Multi Fuel Cell,"30% to 50% improvement of fuel economy
Significant reduction in emission (CO, NOx)
Increased lifespan of the engine
Reduces deposits and soot in engine significantly
Lower noise and vibrations in the engine
Cleaner oil due to reduced amount of carbon deposits
Made in Germany",Renewable Energy Semiconductor Manufacturing,2-10 employees,Partnership,"Deira, Dubai, United Arab Emirates",United Arab Emirates,multifuelcell.com,https://www.linkedin.com/company/multifuelcell
Masdar Capital,"Masdar Capital is a renewables & environment company based out of Abu Dhabi Future Energy Company Building, Khalifa City A, 54115, Masdar City, UAE, Airport Road, Abu Dhabi, Ukraine.",Renewable Energy Semiconductor Manufacturing,11-50 employees,,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,masdar.ae,https://www.linkedin.com/company/masdar-capital
Soteria International DMCC,"Soteria is a company specialized in delivering climate control solutions that are energy efficient.

All our products are made in the USA and together with our U.S partners, we deliver an effective, comprehensive energy efficient and money saving solutions for your business. Our reputation and history of helping successful companies and clients speak for themselves. We pride ourselves in helping businesses - large or small, that are simply looking for an energy efficient and environmentally safe solution.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Self Owned,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,soteriaint.com,https://www.linkedin.com/company/inlife-mobile-middle-east
Hydroot,"“Hydroot’s vision is to have a farmer in every house”. The name Hydroot comes from portmanteau Hydroponics and Roots. We aim to accomplish our vision at Hydroot by using small-scale sustainable Hydroponic kits and by providing our services to enable our customers to grow fruits and vegetables of any kind in their own homes. Hydroot is aligned with the UAE Ministry of Food & Water Security’s Vision of enabling all citizens and residents to have access to sufficient, safe, and nutritious food for an active and healthy life at affordable prices at all times, including emergencies and crises.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,,https://www.linkedin.com/company/hydroot
The dry-cleaning bag,"The dry-cleaning bag is made from 100% upcycled cotton material by an ethnic wear manufacturing company in India. The idea behind it is to drastically reduce the amount of single-use plastic bags being used in the dry cleaning industry within the UAE.  
 
The bags come in two sizes - regular and small. Both designs have dual functionality - a hanging garment bag that turn into a duffle bag for the transportation of dirty clothing. Only excess upcycled cloth is used to make the garment bags and the logo is created with vegetable ink.

The bags make great corporate gifts! Show your clients that you care about the environment by choosing a sustainable product. Bespoke logos can be added with orders of 100 or more.

Check out our Instagram page for updates! https://www.instagram.com/thedrycleaningbag/",Renewable Energy Semiconductor Manufacturing,Self-employed,Self Owned,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,,https://www.linkedin.com/company/the-dry-cleaning-bag
