Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
SMA Solar UK & Ireland,"As a leading global specialist of photovoltaic system technology, SMA is setting the standards today for the decentralised and renewable energy supply of tomorrow. More than 3,300 SMA employees in 19 countries have devoted themselves to this task. Our innovative solutions for all photovoltaic applications and our unsurpassed service offer our customers worldwide greater independence in meeting their energy needs.

Corporate information: https://www.sma.de/en/corporate-information.html 
Data Protection: https://www.sma.de/en/data-protection-declaration.html",Renewable Energy Semiconductor Manufacturing,11-50 employees,Public Company,"Milton Keynes, United Kingdom",United Kingdom,sma-uk.com,https://www.linkedin.com/company/sma-solar-uk-ltd
LEAP - Lochwinnoch Energy Action Plan,,Renewable Energy Semiconductor Manufacturing,,,"Lochwinnoch, United Kingdom",United Kingdom,lochwinnoch.info,https://www.linkedin.com/company/leap---lochwinnoch-energy-action-plan
Integrated Development Projects Limited,IDP specialises in renewable technologies to generate power and heat based on the use of gasification and other technologies.,Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,United Kingdom,United Kingdom,,https://www.linkedin.com/company/integrated-development-projects-limited
Censeo Energy,"Censeo Energy & Property Services provide high quality Building Research Establishment Accredited, Energy Performance Certificates or EPC's to property professionals throughout SE England. Presently, the company solely specializes in the residential housing sector.",Renewable Energy Semiconductor Manufacturing,Self-employed,Self Employed,United Kingdom,United Kingdom,,https://www.linkedin.com/company/censeo-energy
WTG Associates commercial,"WTG Associates offer a quality-led service to individual customers and professionals in the commercial and residential property market. The key to our mutual success is our ability to work with you to meet your needs and how our flexible service can benefit you. Our success relies on providing our clients with a flexible, reliable first class service.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,United Kingdom,United Kingdom,,https://www.linkedin.com/company/wtg-associates-commercial
Floating Solar England,"With nearly 3 quarters of our planet covered with water, and more and more people living and feeding from the increasingly scarcer lands, isn't it a brilliant idea to start using our water surfaces for FloatingSolarPlants?
 
 
 
Your Solar Energy Provider On Water Around The World 
 
 
 
· Floating solar panels 
 
· Floating solar systems & solutions
 
· Floating solar plant design services
 
· Renewable energy project financing 
 
· Long term leasing of unused water bodies and water reservoir
 
· Site selection for floating solar farms 
 
· Floating solar system Installation, Maintenance and Operation
 
 
 
 
Contact details: 
 
FloatingSolarWorld Team
+ 34 693 493 930
 
info@floatingsolarworld.com",Renewable Energy Semiconductor Manufacturing,,Partnership,"., ., United Kingdom",United Kingdom,floating.solar,https://www.linkedin.com/company/floatingsolarengland
Waste Technique Limited,,Renewable Energy Semiconductor Manufacturing,,,"Eversley, United Kingdom",United Kingdom,wastetechnique.co.uk,https://www.linkedin.com/company/waste-technique-limited
First Option Services,We recylcle plasterboard in way which allows us to provide other products which have masses of uses. We can also provide Skips and upload waste plasterboard.,Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,United Kingdom,United Kingdom,firstoptionservices.com,https://www.linkedin.com/company/first-option-services
Land-Atmosphere Resilience Initiative,"working with meteologists, NGOs and enterprises",Renewable Energy Semiconductor Manufacturing,2-10 employees,Non Profit,United Kingdom,United Kingdom,globalcoolers.net,https://www.linkedin.com/company/land-atmosphere-resilience-initiative
5V.Energy,,Renewable Energy Semiconductor Manufacturing,201-500 employees,Privately Held,"United Kingdom, United Kingdom",United Kingdom,5v.energy,https://www.linkedin.com/company/5v-energy
Handford Aerodynamics Ltd,tba,Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,United Kingdom,United Kingdom,,https://www.linkedin.com/company/handford-aerodynamics-ltd
Carbon Energy Assessments Ltd,"Established 18 months ago, Carbon Energy Assessments have built up a considerable client base providing services to the energy industry.
Constantly evolving and looking for knew challenges within the energy industry and keen to build relationships with like minded professionals within the property and buildings services sectors.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,United Kingdom,United Kingdom,carbonenergyassessments.com,https://www.linkedin.com/company/carbon-energy-assessments-ltd
HW Renewables,,Renewable Energy Semiconductor Manufacturing,,,United Kingdom,United Kingdom,hwrenewables.co.uk,https://www.linkedin.com/company/hw-renewables
Taiga Research & Strategy,"TAIGA R&S is a partnership committed to finding innovative solutions for sustainability. By providing technical and policy focused research services, TAIGA R&S delivers results for public and private sector organisations.

Taiga functions as a forum to research innovative ideas and devise strategies for their implementation. We create a competitive advantage for our clients to ensure net benefits for the environment and society.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Partnership,United Kingdom,United Kingdom,taiga-rs.com,https://www.linkedin.com/company/taiga-research-&-strategy
Greenwoods Chartered Accountants,"Baker Tilly Greenwoods is a large auditing, accounting and consulting firm in Cape Town. Baker Tilly Greenwoods is an independent member firm of Baker Tilly International with 156 member firms throughout the world. Contact: +27 (21) 410 8500.",Renewable Energy Semiconductor Manufacturing,51-200 employees,,United Kingdom,United Kingdom,,https://www.linkedin.com/company/greenwoods-chartered-accountants
N Young Ltd,"Established professional electrical installation and lighting contractor.
We are able to meet the demands presented by climate change , a design and install service for low energy lighting controls to both the domestic and commercial markets.
Careful selection of our suppliers enable us to offer government backed grants and enhanced capital allowances to our commercial customers.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,United Kingdom,United Kingdom,nyoung.biz,https://www.linkedin.com/company/n-young-ltd
ALIYA ENTERPRISES LIMITED,,Renewable Energy Semiconductor Manufacturing,,,"Middlesex, Middlesex, United Kingdom",United Kingdom,,https://www.linkedin.com/company/aliya-enterprises-limited
Rainbowhips,"Renewable energy sales completing energy certificates to home owners. Help awareness on Co2 and our global foot print and lobby the CLG in London. Together we can help our world and make it a safer place;

The Institute of Domestic Energy Assessors also contributes to this formed by Jim Gillespie a great founder",Renewable Energy Semiconductor Manufacturing,Self-employed,Privately Held,United Kingdom,United Kingdom,,https://www.linkedin.com/company/rainbowhips
PTD Training Limited,"PTD Training Limited is committed to giving workless and disadvantaged individuals access to the growing renewable energy sector. PTD Training offers entry level training in the field of sustainability and renewable energy, with programmes designed to develop skills which are transferable to other manufacturing and industrial areas of employment and settings including self employment, development of social enterprise or product design.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,United Kingdom,United Kingdom,,https://www.linkedin.com/company/ptd-training-limited
Spinoff Technical Systems,"Intelligent Instrumentation for Science, Technology and the Environment.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Partnership,United Kingdom,United Kingdom,spinoff.co.uk,https://www.linkedin.com/company/spinoff-technical-systems
Real World Energy Solutions,Real World Energy Solutions is the energy solutions arm of the SEH Group and specialises in making buildings and business energy efficient and installing renewable energy solutions,Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,United Kingdom,United Kingdom,,https://www.linkedin.com/company/real-world-energy-solutions
Taylor-Heath Energy Assessments,"Commercial EPC's

We are able to carry out Non-Domestic Energy Assessments at both Level 3 and Level 4. With a unique experience of assessing all types of property we are able to carry out instructions with the minimum of fuss and produce the EPC and Recommendations Report that meets your business requirements

Air Conditioning Energy Assessments

As part of the Energy Performance of Buildings Directive (Statutory Instrument 2007 991)

All air conditioning systems with an effective rated output of >12kW must be regularly inspected by an Energy Assessor who will produce an Energy Performance Certificate and Recommendations Report 
Systems with an effective rated output >250kW must have been inspected by 4th January 2009 
Systems between 12kW and 250kW must been inspected by 4th January 2011 
Inspections must be undertaken a maximum of 5 years apart 
For systems put into service on or after 1st January 2008, the first inspection must take place within 5 years of the date when it was first put into service 
It is the duty of the person who is responsible for the control of the system to ensure that a certificate is in place 
 

The fine for not having a certificate in place is currently £300 
 

As part of the inspection we will advise and inform you on any systems that are covered under the F-Gas Regulations

 

The Energy Assessment Certificate and Report will:

Identify any faults or shortcomings within the system

Comment on the maintenance of the system 

Provide you with a recommendations report to help you reduce your energy usage and to improve the lifespan of your equipment 

Identify and comment on any systems that contain F-Gas Refrigerants",Renewable Energy Semiconductor Manufacturing,Self-employed,Self Employed,United Kingdom,United Kingdom,,https://www.linkedin.com/company/taylor-heath-energy-assessments
SOLAR GREEN POWER,,Renewable Energy Semiconductor Manufacturing,,,"Cheshire, Cheshire, United Kingdom",United Kingdom,solargreenpower.co.uk,https://www.linkedin.com/company/solar-green-power
TREEWISE CO-OPERATIVE LTD,"The Treewise Co-operative is made up of parents, conservation volunteers and professionals who have, over the past 5 years, gained skills and experience in various approaches to environmental learning.

The Treewise ethos is based on the belief that a love of Nature grows from the freedom to explore the natural world in an unmediated way; to that end Treewise works to provide opportunities, skills and the inspiration for families and children to enjoy time outdoors so that being outside becomes part of everyday life.

Treewise workers have a variety of professional backgrounds including Arts and conservation and together they have gathered and devised activities directly linked to the natural world so that, rather like Nature itself, nothing they do exists in isolation",Renewable Energy Semiconductor Manufacturing,2-10 employees,Non Profit,United Kingdom,United Kingdom,treewise.org.uk,https://www.linkedin.com/company/treewise-co-operative-ltd
Welsh Sanitation Services,,Renewable Energy Semiconductor Manufacturing,,,"Amenia, United Kingdom",United Kingdom,welshsanitation.com,https://www.linkedin.com/company/welsh-sanitation-services
Get Solar Panel Prices,,Renewable Energy Semiconductor Manufacturing,,,United Kingdom,United Kingdom,getsolarpanelprices.co.uk,https://www.linkedin.com/company/get-solar-panel-prices
