Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Erets Space,"ERETS, headquartered in London with a growing presence in Australia and India, is the world’s first registered company to pioneer laser-based space debris mitigation. We are building the first cohesive system for detection, tracking, and mitigation of orbital debris, while advancing space situational awareness to ensure safer, sustainable use of space.

Through strategic academic and corporate collaborations across leading universities, research labs, and industry partners, ERETS combines expertise in Artificial Intelligence, Optics, Autonomous Robotics, and Advanced Propulsion. Our vision goes beyond technology—we are spearheading a movement to preserve the cosmos, shaping a responsible space future, and inspiring the next generation to dream beyond Earth.",Space Research and Technology,11-50 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,erets.uk,https://www.linkedin.com/company/erets-space
Subarachnoid Space Pty Ltd,"We offer a fast, regular, and affordable alternative to conducting R&D in microgravity and extraterrestrial environments. LEO slots available from 2025, with cislunar, lunar surface, and interplanerary missions coming soon. 
 
We go where your curiosity takes you.",Space Research and Technology,2-10 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,,https://www.linkedin.com/company/suba-space-pty-ltd
Civicbase,Open source,Space Research and Technology,2-10 employees,Public Company,"Brisbane, Qld, Queensland, Australia",Australia,civicbase.io,https://www.linkedin.com/company/civicbase
Eos Interstellar,"Eos, the personification of the new dawn. Whom rose each morning at the river edge, to deliver light and disperse the night...

Deep Space Exploration. Propulsion Innovation.  Feasible by 2050.

*Currently incorporating and in preparation of executive strategy. Project start: 2027. Seed: 2026.",Space Research and Technology,11-50 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,eosinterstellar.com,https://www.linkedin.com/company/eosinterstellar
Katia Bazaka Group,"We are a dynamic and diverse research team dedicated to pushing the boundaries of knowledge in our respective fields. Our team members come from various academic backgrounds, representing different disciplines, cultures, and perspectives. This diversity enriches our research endeavors, fostering a vibrant and inclusive environment where ideas flourish and innovative approaches are embraced.",Space Research and Technology,2-10 employees,Educational,"Canberra, Australian Capital Territory, Australia",Australia,bazaka.com.au,https://www.linkedin.com/company/bazakagroup
Fire Grid,Bush fire detection and alerting technology,Space Research and Technology,2-10 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,firegrid.com.au,https://www.linkedin.com/company/fire-grid
Moon to Mars Initiative Science and Technology Research Group,"M2MIST responds directly to the Australian Space Agency “Moon to Mars Initiative” with current focus on science and technology support for two planned lunar missions.

M2MIST provides end-to-end expertise in embedded and mechanical systems for mission-critical space applications, with a strong quality focus on hardware-software co-design, real-time frameworks, and fault-tolerant architectures. The team has ongoing experience working with space-qualified platforms, including the configuration and deployment of Field Programmable Gate Arrays (FPGAs), and offers full lifecycle capabilities—from concept design to system integration, testing, and validation. M2MIST designs, develops and tests mechanical systems built to withstand the extreme environmental conditions of deep space, including intense launch vibrations, radiation, temperature extremes in vacuum. The team is currently supporting two flagship lunar surface missions involving Australia’s first planned rover “Roo-ver” and the “ALEPH-1” payload—delivering radiation-tolerant electronics for an integrated biological payload, capable of reliable operations in some of the most demanding conditions known.",Space Research and Technology,2-10 employees,Educational,"Melbourne, Victoria, Australia",Australia,rmit.edu.au,https://www.linkedin.com/company/m2mist
Blue Horizon Space,"Blue Horizon Space is pioneering a transformative solution to the bottleneck in Low Earth Orbit (LEO) launch capacity for small and medium spacecraft. By deploying a novel shallow-water-based launch platform, it eliminates geographic limitations, reduces infrastructure expenditure by up to 45%, and enables access to a broad range of orbital inclinations. This breakthrough approach expands launch accessibility for emerging space nations and empowers small satellite operators to participate competitively in the global space economy.",Space Research and Technology,Self-employed,Privately Held,"Sydney, New South Wales, Australia",Australia,bluehorizonspace.systems,https://www.linkedin.com/company/blue-horizon-space
DESIGN LEDGER,"Design LedgerTM is the operational architecture of the TIME ProtocolTM, a coherence-based operating system for civilization.
It replaces timestamps with causal proofs, transforming every act of creation into a verified contribution to reality itself.

At its core, Design LedgerTM measures meaning, not sequence.
Through the Temporal Validation CircuitTM (Intention → Resonance → Transformation), every transformation is validated by coherence, ensuring that time only advances when truth is realized.

Powered by the Fractal LedgerTM, Entropy IntegralTM, and the Ontological Runtimes (KALI), the system creates a regenerative framework where progress equals verified alignment and design becomes the metabolism of evolution.

Design LedgerTM serves as the sovereign infrastructure for coherent innovation, uniting creators, systems, and intelligence under a single law:

No verified transformation, no passage of time.",Space Research and Technology,Self-employed,Privately Held,"Perth, Wa, Western Australia, Australia",Australia,designledger.co,https://www.linkedin.com/company/design-ledger
Eustace S. LaFleur Company Australia,"Dear Online Guests,
   Does anyone in the global marketplace need help with indicator lights to remember your belongings before driving? See the video. Make your own!
Cell: +1 386 523 8765 
Austin Wayne Ash 
See contract payment platform Malt https://www.malt.uk/profile/austinash
Malt Freelance platform seems ready, except a passport is still needed to start any project via Malt. I ask you to cover the cost of my passport, no other hidden fees unless software/licensing required. I am here to serve! 
State registered ""other"" (biological) engineer intern (LAPELS Registration Number EI.0035403)
Austin Wayne Ash sole proprietorship Fictitious Name (Sunbiz, Florida State)
Filed date 10/22/2024
Expires 12/31/2029
Florida state Sunbiz registration number G24000129683
Status: active
History:
Filed date in South Dakota 2023
Expired in South Dakota 2024
Resources:
Italy: Austin currently listed on Englishjobs.it   or
https://www.linkedin.com/company/eustace-s-lafleur-company-italia/about/?viewAsMember=true
France: Austin currently listed on Malt 
https://www.malt.com/profile/austinash   or
https://www.linkedin.com/company/eustace-s-lafleur-company-l-hexagone/about/?viewAsMember=true
Freelace platform Espana is Outvise.
https://www.outvise.com/account/profile",Space Research and Technology,Self-employed,Self Owned,"Adelaide, South Australia, Australia",Australia,malt.uk,https://www.linkedin.com/company/eustace-s-lafleur-company-austrailia
