Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Micropolis Robotics,"We’re changing the way people think of mobility.

We know for a fact that the future is autonomous.
Micropolis, through years of research & development, is positioned to make functional transportation safer, cleaner, and more accessible.

In order to achieve this goal, we embarked on a journey to reimagine transportation.

We are a catalyst in the paradigm shift towards sustainable mobility.
Micropolis delivers mobility-as-a-service to dense urban environments with end-to-end management, maintenance, and upgrades for our fleet of vehicles.

Strategic partnerships accelerate innovation.
Micropolis joined forces with Dubai Police in 2020, and together, ushered in a new era for autonomous rovers.

Much has been learned on the road to re-discovery.
Roads are inherently unsafe and can be stressful.
Our testing focuses on real-life scenarios as we move towards launching our first fleet.",Robotics Engineering,51-200 employees,Privately Held,"Deira, Dubai, United Arab Emirates",United Arab Emirates,micropolis.ai,https://www.linkedin.com/company/micropolis-robotics
Sager,"Sager is an all-in-one geospatial data partner, simplifying the entire process of capturing, analyzing and visualizing data via a cloud-based platform. Our goal is to help enterprises spanning various industries integrate aerial technologies (like drones, manned aircraft and satellite imagery) into their diverse workflows to obtain high-quality data, convert it into actionable insights and make informed AI-powered decisions that drive growth and efficiency. 

 

We meticulously crafted a dynamic ecosystem - centered on our cloud-based platform, SagerSpace - to synchronize advanced aerial technologies, robust data management and AI-driven insights, setting the stage for a future where aerial data becomes integral to every enterprise’s operations and scaling plans.  

 

With Sager, you don’t just observe from a distance; you step into the bigger picture, where data-driven possibilities are limitless.",Robotics Engineering,11-50 employees,Privately Held,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,sagerdrone.com,https://www.linkedin.com/company/sagerdrone
Future Maintenance Technologies,"Future Maintenance Technologies (FMT) is leading the rail industry with automated maintenance solutions to enhance efficiency and alleviate pressures from skilled worker shortages.

The rail industry faces increasing pressure from labour shortages, escalating costs, and the need for more efficient and safer maintenance practices. With $Billions being spent annually on rail maintenance and a global shortage of skilled workers - traditional maintenance methods are no longer sustainable.
 
FMT is revolutionising rail maintenance by deploying autonomous robotic solutions integrated with Al and Machine Learning. We address the challenges facing rail operators worldwide by providing faster, safer, and more cost-effective maintenance, ensuring improved uptime, reduced costs, and enhanced safety while alleviating the skilled labour shortage.

Our solutions automate rail inspections and critical maintenance tasks, providing you with advanced analytics and predictive maintenance capabilities.",Robotics Engineering,11-50 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,thinkfmt.com,https://www.linkedin.com/company/thinkfmt
FutureLab,"Future Lab Industries is an Abu Dhabi-based manufacturer of unmanned aerial systems and a licensed pilot training academy, serving the energy, oil & gas, industrial and emergency-response sectors across the UAE and GCC.

We build drones that do dangerous high-altitude work without putting people on the towers — and, in power grids, without switching off the line.

Flagship systems:
• Dragonfly — live-line diagnostics of overhead lines (35–500 kV), down to the conductor core, with no outage.
• Spider — live-line repair: temporary clamps, de-icing, and washing salt deposits off insulators — a recurring problem on the Gulf coast.
• Firefighting drone — extinguishes tank and reservoir fires from up to 1 km.
• Cargo line — payloads up to 40 kg for hard-to-reach sites.
• Fly — compact drone for surveillance and monitoring.

There is no direct equivalent to our live-line diagnostic and repair systems on the market.

Trusted by grid and utility operators including DEWA (UAE), Saudi Electricity Company (KSA), EVN NPT (Vietnam) and TEIAS (Turkey).

What we offer:
• Drones built for the Middle East climate and regulations
• Operator training at our Abu Dhabi academy
• On-site diagnostics, repair and service

Facilities in Abu Dhabi (KEZAD): 800 m2 production, dedicated flight zone, fleet of 25+ UAVs, 10 instructors.",Robotics Engineering,51-200 employees,Privately Held,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,futurelab-uae.com,https://www.linkedin.com/company/futurelabllc
Reliable Robotics,"Reliable Robotics is at the forefront of developing technologies in the areas of mapping and navigation, human-robot interaction, and physical solutions. We seek to build an ecosystem of robots and technologies to enable smart services in airports, banking, hospital, educational sectors through applied innovation, internal initiatives and by building strategic external partnerships.",Robotics Engineering,2-10 employees,Privately Held,"Al Hamriya, Dubai, Dubai, United Arab Emirates",United Arab Emirates,reliablerobotics.ai,https://www.linkedin.com/company/reliable-robotics
ALEBEL TECH,"AEBEL TECH Establishment is a growing business group based in UAE, with a focus on industrial robotic assembly and Electric & Electronics Devices. Licensed and active in the Middle East, Al Ebel continues to expand its capabilities in advanced manufacturing and technology-driven solutions",Robotics Engineering,11-50 employees,Self Owned,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,,https://www.linkedin.com/company/al-ebel-2025
SENTIENTE,"At SENTIENTE, we are driven by a bold and inspiring vision: to create a more sustainable world through publishing and Robotics Innovation with the United Nations Sustainable Development Goals (SDGs). 

Our mission is rooted in the belief that a greener, more sustainable future is not just a possibility—it’s a necessity for the betterment of humanity. 
Together, let’s build a world where sustainability is the foundation of progress, and where every step forward is a step toward a better future for generations to come.

Our Services
Sustainability Integration:
Embed sustainability into your core business model.

Identify and implement sustainable practices.
ESG Strategy Development:

Develop comprehensive Environmental, Social, and Governance (ESG) strategies.
Align your business goals with ESG principles.
Regulatory Compliance:

Ensure compliance with CSRD and other relevant regulations.
Prepare and submit accu

Being expert publishers based in Sharjah Publishing City.  We accept manuscripts across all genres, with or without an agent, from anywhere in the world. Whether you are a new author or have been previously published, Sentiente would like to hear from you. The review process can take up to three weeks. We will contact you once a decision has been reached. 

Some of the great books we are working on:
1. Emerging Technlogies
2. PMO 
3. Self Help, Fiction Non-Fiction, Cartoon.

What to include in your submission
Covering letter
Your covering letter should include:

Your full name (and pseudonym if applicable)
Your postal address, telephone number, and email address (if you have one)
Any details of past writing experience
An estimated word count for your complete manuscript

Synopsis and manuscript

A synopsis is a brief overview, which can vary in length depending on the nature of your book, but generally it should not exceed 500 words. You will also need to include a copy of your full manuscript.
Send us your Manuscript today : info@sentiente.com",Robotics Engineering,11-50 employees,Privately Held,"Uae, United Arab Emirates",United Arab Emirates,sentiente.com,https://www.linkedin.com/company/sentiente
AI & Robotics Lab,"Welcome to your Gateway to Future Innovation! 

We are dedicated to nurturing the next generation of tech leaders and innovators. Our mission is to empower young minds with the knowledge and skills they need to excel in the exciting worlds of robotics and artificial intelligence.",Robotics Engineering,2-10 employees,Educational,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,,https://www.linkedin.com/company/ai-robotics-lab
AstraBionics,"AstraBioincs is a multidisciplinary venture dedicated to offering the following solutions and products:
* Artificial Bionic Hand        * Control Gloves       * Telerobotic
* Artificial Intelligence         * Prototyping & 3D Printing
* Academia                          * Regenerative Medicine
CEO and Founder: Dr. Reza Almasi
Co-Founder: Mohammad H Cheraghi",Robotics Engineering,51-200 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,astrabionics.com,https://www.linkedin.com/company/astrabionics
Qnovation,"At Qnovation, we are at the forefront of the AI and Robotics revolution, shaping the future of industries through cutting-edge automation and smart technologies. As a team, we are committed to delivering intelligent solutions that drive efficiency, enhance productivity, and unlock new possibilities for businesses and institutions worldwide.

With deep expertise in robotics engineering, AI automation, and digital transformation, we specialize in designing and implementing AI-driven solutions that seamlessly integrate with real-world applications. Whether it’s optimizing industrial workflows, enhancing robotic integration, or pioneering smart automation strategies, we ensure that businesses stay ahead in this era of intelligent innovation.

 What We Do at Qnovation:

 AI & Robotics Integration – Implementing intelligent automation for manufacturing, retail, healthcare, and industrial applications.
 Smart Systems & Digital Transformation – Designing and deploying AI-driven solutions to enhance operational efficiency and reduce costs.
 Consulting & Training – Providing expert guidance on AI education, automation strategies, and robotics implementation for businesses and universities.

 Why Partner with Qnovation?

 Innovation-Driven – Passionate about pushing boundaries in AI, robotics, and smart automation.
 Industry Expertise – A strong foundation in AI, robotics, and real-world implementation experience.
 Results-Oriented – Focused on delivering tangible impact, from streamlining production to enhancing AI-powered decision-making.

 Let’s Build the Future Together!

 If you’re looking to integrate AI automation, develop smart robotics solutions, or explore AI-driven opportunities, let’s collaborate!

 Let’s shape the future of AI & Robotics together with Qnovation! [ask@qnovation.ai]

#AI #Robotics #Automation #Industry40 #DigitalTransformation #Innovation #Qnovation",Robotics Engineering,11-50 employees,Partnership,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,qnovation.ai,https://www.linkedin.com/company/qnovation
Icosium,"Icosium is an AI & robotics company specialised in intelligent micro automation and user experience enrichment  for the events and entertainment industry, retail & supply chain, F&B and others.

We are committed to shaping a future where robotics excel across diverse domains, seamlessly integrating AI and robots to elevate standards of operation and drive unparalleled innovation in fields encompassing events, entertainment, Supply chain and beyond.",Robotics Engineering,11-50 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,icosium.io,https://www.linkedin.com/company/icosium-robotics
iPark Robotic Parking & Elevators LLC,"We are iPark, a company specializing in robotic car parking systems. We'd love to discuss how our innovative solutions can benefit your projects. 
Visit our website: www.iparkglobal.com",Robotics Engineering,51-200 employees,Partnership,"Deira, Dubai, United Arab Emirates",United Arab Emirates,iparkglobal.com,https://www.linkedin.com/company/ipark-robotic-parking-elevators-llc
Autonomous Robotics & Embodied Intelligence Systems Lab (AREIS Lab),"Autonomous Robotics & Embodied Intelligence Systems (AREIS) Lab is a research laboratory under the supervision of Doctor Irfan Hussain, an Associate Professor at Khalifa University, Abu Dhabi. The lab is dedicated to advancing the embodiment and real-world applications of robotic systems across AgriTech, Marine Technologies, Animal Conservation, and Robotic Manipulation. We focus on seamlessly integrating physical intelligence, encompassing actuation and sensing, with cognitive intelligence, comprising control, planning, and learning, within robotic systems. Our innovative solutions have found applications across a spectrum of domains, including industrial, healthcare, and marine robotics. Through our research endeavors, we strive to narrow gaps and enrich practical applications in these diverse fields. Our research in these areas have yielded notable contributions, documented in various patents and published papers. showcasing the impact of our research in these domains.",Robotics Engineering,11-50 employees,Educational,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,,https://www.linkedin.com/company/ihlab
Company Six,Company Six builds technology that advances the awareness and protection of those who put themselves in harm’s way. We've Got Your Back.,Robotics Engineering,11-50 employees,Privately Held,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,co6.ae,https://www.linkedin.com/company/companysix
Robotics and Automation Society,"The first local Robotics and Automation Society that brings together robotics and automation (R&A) experts, scientists, talents, innovators, professionals, researchers, students and other relevant stakeholders under one umbrella to establish a UAE-based strong robotics network, share knowledge and contribute to the future of the UAE.",Robotics Engineering,11-50 employees,Public Company,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,ras-uae.ae,https://www.linkedin.com/company/ras-org-ae
