Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Energy Vault,"Energy Vault is an integrated power infrastructure platform that builds, owns and operates flexible, reliable energy systems to accelerate time-to-power for utilities, independent power producers, industrial customers and the AI and data centre market.

At the core of its platform is a technology-agnostic, software-enabled architecture designed to accelerate project delivery, optimise performance, and drive faster time-to-revenue. Energy Vault’s integrated solutions combine energy storage, generation, and advanced energy management to deliver scalable infrastructure tailored to customer needs.

Through its Build, Own & Operate model, Energy Vault generates long-term, recurring revenues while delivering project execution excellence across development, delivery, and operations. By combining innovation with disciplined execution, Energy Vault is redefining how power infrastructure is developed and deployed,  delivering reliability, flexibility, and scale in a rapidly evolving global energy market.

Please visit www.energyvault.com for additional information.",Renewable Energy Semiconductor Manufacturing,51-200 employees,Public Company,"Lugano, Ticino, Switzerland",Switzerland,energyvault.com,https://www.linkedin.com/company/energy-vault-inc
roXplore gmbh,"Seismische Untersuchungen für geologische Fragestellungen - wir helfen Ihnen bei der Bestimmung von Felstiefe, geotechnischen Parametern, dem Auffinden von Rohstoffen oder der Kartierung von Naturgefahren.",Renewable Energy Semiconductor Manufacturing,Self-employed,Public Company,"Amlikon, Thurgau, Switzerland",Switzerland,roxplore.ch,https://www.linkedin.com/company/roxplore-gmbh
Swisstherm AG,"Swisstherm AG is a renewables & environment company based out of Rupperswil, Aargau, Switzerland.",Renewable Energy Semiconductor Manufacturing,2-10 employees,,"Rupperswil, Aargau, Switzerland",Switzerland,swisstherm.ch,https://www.linkedin.com/company/swisstherm-ag
Designergy SA,"Our Company is based in Switzerland and is active in construction business since 2011. It has developed an innovative idea for roofing, which consists of a system of elements integrated with photovoltaic. The Company has its own R&D department and a production line in San Vittore. The TCR system consists in elements easy to install on roof structure, ensuring absolute water resistance thanks to double water barrier, thermal insulation and production of electric energy thanks to the integrated photovoltaic module.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"San Vittore, Graubünden, Switzerland",Switzerland,designergy.ch,https://www.linkedin.com/company/designergy-sa
Sapin Energie Sàrl,"Nous avons à coeur de vous accompagner dans le choix de votre source de chaleur, l'assainissement technique de votre système de chauffage, le réaménagement de vos locaux grâce aux divers systèmes de distribution de chaleur moderne",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Denens, Vaud, Switzerland",Switzerland,,https://www.linkedin.com/company/sapin-energie-sàrl
SolarLab SA,"SolarLab is a Swiss CleanTech company operating internationally in the renewable energies engaged in the promotion and sale of solar energy solutions.
 
Solarlab is committed to nurture the sustainable urban development through the commercialization of new solutions of clean energy

SolarLab operates in the construction segment liaising and partnering with different industries and stakeholders to create value through the construction value chain",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Écublens, Vaud, Switzerland",Switzerland,solarlab.ch,https://www.linkedin.com/company/solarlab-sa
ESTA Swiss AG,Wir sind ein innovativer Konstrukteur und Lieferant von verschiedenen Anlageteilen im Bereich der Haustechnik.,Renewable Energy Semiconductor Manufacturing,2-10 employees,Public Company,"Hunzenschwil, Aargau, Switzerland",Switzerland,estaswiss.ch,https://www.linkedin.com/company/esta-swiss-ag
SustainTec GmbH,"Die Arbeit der SustainTec GmbH gilt immer dem einen Ziel: innovative Lösungen für die Energieversorgung von Gebäuden, Arealen und Elektrofahrzeugen zu finden.
Wir ebnen unseren Kunden den Weg in die Sektorenkopplung und somit in die Energiezukunft!",Renewable Energy Semiconductor Manufacturing,Self-employed,Public Company,"Frenkendorf, Basel-Country, Switzerland",Switzerland,sustaintec.ch,https://www.linkedin.com/company/sustaintec-gmbh
Triage forestier du Haut-Lac,"Regroupement de service forestier des Commune et bourgeoisie de St-Gingolph, Port-Valais, Vouvry, Vionnaz et Collombey-Muraz. 
Conseils et responsable de la gestion des forêts publiques et privée.
Tous types de travaux forestiers pour privés ou collectivités publiques de la région: entretien de forêts et de parcelle, abattage dans les propriété et en milieu construit.
Valorisation de produits en bois: mobilier urbain(bancs, tables, fontaines, bacs à fleurs,...), toutes autre construction sur demande
Valorisation de notre bois en energie: fabrication, vente et livraison de bois de feu",Renewable Energy Semiconductor Manufacturing,2-10 employees,Government Agency,"Collombey-Muraz, Valais, Switzerland",Switzerland,foretsduhautlac.ch,https://www.linkedin.com/company/triage-forestier-du-haut-lac
LED Werkstatt GmbH,"Wir sind ein junges schweizer Unternehmen, das innovative LED-Leuchtreklamen, Beleuchtungen, Energiesäulen und modulare Abfalltrennsysteme entwickelt und herstellt.

Unser Unternehmen wird zu 100% von den Gründern getragen. Wir verzichten bewusst auf Fremdfinanzierung durch Banken oder externe Finanzgeber, damit wir auch die Freiheiten haben, selber über die Entwicklung des Unternehmens und der Produkte zu entscheiden. Als Unternehmung ist es uns wichtig, Produkte nicht nach Ausschreibungen oder Mitbewerbervorgaben zu entwicklen. Wir versuchen stets den Blick des Anwenders zu wahren und so Funktion und Handling in Verbindung mit dem Design umzusetzten. Daher sind die meisten unserer Produkte modular aufgebaut, so dass Standard-Produkte auf individuelle Anwendungen angepasst werden können.

Seit der Gründung hat sich LEDwerkstatt von einem Start-Up zu einem kompetenten Partner für Leuchtreklamen und Beleuchtungen entwickelt. Verschiedene Unternehmen zählen bereits heute auf unsere Produkte und präsentieren Ihren Geschäftsauftritt auf unseren Display-Lösungen.

Seit Herbst 2013 haben wir unsere Produkte durch Abfalltrennbehälter ergänzt und bieten so moderne Lösungen an. Design soll auch bei Abfallbehälltern nicht halt machen. So werden ansprechende Produkte gerne benutzt und tragen zur Umweltschonung bei. In Verbindung mit den Leuchtreklamen bauen wir so ganze Produktfamilien auf. Mit modularen Energiesäulen und Aussenmobiliar haben wir unser Portfolio seit 2015 erweitert.

https://ledwerkstatt.ch/impressum/",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Thörigen, Berne, Switzerland",Switzerland,ledwerkstatt.ch,https://www.linkedin.com/company/ledwerkstatt.ch-gmbh
SES Societe d Energie Solaire,Develop & Research of BIPV,Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Plan-les-ouates, Switzerland",Switzerland,societe-energie-solaire.com,https://www.linkedin.com/company/ses-societe-d-energie-solaire
ARKTOS SA,"Innovation and climate change
 - Developing and consulting on projects targeting sustainability and the protection of the environment  

Remote sensing analysis
 - Satellite sensing acquisition framework
 - Geo-alerts and monitoring
 - Impact assessment and enhance decision making
 - Geospatial driven insight  and optimization

Support systems and data management
 - Advanced data and modeling solutions
 - Easy and cheap accessibility 
 - Service tailored on your needs

Offensive Security
- Penetration Testing
- Vulnerability Assessments
- RED Teaming
- Phishing and Social Engineering 
- Threat Intelligence
- OSCP certified",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Geneva, Geneva, Switzerland",Switzerland,arktos.space,https://www.linkedin.com/company/arktosspace
CleanFizz,"CleanFizz is a Swiss based company developing innovations to promote the solar industry

CleanFizz S.A. has developed an innovative solution “Integrated ElectroDynamic Cleaning” to revolutionize the solar panel industry with an entirely new self-cleaning method based on electrostatic waves.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Meyrin, Geneva, Switzerland",Switzerland,cleanfizz.com,https://www.linkedin.com/company/cleanfizz
