Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
AirForestry,"AirForestry's groundbreaking technology makes it possible to thin out the forests in a completely new way, namely from the air with high-capacity drones. Through our innovative thinning, we contribute to reducing carbon dioxide emissions from forestry work while increasing the forest's ability to sequester carbon.",Robotics Engineering,11-50 employees,Privately Held,"Uppsala, 03, Sweden",Sweden,airforestry.com,https://www.linkedin.com/company/airforestry
Furhat Robotics,"Furhat Robotics is robotics startup building social humanoid robots for research and innovation. Grounded in years of research in human-robot interaction, human communication and speech technology, our flagship Furhat Robot provides a customizable platform integrated with the latest face animation, speech and vision models that allow it to carry complex social interactions with people in the real world.

Furhat's core mission is to enable people to easily build real-world use cases  and give robots all the essential social and conversational skills needed to interact with humans just as we interact with each other.",Robotics Engineering,11-50 employees,Privately Held,"Stockholm, Stockholm County, Sweden",Sweden,furhatrobotics.com,https://www.linkedin.com/company/furhat-robotics
Manta,"Manta is a technology company that provides solutions for marine autonomy. With a global operational and sales organization, Manta supports its customers worldwide with life-of-field services and cutting-edge seismic acquisition solutions.",Robotics Engineering,51-200 employees,Privately Held,"Linköping, 05, Sweden",Sweden,mantasystems.com,https://www.linkedin.com/company/manta-systems-ab
Aerit,Fast. Safe. Cool. A sustainable drone delivery service.,Robotics Engineering,11-50 employees,Privately Held,"Ladugårdsgärdet, 01, Sweden",Sweden,aerit.io,https://www.linkedin.com/company/aeritdrones
WeBot robotics,"WeBot is Sweden’s leading and most experienced provider of commercial service and automation robotics.
With the longest track record in the Swedish market, we have established ourselves as the go-to partner for businesses looking to integrate advanced robotics into their operations – improving efficiency, reducing operational costs, and enhancing the overall customer and employee experience.

Our portfolio includes a wide range of intelligent robots such as cleaning robots, serving robots, reception robots, and quadruped robot dogs. Each solution is powered by state-of-the-art hardware and AI-driven software, enabling safe, autonomous operation in dynamic and complex environments. Our robots utilize technologies such as LIDAR, SLAM navigation, real-time mapping, sensor fusion, and adaptive algorithms to move, interact, and perform tasks intelligently.

What sets WeBot apart is our ability to combine robust technology with a consultative, client-focused approach. We don’t just deliver products – we provide complete solutions. From initial needs analysis and system design to deployment, onboarding, training, and continuous support, we ensure that our solutions integrate seamlessly into your existing workflows and deliver long-term value.

We support a broad range of industries including hospitality, healthcare, retail, logistics, and public spaces – helping organizations automate repetitive tasks, optimize staff resources, and offer modern, tech-enabled services.

As the most established robotics company in the Swedish market, WeBot brings deep domain expertise, trusted supplier partnerships, and a strong commitment to reliability and innovation.

Visit www.webot.se to learn more, or reach out to us directly here on LinkedIn to discuss how we can support your automation journey.",Robotics Engineering,11-50 employees,Privately Held,"Stockholm, Täby, 01, Sweden",Sweden,webot.se,https://www.linkedin.com/company/webot-se
Levtek,"Our user-led approach and cost-effective hardware removes barriers to entry, making automation accessible to a wide range of new use-cases and user groups. Our robots deliver immediate utility while continuously learning and improving their capabilities.",Robotics Engineering,2-10 employees,Privately Held,"Malmö, 12, Sweden",Sweden,levtek.io,https://www.linkedin.com/company/levtek
Robot Minds,"At Robot Minds, we are committed to empowering organisations to navigate and thrive in the rapidly evolving landscape of robotics. Our approach helps clients from diverse sectors—including municipalities and large corporations—grasp and harness the transformative potential of service and social robots.

We support our clients at every stage of their journey, from demystifying the initial technologies to developing tailored strategic integration plans. Through targeted pilot projects or comprehensive strategic development, both for short-term and long-term objectives, we ensure that our services are customised to meet the specific needs and challenges of each client.

Understanding that successful implementation greatly depends on technology adoption across the entire organisation, we emphasise the importance of education and training. Our training programs are crafted to prepare your personnel to work effectively with robotic technologies, ensuring seamless integration and enhancing both efficiency and adaptability within your organisation.

Robot Minds combines deep technical expertise with extensive strategic experience to provide consulting that guides and transforms your operational processes. Whether the goal is to enhance public services or innovate corporate procedures, our team ensures a smooth transition to advanced robotics through strategic planning and targeted implementation.",Robotics Engineering,2-10 employees,Privately Held,"Stockholm, Stockholm County, Sweden",Sweden,robotminds.com,https://www.linkedin.com/company/robot-minds
Enodo Robotics,"At Enodo Robotics we believe in a future of abundance powered by robotics. We expand what is possible with industrial robots, unlocking their application in new and complex tasks. 

One such example is Enodo Pick: our AI-driven robot solution that automates manual picking operations in the recycling industry to significantly enhance safety, increase productivity, and improve recycling throughput of existing facilities. 

Driven by a passionate team from leading robotics companies and top research institutions, we foster creativity, ownership, and innovation to redefine what's achievable in robotics.",Robotics Engineering,2-10 employees,Privately Held,"Västerås, 19, Sweden",Sweden,enodorobotics.com,https://www.linkedin.com/company/enodo-robotics
Cota Robotics,"Labor as a service, through a network of humanoid robots.",Robotics Engineering,2-10 employees,Privately Held,"Stockholm, 01, Sweden",Sweden,cotarobotics.com,https://www.linkedin.com/company/cota-robotics
Smart Factory by Odigo,"Smart Factory by Odigo utvecklar och levererar cobot lösningar till produktionslinjer. Vi kan lösa det mesta inom automation och erbjuder bland annat palletering, lådresning, packning, montering och maskinbetjäning. Med kollaborativa robotar ökar både kvalité, stabilitet, medarbetartrivsel och produktivitet.",Robotics Engineering,2-10 employees,Privately Held,"Malmö, 12, Sweden",Sweden,smartfactory.nu,https://www.linkedin.com/company/smart-factory-automation
