Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Greenly,"Greenly is on a mission to democratize access to science-backed climate intelligence, transforming sustainability from a compliance burden into a strategic competitive advantage. 

In a world where sustainability once meant costly consultants, manual data entry, and static PDF reports, Greenly makes climate action accessible, precise, and actionable for everyone: from SMEs to global enterprises. 

Our all-in-one sustainability suite centralizes everything from carbon management and LCAs to ESG & CSRD reporting, backed by 4000+ delivered GHG reports, 10+ ESG frameworks, and a supplier platform engaging over 5,000 partners. Trusted by 3,500 clients in 25 countries, Greenly combines science-backed precision, with access to 300k+ emission factors and methodologies aligned with the GHG Protocol, ISO, and SBTi, with expert guidance from 70+ climate professionals, ensuring every company builds credible strategies and becomes smarter about climate as they go. 

Designed with efficient tech and intuitive UX, Greenly streamlines sustainability operations with integrations across 100+ softwares, automated quality controls, and real-time data visualizations, earning us top ratings (4.9 G2, 4.8 Capterra, 4.6 Trustpilot). 

Greenly empowers companies to own their climate expertise in-house and collectively drive impact toward our bold goal: avoiding 1 billion tons of CO2 by 2030.",Climate Data and Analytics,201-500 employees,Privately Held,"Paris, Île-de-France, France",France,greenly.earth,https://www.linkedin.com/company/greenly-earth
Climate Analytics,Climate Analytics is a global climate science and policy institute working to accelerate climate action and keep warming below 1.5°C.,Climate Data and Analytics,51-200 employees,Non Profit,"Le Trait, Normandy, France",France,climateanalytics.org,https://www.linkedin.com/company/climate-analytics
Carbon4 Finance,"Carbon4 Finance is a spin-off of the leading advisory firm Carbone 4 specialized in the energy and climate transition for 18 years.

Carbon4 Finance offers a complete set of climate data solutions covering both physical and transition risks, as well as biodiversity impacts and dependencies.

These proprietary methodologies allow financial organizations to measure the carbon and biodiversity footprint of their portfolio, assess the alignment with a 2°C-compatible scenario and measure the impacts that arise from events related to climate change and biodiversity loss",Climate Data and Analytics,11-50 employees,Privately Held,"Paris, Île-de-France, France",France,carbon4finance.com,https://www.linkedin.com/company/carbon4finance
Hydroclimat,"Hydroclimat: French expertise in climate data engineering for a resilient future in the face of climate change

At Hydroclimat, we are at the crossroads between digital hydroclimatology, artificial intelligence and climate big data. Our mission is clear and aligned with the latest French and European regulations (tracc &amp; csrd ): to provide enriched data for reliable, ultra-precise risk and vulnerability analyses to help industries and local authorities anticipate and adapt to climate change.

 Why Hydroclimat?

Solutions tailored to your needs: With our advanced M3E technology, recognised as DeepTech by BPI France, we combine the most up-to-date scientific data with digital simulations and triple expertise in climate - water resources - flooding. This enables us to develop tools such as POP-Risk, an innovative system for assessing climate-related physical risks.

Solid expertise: We are participating in innovative projects on climate resilience in France alongside CEREMA and @esrifrance, we are previewing Copernicus Climate Change products, and we are contributing to international initiatives such as the WRCP's CMIP7.

A global commitment: Winner of two National Recovery Plans from the cnes and the cnrs , we design solutions like POP-Flood, which help predict floods, for more sustainable and resilient territories.

 Some key figures :

- 200+ climate indicators produced
- 30+ climate models used
- 500TB of climate data
- 25+ scientific publications in 2023
- 3 cifre theses in progress
- 10+ R&D projects

 Our technology for all sectors:

 Finance & Insurance
 Community & Territory
Infrastructures
 Water manager
Agriculture",Climate Data and Analytics,11-50 employees,Privately Held,"Aubagne, France",France,hydroclimat.com,https://www.linkedin.com/company/hydroclimat
Weather Trade Net,"Weather Trade Net helps companies and communities identify, measure, anticipate, and mitigate weather-induced loss and damage. Founded in 2022 by Elena Maksimovich, PhD in Climatology and Geophysics, alumna of Pierre et Marie Curie University, Paris-6, the company is driven by a mission to democratize climate risk knowledge and integrate it into sustainability reporting, credit risk modeling, and insurance practices.

At Weather Trade Net, we know that climate risk assessment is more than just data, it’s knowledge for informed decision-making. 

That’s why we are committed to delivering high-quality, user-friendly analytical solutions that transform complex data into actionable insights.

Discover our innovative technology for FREE:
* www.weathertrade.net
* https://climate-audit.ai
* www.yourclimaterisk.com

YouTube: https://www.youtube.com/channel/UCrnBZyU66uYF3sQ7ogG-QWw

Our team of climate scientists and sustainability experts develops technology for instant & easy data access for physical climate risk assessment & reporting. 

We’ve launched the first FREE and self-service platform for global climate risk analytics, providing:
 Decision-level climate data
 Asset-level
 Granular risk scores & probability assessments
 In-depth reports tailored to economic sectors & business needs
 Customized climate & financial impact assessments

As climate regulations and corporate compliance requirements evolve, our technology meets the growing complexity of reporting standards, especially as insurers withdraw from high-risk areas.

What makes us unique?
By integrating DeepTech, ClimateTech, InsurTech, and FinTech, we turn climate data into actionable insights for:
 Asset valuation
 Company ratings
 Credit risk modeling
 Portfolio diversification

In today’s world, climate risk is no longer an abstract uncertainty, it is a quantifiable financial and material factor. Our approach helps businesses adapt, mitigate, and thrive in an era of increasing climate volatility.",Climate Data and Analytics,2-10 employees,Privately Held,"Paris, Île-de-France, France",France,weathertrade.net,https://www.linkedin.com/company/weather-trade-net
Celest.Science,"At Celest.Science, we are dedicated to unlocking adaptive actions in the face of today's changing climate.

We believe in the critical need for forward-looking assessment of climate risks.

By blending AI with climate science, we develop innovative tools that provide our customers with critical insights into water-related risks, ranging from several weeks to a decade ahead.

We are building a team of talented professionals, deeply dedicated to creating meaningful change. Join us in shaping a sustainable future!",Climate Data and Analytics,2-10 employees,Privately Held,"Paris, Île-de-France, France",France,celest.science,https://www.linkedin.com/company/celestscience
Grand Paris Climat,"Créée en 2023, Grand Paris Climat, est l'association qui réunit la Métropole du Grand Paris et les 8 ALEC et Espaces Conseil France Rénov' de son territoire : 
- Agence Parisienne du Climat
- Grand Paris Seine Ouest Énergie
- ALEC Paris Ouest La Défense
- ALEC Plaine Commune
- Agence Locale de l’Energie Paris Terres d’Envol
- ALEC MVE 
- CAUE du Val-de-Marne 
- SOliHA Grand Paris 

L'objectif principal de l'association ? Accélérer la dynamique de rénovation énergétique sur le territoire ! Et pour cela, Grand Paris Climat va accompagner les ALEC du périmètre métropolitain pour faciliter l’accès des ménages métropolitain au service public de proximité qu’elles assurent ; mutualiser des moyens et outils pour l’ensemble des #ALEC et #ECFR ; développer des partenariats avec les professionnels de la rénovation ; aider à rechercher de financements, notamment européens ; porter et amplifier la voix des acteurs métropolitains de la #rénovationénergétique et du #climat.",Climate Data and Analytics,2-10 employees,Non Profit,"Paris, Île-de-France, France",France,grandparisclimat.org,https://www.linkedin.com/company/grand-paris-climat
Climate Innov,Climate Innov développe des logiciels intelligents d'analyse de risques environnementaux et d'aide à la décision dédiés aux acteurs de la sécurité civile et de la finance climatique,Climate Data and Analytics,11-50 employees,Partnership,"Nice, Provence-Alpes-Côte d'Azur, France",France,climate-innov.com,https://www.linkedin.com/company/climate-innov
adaptation/s,"A one-stop shop combining predictive tools boosted with artificial intelligence and strategic advisory for positive and resilient adaptation, at scale:
   1. Measure your climate risks across your own sites, supply chain, and business model.
   2. Build adaptation plans based on physical and financial modeling.
   3. Deploy your adaptation strategies at scale to strengthen your business's resilience.",Climate Data and Analytics,2-10 employees,Privately Held,"Paris, Île-de-France, France",France,adaptations.eu,https://www.linkedin.com/company/adaptations-eu
Welow,"Welow offers a cutting-edge platform that empowers banks, fintechs, and retailers to assist their customers in reducing their carbon footprint and embracing sustainable practices.

Using Welow's advanced technological solution and a environmental footprint calculation methodology that aligns with the regulatory standards of ADEME and the European Commission (PEF), the platform efficiently assesses the environmental impact of millions of products and individuals within seconds. This enables businesses and their customers to make more informed choices and actively contribute to a greener future.",Climate Data and Analytics,2-10 employees,Privately Held,"Paris, Île-de-France, France",France,welow.earth,https://www.linkedin.com/company/welow-earth
