Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
B&R Industrial Automation,"Constant innovation and strong partnership are two areas that have characterized B&R for over 40 years now. Together with ABB, we are the only company in the world to offer a complete portfolio of robotics, automation and software. Closeness to our customers has always been our greatest strength.

As part of the ABB family, we continue to be guided by the same values: Creating more productive and sustainable manufacturing solutions together with our customers. We share our automation expertise through training and during collaboration.

Imprint:  https://www.br-automation.com/en/about-us/imprintdisclosure/",Industrial Automation,"1,001-5,000 employees",Public Company,"Odense, South Denmark, Denmark",Denmark,br-automation.com,https://www.linkedin.com/company/b&r-industrial-automation
KC Køleteknik,"KC køleteknik holder til i Slagelse på Sjælland og vi tilbyder salg, montage, service og reparationer indenfor kølebranchen.
Vores mål er at tilbyde skræddersyet løsninger indenfor klima og køl til vores kunder og vi bestræber os altid på, at sikre miljøvenlige og kvalitetsbevidste løsninger til nytte for både mennesker, produktivitet og omverdenen.
Alle vore teknikere har Certifikat og KC Køleteknik er medlem af Kølebranchens Miljøordning (KMO) dermed er i sikret at alle lover og regler overholdes.",Industrial Automation,Self-employed,Partnership,"Slagelse, Zealand, Denmark",Denmark,xn--kckl-ira.dk,https://www.linkedin.com/company/kc-køleteknik
Thea Robotics,Thea Robotics is a smaller family owned company established in 2019 by Christian Porskrog. Thea Robotics offers small to medium sized companies reliable implementations of robots. Many companies have increased interest in implementing robotic solutions in their daily operations. In this context our mission is to make this process manageable.,Industrial Automation,2-10 employees,Self Employed,"Copenhagen, Capital Region, Denmark",Denmark,,https://www.linkedin.com/company/thea-robotics
HJORTECH automation ApS,"HJORTECH automation leverer konkurrencedygtige løsninger indenfor industriel automation og har bred erfaring med at udvikle og optimere produktionslinier, maskiner og anlæg til blandt andet medico-, petfood- og fødevareindustrien.

HJORTECH automation er stiftet i januar 2020 af el-ingeniør og elektriker Søren Hjorth.

Mere end 10 års erfaring med at udvikle og optimere på produktionslinjer, anlæg, robotter og maskiner, er fundamentet for min viden og tekniske know-how.

Jeg kan begå mig tværkulturelt og på alle organisationsnivauer. Jeg har erfaring med at udvikle og idriftsætte hos kunder nationalt, såvel som internationalt.

Jeg tager gerne ejerskab og kan træde til på alle stadier i projektet, hvor jeg med min strukturede og analystiske tilgang til opgaven, har stor succes med at at løse komplekse problemstillinger og samtidig se muligheder fremfor begrænsninger.

God erfaring med en bred vifte af PLC systemer: Siemens TIA, Siemens S7, Siemens servo, Rockwell PLC og HMI, B&R PLC og HMI

Omprogrammering af Fanuc og KUKA robotter, PackML standard, samt programmering af sikkerhedskredse.

 

HJORTECH automation kan levere konsulentydelser i alle faser af automationsprojekter.

Produktudvikling
Udvikling og optimering af intuitiv HMI
FAT/Indkøring/SAT
Kompleks programmering
Undervisning 
Enkel formidling af komplekse problemstillinger
El-dokumentation
Procesforståelse
Fejlfinding

HJORTECH automation kan levere konsulentydelser i alle faser af automationsprojekter.

Fokus på faglighed og innovativ tilgang til kapacitetsoptimering, kombineret med stor procesforståelse, bred erfaring og alsidige kompetencer inden for industriel automation, gør det muligt for mig, at levere en effektiv indsats og kompetent sparring.

Dette gøres ved at identificere muligheder som kan forbedre kundens oplevelse og værdi af totalleverancen. Det er i processen vigtigt at have blik for  detaljen – såvel som for helheden – for at kunne skabe den bedste løsning for kunden.",Industrial Automation,Self-employed,Self Employed,"South Denmark, Denmark",Denmark,hjortech.dk,https://www.linkedin.com/company/hjortech-automation
BETA technic ApS,"BETA technic was a Danish trade company that specialized in distribution of components for automated datacapture in various industrial and logistic applications. Since 1996 the primary focus was on RFID (Radio Frequency Identification) equipment, BETA technic was one of the forerunners of introducing the RFID technology to the Danish Market. The result was partnerships with leading RFID suppliers such as Alien Technology and HID as well as end-users like Vestas Wind Systems A/S, Grundfos A/S, Maersk Oil, Danfoss A/S, Co-Ro Food A/S. Idealcombi A/S, MT Højgaard A/S mv.",Industrial Automation,2-10 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,betatechnic.dk,https://www.linkedin.com/company/beta-technic-aps
Megatherm Energi A/S,,Industrial Automation,2-10 employees,,"Glostrup, Capital Region, Denmark",Denmark,,https://www.linkedin.com/company/megatherm-energi-a-s
E-ConsultDK,"Electrical design and construction of automation and machine systems

Competencies in design with:
• Eplan
o EPLAN Electric P8
o EPLAN Pro panel and wiring
o EPLAN Preplanning
o EPLAN Fluid
o EPLAN Database structure and maintenance

• PCSchematic
o PC Automation
o Database construction and maintenance

As well as other electrical design tools.

Contact: econsultdk@gmail.com",Industrial Automation,Self-employed,Self Employed,"Viborg, Middle Jutland, Denmark",Denmark,e-consultdk.dk,https://www.linkedin.com/company/e-consultdk
MHolger Design,"Mholger Design manufactures products and individual solutions for customers and we offer several different models of cooperation. Production is based on laser-cut parts in steel, and molded parts in plastic, which ensures a consistent quality and finish.",Industrial Automation,Self-employed,Privately Held,"Silkeborg, Middle Jutland, Denmark",Denmark,,https://www.linkedin.com/company/mholger-design
Dansk VirksomhedsService,"Dansk Virksomhedsservice har mere end 30 års erfaring inden for teknisk virksomhedsoptimering.
Der er mange firmaer der laver virksomhedsoptimeringer.
Dansk Virksomhedsservice har som målgruppe valgt små og mellemstore virksomheder, der kan se fordelen, ved at få en ikke fastansat person til at løse specifikke opgaver, inden for vores fokusområder.
Kontakt Dansk Virksomhedsservice, og se inden for hvilke områder vi kan hjælpe!",Industrial Automation,2-10 employees,Self Employed,"Harndrup, South Denmark, Denmark",Denmark,dk-vs.dk,https://www.linkedin.com/company/dansk-virksomhedsservice
Danish Logic Systems,Check out the company website,Industrial Automation,2-10 employees,Partnership,Denmark,Denmark,,https://www.linkedin.com/company/danish-logic-systems
