Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Stiesdal,At Stiesdal we develop and commercialize technologies with high impact on climate change mitigation. Follow us here for company news and and job postings.,Climate Technology Product Manufacturing,51-200 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,stiesdal.com,https://www.linkedin.com/company/stiesdal
Arcadia eFuels,"Producing the world’s future fuels to protect our environment and power our world. Making eSAF, eDiesel, and eNaphtha commercially in multiple global locations leveraging commercial proven technologies.  Our process to produce next zero carbon fuels utilizes renewable electricity to produce green hydrogen and captured carbon dioxide.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Vordingborg, Zealand, Denmark",Denmark,arcadiaefuels.com,https://www.linkedin.com/company/arcadia-efuels
Hengst Filtration | Industrial Air Filtration,"Hengst is recognized as one of the market leaders in filtration to automotive and engines industry, as a producer of a wide variety of filtration applications in the industrial and consumer goods sectors. With more than 3,000 employees at 14 locations on four continents, the Hengst family of companies is well-established globally.

We provide high technology air filtration solutions for air inlet houses and dust collectors in all parts of the world. We supply air filtration solutions for all operating environments and all applications.
 
Our filter cartridges are installed on GE, Siemens, Alstom, Turbomach, Solar and many other gas turbines around the world and we provide air filtration solutions to most dust collectors and baghouses. 

With our vast filtration experience and our wide range of high quality filter media and material, we offer:
- custom solutions for specific filtration needs
- replacement filter elements
- on-site technical field support
- filter analysis to establish residual filter life
- filter house inspection and maintenance programs

Our R&D departments and manufacturing sites situated in Denmark and the Middle East work closely together to ensure our global customers certified high quality products. All filters are produced in Denmark or in the Middle East by skilled workers and in everything we do, we strive to continuously develop innovative filtration solutions that increase performance and reduce Total Cost of Ownership for our global customers.",Climate Technology Product Manufacturing,"1,001-5,000 employees",Privately Held,"Nakskov, Zealand, Denmark",Denmark,hengst.com,https://www.linkedin.com/company/hengst-filtration-industrial-air-filtration
Tjæreborg Industri,"Tjæreborg Industri er en familiejet virksomhed, der i dag ledes af direktør Marianne Sørensen, som er 4. generation og oldebarn af Peder Christian Pedersen, som grundlagde virksomheden helt tilbage i 1881 som en lille traditionel landsbysmedje.

Siden har den familieejede virksomhed udviklet sig til at være en international og dynamisk virksomhed med godt 150 medarbejdere, og virksomhedens 5. generation er ligeledes sikret, idet Marianne Sørensens to børn, Anders Sørensen og Sandra Sørensen allerede i dag er med i virksomhedens ledelse og ejerkreds.

Tjæreborg Industri beskæftiger sig med en bred vifte af arbejdsområder, primært indenfor fjernvarme, el, energi og stålkonstruktioner.

Et højt kvalitets- og serviceniveau har altid været virksomhedens kendetegn, og firmaet har i dag en stor fast kreds af kunder og leverandører, som man har samarbejdet med i mange år.

Tjæreborg Industri hører til blandt landets førende indenfor sine virkefelter. De erfarne og kvalitetsbevidste medarbejdere besidder stor know-how og ekspertise, hvilket vil være medvirkende til, at Tjæreborg Industri også i fremtiden kan fastholde og videreudvikle sin position i markedet.

Foruden Tjæreborg Industri omfatter den familieejede virksomhed også datterselskabet Tjæreborg Kompensatorfabrik i daglig tale kaldet TComp, som designer og producerer stålkompensatorer.",Climate Technology Product Manufacturing,51-200 employees,Public Company,"Tjæreborg, South Denmark, Denmark",Denmark,tji.dk,https://www.linkedin.com/company/tjæreborg-industri-a-s
WATERCryst ApS,"WATERCryst er en tysk-østrigsk virksomhed, der udvikler og producerer BIOCAT kalkbeskyttelsesanlæg til professionelle installationer i hele Europa. 

En af vores styrker er, at vi har vores egen, patenterede katalysatorteknologi og fuld kontrol over produktionen på egne fabrikker. 

Det betyder høj kvalitet, stabil drift og en løsning, der beskytter installationer mod kalk helt uden brug af salt og kemikalier. Resultatet er lavere driftsomkostninger, minimalt vedligehold og en markant forbedret energieffektivitet – samtidig med, at miljøet skånes. 

BIOCAT-anlæggene forlænger levetiden på varmevekslere, kedler og rørsystemer og reducerer risikoen for driftsstop. Det gør anlæggene særligt attraktive for ejendomme, hvor driftssikkerhed og økonomi går hånd i hånd. 

Vi har i dag mange tusinde anlæg i drift i Europa, herunder markante referenceinstallationer som f.eks. Allianz Arena i München. 

I Danmark har vi kontor på Gl. Kongevej i København og arbejder primært med større anlæg til boligforeninger og professionelle ejendomsejere. Anlæggene blev introduceret på det danske marked i 2022, og vi er nu i gang med at opbygge en stærk, langsigtet position. 

Kort sagt: 
WATERCryst gør kalkbeskyttelse mere effektiv, mere økonomisk og mere miljøvenlig – uden kemi, uden salt og uden kompromiser, når det gælder driftssikkerheden.",Climate Technology Product Manufacturing,51-200 employees,Public Company,"Copenhagen, Capital Region, Denmark",Denmark,watercryst.dk,https://www.linkedin.com/company/watercryst-vandteknik
Viochar,"Viochar is a Danish company that manufactures pyrolysis reactors for biochar production.

We build batch pyrolysis systems—equipment designed to process organic feedstocks in individual runs rather than continuous flow. Batch systems offer simpler operation and maintenance compared to continuous alternatives, making them suitable for smaller-scale producers and operations processing variable feedstock types.

Our reactors handle a range of organic inputs including agricultural residues, wood chips, and green waste. The biochar produced meets quality standards for agricultural use and carbon credit certification.

We design our equipment for farmers, agricultural enterprises, waste management operations, and organisations producing carbon removal credits. Some will use biochar to improve soil health on their own land. Others will sell it as a product or generate revenue through certified carbon credits. The same equipment supports all of these paths.

We are based in Europe and sell equipment worldwide.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,viochar.com,https://www.linkedin.com/company/viochar
Ambient Carbon,"Ambient Carbon is developing and commercializing technologies that reduce or eradicate greenhouse gases, both at point source and in the ambient air. Based in Denmark, the company is focused on climate restoration using carbon-neutral and carbon-negative solutions for the world market.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Gentofte, Capital Region, Denmark",Denmark,ambientcarbon.com,https://www.linkedin.com/company/ambientcarbon
Weel & Sandvig,"We are fully engaged in supporting the industry in monitoring and reduction of greenhouse gas emissions as well as other harmful emissions. Our ambition is to be a key player in the transformation of the industry - moving to net zero emission. It’s easier said than done, but we provide knowledge, solutions, and commitment and work tirelessly in making daily progress together with our customers and partners.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Kongens Lyngby, Capital Region, Denmark",Denmark,weel-sandvig.com,https://www.linkedin.com/company/weel-sandvig
Behold,Made for animals.,Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,behold.cam,https://www.linkedin.com/company/beholdhq
Airlich ApS,"Based on unique science and technology, Airlich delivers sustainable and environmentally-friendly HVAC solutions that improve indoor air quality, reduce energy costs, and lower a building's overall carbon footprint. All while providing the health and productivity benefits of clean air – with a clean conscience.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,airlich.com,https://www.linkedin.com/company/airlich-aps
