Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Utility,"Utility enables economic industrial decarbonization at scale by delivering practical solutions that integrate with existing infrastructure and economics.

Utility delivers solutions that drive industrial decarbonization across hard-to-abate sectors including steel, low-carbon fuels, refining, petrochemicals, and chemicals and upstream oil and gas. Our breakthrough H2Gen technology converts water to pure hydrogen by using electrochemical energy in industrial off gases and biogenic gases to drive water electrolysis without electricity. H2Gen also concentrates carbon dioxide in off gases as a separate product stream, enabling economic industrial decarbonization.

H2Gen systems are modular, scalable, and operationally flexible, integrating seamlessly into existing industrial assets with a small footprint, making decarbonization practical and economic.

World-Class Ecosystem

Utility was created to enable true economic industrial decarbonization, bringing about the commercial transition to a low-carbon world. This is our passion, our drive, and the reason why we exist. Globally recognized, our world-class stakeholders are unparalleled.

Our team consists of top professional talent, including engineers and scientists, designers and operators, storytellers and strategists, all united by a shared belief and guided by highly experienced industry leaders.",Climate Technology Product Manufacturing,51-200 employees,Privately Held,"Dublin, County Dublin, Ireland",Ireland,utilityglobal.com,https://www.linkedin.com/company/utilityglobal
NEG8 Carbon,"NEG8 Carbon develops Direct Air Capture (DAC) technology that extracts carbon dioxide (CO2) from the atmosphere with its unique Electrostatic DAC system to reverse the effects of global warming. 

The NEG8 Carbon team of specialist engineers and scientists are developing DAC tech that is efficient and affordable therefore scalable for mass deployment. 

The company originated as a spin-out from carbon capture research conducted at Trinity College Dublin and University College Dublin, and has now set up headquarters in Waterford, Ireland. 

The goal: capturing 100 million tonnes of CO2 annually by 2050 at less than €100/tonne CO2.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Waterford, County Waterford, Ireland",Ireland,neg8carbon.com,https://www.linkedin.com/company/neg8carbon
ExoTechnologies,"ExoTechnologies is building the world’s leading sustainable composite technology company. We are pioneers, pushing beyond the boundaries of conventional thinking and knowledge to redefine and transform the world through innovation. We believe in the power of collaboration, visionary thinking, and the relentless pursuit of solutions that not only solve problems but also transform industries. We are a team of driven individuals, empowered by the challenges we face and the possibilities that lie ahead. Our solutions are not just innovative; they are transformative, designed to create a better tomorrow. We are driven by our boundless ingenuity and limitless potential to innovate the future. Our focus areas of decarbonization, sustainability and circularity, combined with our breakthrough technologies, enable us to disrupt industries and transform the world around us. Through collaboration and visionary thinking, we envision a future where our technologies empower individuals, organisations and communities to connect, achieve, and protect what matters most. We strive to be at the forefront of the technological revolution, achieving new heights of success and unlocking the full potential of our world. Join us on our mission to innovate the future and let’s make a difference together.",Climate Technology Product Manufacturing,51-200 employees,Privately Held,"Dublin 2, County Dublin, Ireland",Ireland,exo-tech.com,https://www.linkedin.com/company/exotechnologies
Feedpods,"We design, develop and deliver immersive experiences for animal environments and guest engagement.",Climate Technology Product Manufacturing,201-500 employees,Privately Held,"Blackrock, County Dublin, Ireland",Ireland,feedpods.com,https://www.linkedin.com/company/feedpods
BIONUA,"Bionua working with land owners create large scale nature restoration sites that generate Nature Capital which corporates can invest in via Carbon & Biodiversity Credits .Corporates in turn can re-balance their climate impact , reduce scope 3 emissions ,improve CSRD reporting and achieve their zero carbon goals.
Income generated opens up a financial pathway for a move away from intensive agriculture to sustainable farming and a global opportunity for our company.. This comprehensive approach enables the generation of science-backed, high-integrity Biodiversity Credits, available for corporates seeking to demonstrate a commitment to environmental sustainability.
Our projects focus entirely on nature, transitioning lands from intensive agriculture to permanent rewilding. This shift not only removes significant amounts of CO2 from the atmosphere but also exponentially enhances biodiversity.",Climate Technology Product Manufacturing,2-10 employees,Public Company,"Dublin 1, County Dublin, Ireland",Ireland,bionua.com,https://www.linkedin.com/company/bionua.com
KelTech IoE Networks,Through the symbiosis of energy and data our goal is to transform the sustainability and economics of modern telecommunications network infrastructure. The world is facing its greatest energy challenge and at Keltech IoE our vision is to enable ‘The Net Zero Network’ transforming how first and last mile network infrastructures are connected and powered in a more sustainable and energy efficient way.,Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Dublin 4, County Dublin, Ireland",Ireland,keltechioe.com,https://www.linkedin.com/company/keltech-ioe-networks
Licovolt,"Licovolt began as a funded lab research project following a breakthrough chemical discovery by scientists at University College Dublin, Ireland. 
We now partner with global recycling companies, electronic and automotive OEMs to support their critical supply chains.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Dublin, County Dublin, Ireland",Ireland,licovolt.com,https://www.linkedin.com/company/licovolt
Mesh,"Mesh is a deep climate technology company developing sustainable materials for medical devices. We combine renewable bio-based feedstocks with AI-driven bioformulation and manufacturing systems to deliver medical-grade products designed for precision, circularity, and real-world deployment in regulated healthcare environments.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Limerick, County Limerick, Ireland",Ireland,meshbioplastics.com,https://www.linkedin.com/company/meshbioplastics
WindCapture Technologies,"At WindCapture, we are designing new direct air capture carbon capture (DAC) systems. We aim to provide an affordable, highly scalable carbon removal service to corporations and governments needing to reduce their emissions.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Dublin 2, County Dublin, Ireland",Ireland,windcapture.tech,https://www.linkedin.com/company/windcapture
CMT Caren Meicnic Teoranta,"Caren Meicnic Teoranta (CMT) is an exciting new Irish climate tech innovator that is set to disrupt the global atmospheric water generation industry. Our generators turn the air around us into drinkable water, almost anywhere water is needed! Our breakthrough technology will bring the opportunity to positively transform lives and the environment around the world.

Our patented technology is already able to harvest hundreds of litres of water a day per unit, just from the humidity in the air around us! The Atmospheric Water Generation industry is valued at circa $3 Billion. Unlike most competitors, we achieve water sourcing without any costly and complex refrigeration technology. Our lower costs of production and lower running costs will allow us bring affordable and reliable water access to those who need it most. 

• 2+ Billion People don’t have access to safely managed water
• 703M people don’t have access to basic water at home
• 200M hours a day are spent by women and children fetching water
• >1M deaths a year are linked to water issues
• Even major cities like Mexico City, Johannesburg and Dublin all face water shortage and/or contamination issues from aging networks.

We can and will help change all this.

Currently operating in stealth mode, our upcoming launch will enable us to share more on our technology and our plans, and most importantly, ignite growth in this vital industry. Sourcing water at point of need, for all.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Dublin, County Dublin, Ireland",Ireland,,https://www.linkedin.com/company/caren-m-t
St Loarn Group,"At St. Loarn Group, we engineer high-performance, low-carbon cement solutions for clients in the construction and petrochemical industries committed to building smarter and greener.  

As a Green-tech company, St. Loarn Group harnesses our cutting-edge geopolymer technology to dramatically reduce the carbon footprint of traditional cement-based materials. 

By repurposing abundant industrial waste streams, our materials not only minimize environmental impact but also drive cost and carbon savings for the project sponsor.

We aim to advance and further develop our patented geopolymer cement, derived from Bauxite residue – a material with a carbon footprint IRO 93% less than its Portland cement equivalent.
 
In collaboration with strategic partners, St. Loarn Group is one of a small group of emerging green cement tech companies seeking to drive the transformation of the construction industry with innovative solutions that align with global sustainability goals.

Want to know how we’re seeking to drive change? Feel free to reach out and connect with us.

For inquiries, contact us at info@stloarngroup.ie or visit our website.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Kilkelly, Ireland, County Mayo, Ireland",Ireland,stloarngroup.ie,https://www.linkedin.com/company/st-loarn-group
Carbon Fintech,"Carbon Fintech is a trailblazer in environmental sustainability, offering a unique solution for businesses across various sectors aiming to mitigate their climate impact and comply with the EU Corporate Sustainability Reporting Directive. Our fully integrated global system specializes in generating high-quality Biodiversity Credits, which are created locally to the buyer. This approach ensures that our credits are not only relevant and trustworthy but also contribute positively to local communities and their circular economies.

We are proud to operate the first globally scalable system capable of monitoring pre-mapped land parcels in real-time. This innovative method allows for the generation of science-based Biodiversity & Credits, which are then transparently registered on a public blockchain. This level of traceability and trustworthiness positions our credits as a reliable tool for businesses committed to fulfilling their mandatory ESG reporting obligations, while genuinely contributing to environmental preservation and community development.",Climate Technology Product Manufacturing,2-10 employees,Public Company,"Dublin, County Dublin, Ireland",Ireland,carbonfintech.com,https://www.linkedin.com/company/carbonfintech
SmartPublic,"SmartPublic is a global sales, distribution & funding platform for best-in-class Smart City & IOT technology product partners. We provide these products to cities and businesses with immediate cost and carbon saving solutions requiring no capital outlay or product risk.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Dublin 2, County Dublin, Ireland",Ireland,,https://www.linkedin.com/company/smart-public-solutions
Jianglan Bio-Energy,"Jianglan Bio-Energy Group 

Operating both in China and Ireland.

Manufacturing facility for used cooking oil (UCO) pretreatment with an annual capacity of 300,000 tonnes.
Manufacturing facility for sustainable aviation fuel (SAF) with an annual capacity of 300,000 tonnes, utilizing Desmet pretreatment technology and Topsoe HydroFlexTM SAF technology.",Climate Technology Product Manufacturing,"501-1,000 employees",Privately Held,"Dublin 2, County Dublin, Ireland",Ireland,jl-bioenergy.com,https://www.linkedin.com/company/jianglan-bio-energy
Olivine Technologies,"At Olivine Technologies, we are at the forefront of developing innovative carbon storage solutions, specifically tailored for the spirits and ethanol sectors. 
Our cutting-edge reactor technology utilizes olivine, a naturally occurring mineral, to effectively capture and store biogenic CO2 produced during fermentation processes. This approach not only helps distilleries reduce their carbon footprint but also enhances their sustainability credentials in an increasingly climate-conscious market.

Our Approach to Carbon Storage
1. Advanced Reactor Technology:
Our primary focus is on advancing reactor technology that leverages olivine’s unique properties. Olivine reacts with CO2 to form stable carbonates, providing a permanent and environmentally friendly solution for permanent low cost carbon storage. This method is both cost-effective and efficient, making it an attractive option for distilleries looking to offset their emissions.

2. Biogenic CO2 Capture:
During the fermentation process, significant amounts of biogenic CO2 are produced. Unlike fossil fuel-derived CO2, biogenic CO2 is part of the natural carbon cycle. By capturing this CO2, our technology helps distilleries achieve negative emissions, effectively removing carbon from the atmosphere.

3. Enhancing Brand Sustainability:
Consumers and regulators are increasingly concerned about the environmental impact of the products they purchase. Our solution allows distilleries to market their products as carbon-neutral. This can provide a competitive edge in a future market characterized by heightened climate sensitivity.

4. Addressing Scope 3 Emissions:
While many distilleries have made progress in reducing Scope 1 and 2 emissions, Scope 3 emissions remain a significant challenge. Our technology provides a viable pathway for distilleries to address these indirect emissions, aligning with broader sustainability goals and commitments, such as achieving Net Zero.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Dublin, County Dublin, Ireland",Ireland,olivine-tech.com,https://www.linkedin.com/company/olivine-tech
Munster Hemp Co.,"At Munster Hemp, we're revolutionising farming with blockchain technology, ensuring full traceability from seed to shelf.

Blockchain Tracking – Scan a QR code to trace your product’s journey.
AI-Powered Insights – Real-time pricing for beef, dairy, and crops.
Carbon Credits – Rewards for sustainable farming.
Precision Agriculture – Data-driven insights for higher yields.

Grow With Us
EU-Certified Hemp Seeds – The best genetics for fiber, seed, and CBD.
Processing & Market Access – Sell through our platform or supply Munster Hemp.
Full Transparency – Blockchain ensures every step is verified.

 Join Ireland’s most innovative network today!",Climate Technology Product Manufacturing,Self-employed,Privately Held,"Cork, County Cork, Ireland",Ireland,munsterhemp.ie,https://www.linkedin.com/company/munster-hemp-co
Sustainworthy,"Sustainworthy exists to transform consumer behaviour by making ethical shopping simple, accessible, and impactful. 

We aim to inspire conscious decision-making by highlighting companies that lead in sustainability, fairness, and integrity—encouraging every consumer to consider not just what they buy, but who and what they support with their purchase.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Cork, County Cork, Ireland",Ireland,sustainworthy.com,https://www.linkedin.com/company/sustainworthy
