Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Attero,"Attero; Materials Reborn. Sustainable Engineering solutions for a resource-constrained world. We are engineering the future of resource recovery through deep-tech innovation, specializing in the advanced recycling of lithium-ion batteries and electronic waste. We're giving materials a second life by building a closed-loop system for critical materials. #MaterialsReborn #UrbanMining",Climate Technology Product Manufacturing,201-500 employees,Privately Held,"Noida, Uttar Pradesh, India",India,attero.in,https://www.linkedin.com/company/attero-recycling-pvt-ltd
Smart Joules,"On a mission to make Energy Efficiency Simple, Substantial, and Profitable.

Our services and products include: 

1. JoulePAYS: Make energy savings easy and profitable from day one with zero investment and zero risk for buildings and factories under a single Pay-As-You-Save (PAYS) Agreement.

2. DeJoule: Monitor energy and process parameters, discover optimum operational points with Joule Recipes (our energy optimization algorithms), and eliminate energy waste by controlling any equipment with our high-performance and cost-effective IoT devices.

3. JouleCOOL: 0 CapEx, single accountability build-own-operate-maintain-automate-optimize model for central cooling systems in greenfield projects where clients pay based on demand and usage; Smart Joules manages the entire show and delivers high quality, affordable, sustainable cooling services under long term contracts.

Supported by clients across India as well as leading organizations such as NITI Aayog, The World Bank, Asian Development Bank (ADB), and the International Energy Agency (IEA).",Climate Technology Product Manufacturing,201-500 employees,Privately Held,"New Delhi, Delhi, India",India,smartjoules.co.in,https://www.linkedin.com/company/smartjoules
Circolife,"CircoLife | Cooling as a Subscription

CircoLife is India's pioneering Cooling-as-a-Service (CaaS) company, providing IoT enabled Smart, 5-star energy-efficient air conditioning units to businesses on a monthly subscription — no capital expenditure, no maintenance burden, no compromise.

We serve commercial customers across six Indian cities, from neighbourhood salons and clinics to multi-location enterprises and hospital networks. Every subscription includes installation, maintenance, repairs, gas refills, and spare parts — for the life of the contract.

What sets us apart:
◆ Zero Upfront Cost — pure operational expense, no CapEx
◆ ~30% Energy Savings — ISEER-rated units with IoT monitoring
◆ Predictive Maintenance — self-learning algorithms flag issues before they cause downtime
◆ Lifetime Free Service — every repair, every refill, included
◆ Responsible Recycling — units are decommissioned and recycled at end-of-subscription, closing the loop

We're not selling air conditioners. We're delivering hassle-free, predictable cooling outcomes — intelligently, at scale, every day.

Intelligent • Impact • Everyday

 Headquartered in Thane, Maharashtra
 https://circolife.com/",Climate Technology Product Manufacturing,51-200 employees,Privately Held,"Mumbai, Maharashtra, India",India,circolife.com,https://www.linkedin.com/company/circolife
GAS LAB Asia,"GAS LAB Asia is a pioneering company with nearly a century of experience in industrial gases and a growing commitment to climate technologies. Established in 1923, we have evolved into a leader in providing cutting-edge solutions across the fields of carbon capture, biogas upgrading, and industrial gas applications like carbon dioxide and nitrous oxide.

Our expertise spans across:

Carbon Capture & Sequestration: Delivering technologies to capture CO2 and reduce emissions, playing a vital role in decarbonization.
Biogas Generation & Enrichment: Developing high-efficiency systems for biogas production and upgrading, ensuring maximum economic and environmental returns.
Nitrous Oxide Technologies: Providing high-purity nitrous oxide solutions for industrial, medical, and electronics sectors.
With over 200 successful installations in more than 25 nations, we are committed to driving innovation in water treatment, anaerobic digestion, and CO2 recovery processes, while continuing to lead research into high purity nitrous oxide for electronics and other specialized applications.

GAS LAB Asia is at the forefront of enabling sustainable industry solutions that reduce emissions and enhance efficiency. Our carbon capture and biogas technologies are shaping the future of energy, while our deep-rooted experience in industrial gases ensures world-class solutions for clients globally.

This page will serve as a platform for company updates, industry insights, and opportunities to connect with current and future employees.

Our Solutions:

CO2 Generation and Recovery
Carbon Capture & Sequestration
Biogas Generation, Enrichment & CO2 Recovery
Nitrous Oxide
Dry Ice
Gas Storage, Transport & Laboratory Accessories
 sales@ssgaslab.com
 www.ssgaslab.com",Climate Technology Product Manufacturing,51-200 employees,Privately Held,"New Delhi, Delhi, India",India,ssgaslab.com,https://www.linkedin.com/company/gas-lab
NASH ENERGY (I) PVT LTD,"NASH ENERGY is part of NASH INDUSTRIES and is India's first LFP cell manufacturer. Established in 1971, NASH INDUSTRIES is a global design, innovation, engineering, and manufacturing company. 

NASH ENERGY unveils advanced next-gen LFP cells with enhanced energy density, reliability and safety suitable for all types of Energy Storage Solutions. 

Backed by IPs, Technology and R&D capabilities from Japan, Nash Energy Japan is focused on development of next-Gen LFP and Solid State Technologies and Products. Nash Energy Japan partnering with Japan based Institute for development of Next-Gen Storage Technologies. 

We partner with industry leaders for design, manufacture of bespoke LFP Cells in prismatic, pouch and cylindrical formats by adopting innovative and smart manufacturing processes that are reliable, cost effective and sustainable.

Setting up 600 MWh Line for production of LFP 32140 Cylindrical format cells in Bengaluru, India followed by Giga Scale in various states and customers' locations.",Climate Technology Product Manufacturing,51-200 employees,Privately Held,"Bengaluru, Karnataka, India",India,nashenergy.in,https://www.linkedin.com/company/nash-energy
Enlite,We create disruptive and impactful products that enable innovation for those who build the world around us.,Climate Technology Product Manufacturing,51-200 employees,Privately Held,"Mumbai, Maharashtra, India",India,enliteresearch.com,https://www.linkedin.com/company/enliteresearch
Optimist (Octolife Climate Solutions Private Limited),"OctoLife is on a mission to democratise access to cooling solutions for 5 billion residents of the developing world.
In a rapidly warming world, heat stress is one the biggest challenges facing humanity. We are solving thorny technical problems, to build solutions for heat stress. 
The problem is tough, the urgency intense. We are a small team of highly committed believers, here to move mountains every day. 

Write to us if you identify with the following:

*You want to work on a tough problem that deserves solving.
*You want to do the absolutely best work in your life.
*You are obsessed with doing better, at everything you do.
*You want an environment that challenges you every day.
*You want to be respected in ways that truly matter.
*You are curious, inventive, creative, action oriented.
*You value fairness, meritocracy, inclusiveness.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Bengaluru, Karnataka, India",India,octolife.in,https://www.linkedin.com/company/octolife
Enlog,"Enlog is a technology startup making new-age energy management through energy intelligence. Our AI-powered IoT and end-to-end energy management solutions are transforming industries like hotels, co-living spaces, and commercial buildings through self-managed systems without human effort. By optimizing energy use, we help businesses cut electricity costs by an average of 23%. This not only drives sustainability and efficiency but also simplifies operations.
With five years of industry experience, an in-house R&D team for consistent innovation, and our own manufacturing capabilities, we’ve pioneered advanced energy management solutions. We've built strong partnerships with leading industry players to bring these innovative solutions to market. Trusted by over 2000+ sustainable hotels, co-living accomodations and offices, Enlog has managed 30,000 MWh of electricity and prevented over 5,000 tons of carbon emissions.
At Enlog, innovation meets responsibility. By democratizing access to intelligent energy solutions, we bridge the gap between technology and everyday life—turning smart energy management into a force for positive change for businesses, society, and the planet.
How -Enmate gathers real-time data, understands patterns and insights and predictive technology provide full control over energy usage optimization, enabling autonomous operations that maximize efficiency and savings in comparison to manpower-dependent solutions. Our tech-enabled services improve protection, and efficiency, transforming premises into energy-conscious spaces.",Climate Technology Product Manufacturing,51-200 employees,Privately Held,"Gurugram, Haryana, India",India,enlog.co.in,https://www.linkedin.com/company/enlog-in
Greenated Clima Tech,"Greenated Clima Tech that provide solutions for the wide range of energy, emission and other industrial solutions with embedded software and essential research to transform the planet to meet climate control agreements.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Chennai, Tamil Nadu, India",India,greenated.com,https://www.linkedin.com/company/greenated
Greenway Grameen Infra,"Greenway is a globally recognized clean cooking solutions provider working at the intersection of climate action, rural development and tech-enabled manufacturing.",Climate Technology Product Manufacturing,"501-1,000 employees",Privately Held,"Mumbai, Maharashtra, India",India,greenwayappliances.com,https://www.linkedin.com/company/greenway-grameen-infra
