Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Climate Analytics,Climate Analytics is a global climate science and policy institute working to accelerate climate action and keep warming below 1.5°C.,Climate Data and Analytics,51-200 employees,Non Profit,"Perth, Western Australia, Australia",Australia,climateanalytics.org,https://www.linkedin.com/company/climate-analytics
Unravel Carbon,"Unravel Carbon is the world’s first agentic platform for sustainability outcomes. Our AI agents and award-winning sustainability management platform set us apart. 

Our solutions are used by leading global companies and consultants in more than 50 countries to simplify emissions tracking, meet global regulatory standards, and accelerate climate action.

Our calculation methodology is certified by TÜV Rheinland against the GHG Protocol corporate standard for Scope 1, 2, and 3 emissions, and the ISO 14064 series for GHG inventories.

We ensure data security with our ISO 27001 certification and SOC 2 Type 1 attestation.

At Unravel Carbon, we are driven by a powerful mission: to accelerate the world's progress toward a zero-carbon economy. 

Unravel Carbon is backed by top-tier investors including Y Combinator and Sequoia Capital, and has offices in the U.S., Japan, Australia and Singapore. For more information please visit unravelcarbon.com.",Climate Data and Analytics,11-50 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,unravelcarbon.com,https://www.linkedin.com/company/unravelcarbon
Reask,"Reask is a science and technology company applying cutting-edge data science techniques to natural hazard modelling.

Follow us on Twitter: @reaskearth",Climate Data and Analytics,11-50 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,reask.earth,https://www.linkedin.com/company/reask-earth
XDI (Cross Dependency Initiative),"Our goal is to accelerate action on climate change by embedding physical climate risk data in all decisions.

As the physical climate risk experts, we’re here to help you - whether at the start of your journey, or advanced, we deliver actionable results.

We’re independent.

XDI is part of The Climate Risk Group, a group of companies committed to quantifying and communicating the costs of climate change.

We’re serious about climate.

Ours is a mission-driven company.
We exist to help our clients and community understand and manage unavoidable climate change, whilst demonstrating the imperative for a low carbon world.  

We see every contract as a collaboration. We are trusted by governments, NGOs, companies, banks and communities  - and while some see themselves in opposite corners - we believe it will take all actors working together to solve this challenge.

We’ve got heart

Data and information alone do not create change: data needs humanity and humanity needs ambition.
Our vision is not just to identify physical climate risks, but to also mitigate them.
Our goal is a more climate-resilient community.
Our approach is to work with you over the course of your climate risk journey.",Climate Data and Analytics,11-50 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,xdi.systems,https://www.linkedin.com/company/xdi-systems
Geoneon,Geoneon is a technology firm that leverages advanced AI and Earth Observation to deliver actionable insights on climate risks. Our cutting-edge solutions bridge the gaps between complex environmental data and reporting empowering organisations to enhance climate risk disclosures and drive  sustainability initiatives.,Climate Data and Analytics,2-10 employees,Privately Held,"Hobart, Tasmania, Australia",Australia,geoneon.com,https://www.linkedin.com/company/geoneon
Centre for Climate Risk and Resilience,"The Centre for Climate Risk and Resilience, located at UTS Business School,  supports businesses in taking urgent and immediate collaborative action to decarbonise the economy and regenerate Country and planetary health. The Centre contributes to the School’s efforts to close the gap between knowledge and action by providing evidence-based research, education and advice to policymakers, business, and community leaders.",Climate Data and Analytics,11-50 employees,Non Profit,"Sydney, New South Wales, Australia",Australia,,https://www.linkedin.com/company/centre-for-climate-risk-and-resilience
VALAI,"ValAi is a digital engagement specialist empowering businesses, financial institutions, and homeowners to make informed, sustainable decisions. By integrating advanced analytics, behavioural science, and financial insights, we simplify energy action and property investment—bridging the gap between corporate brands and their retail consumers to drive measurable impact.

Our proprietary technology identifies the right property upgrades with high return potential while assessing asset risks, energy efficiency, and financial impacts. We provide clear, actionable pathways for profitable and sustainable investments.

Through automation, analytics, and digital engagement tools, ValAi reduces the complexity and time required to adopt sustainability strategies—cutting investigation time by 90%. Our trusted partner network supports upgrade quotes, financing, and implementation, streamlining home electrification and decarbonisation initiatives.

Corporate-to-Consumer Engagement for Climate Action
ValAi partners with financial services, property professionals, and industry leaders to embed sustainability into mainstream investment. Our platform delivers fast, data-driven insights, enabling businesses to engage customers in climate-positive actions.

Using data and behavioural analytics, businesses can offer personalised sustainability roadmaps, strengthening relationships and fostering commitment to a low-carbon future. Our digital tools help corporate brands engage retail consumers, making climate action accessible, measurable, and impactful.

At ValAi, we combine technology with a personal touch, equipping users with data-driven insights to support their decisions.

Built for Impact
Founded by change-maker Allys Todd and property valuer Tom Reed, ValAi was created to make property sustainability simple, transparent, and profitable for a new generation.",Climate Data and Analytics,2-10 employees,Privately Held,"Adelaide, South Australia, Australia",Australia,valai.io,https://www.linkedin.com/company/valai
Low Carbon Materials Hub,"Low Carbon Materials Hub is a climate technology company committed to tracking and reducing carbon emissions in the global construction sector by promoting the widespread adoption of low carbon materials. Powered by AI and supported by industry expertise, we are creating the most accessible and interactive digital hub for Environmental Product Declarations (EPDs). Our goal is to support the industry’s transition to net zero and contribute to a more sustainable built environment.

Our Services:

- Digitised EPD Database 
Search and compare products across ANZ by environmental indicators, specifications and locations.

- Nulla – Embodied Carbon Co-Pilot
AI-powered tool that converts quantity take-offs into carbon footprints in minutes, at a fraction of the cost.

- LCA & Scope 3 Reporting 
End to end advisory: baseline studies, design stage modeling, reduction strategies and GHG-Protocol-aligned Scope 3 inventories.

Whether you’re just starting your low carbon journey or looking to scale up your sustainability practice, LCMH equips you with the data, the technology and the expertise to deliver measurable results - faster, simpler and more cost effectively than ever before.",Climate Data and Analytics,2-10 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,lcmhub.com,https://www.linkedin.com/company/low-carbon-materials-hub
RepuTex Energy,"Established in 1999, RepuTex is a leading provider of modelling services for the Australian electricity, renewable energy and emissions markets.

Our forecasts and analysis have been at the forefront of energy and climate thinking for over two decades, with a strong history of providing trusted, data-driven analysis for public and private sector customers in Australia and Asia.

We have worked with over 150 customers across Australia and Asia-Pacific – including government policymakers, regulators, high emitting companies and large energy users, project developers, investors and capital markets – working across the Electricity, Renewable Energy and Carbon and Climate Change service streams.

RepuTex has offices in Melbourne and Hong Kong, with a team of analysts with backgrounds in energy commodities, policy and regulation, meteorology, mathematics and engineering. The company is a winner of the China Light and Power-Australia China Business Award for energy and climate research across Asia-Pacific.

CONTACT US
Client Services Australia: +613 9600 0990 
Client Services Asia: +852 2899 2418",Climate Data and Analytics,11-50 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,reputex.com,https://www.linkedin.com/company/reputex
Volta Rocks Pty Ltd,"VoltaRocks — the customer portal for home electrification

www.voltarocks.com

We make home electrification simple for households—and scalable for the businesses that serve them. VoltaRocks combines a consumer-grade portal with a PIM + pricebook + API engine (our “42” platform) so partners can publish transparent, personalised offers in minutes.

What we do

For households

Enter your address → see eligibility and clear options (solar, batteries, energy plans, efficient appliances).

Personalise with usage/bill data, then save and compare in your Quote Vault—no account hassle.

Transparent pricing, assumptions and incentives. No cold calls. No guesswork.

For partners & retailers

One source of truth for products, bundles and pricing.

Launch co-branded portals and embeddable widgets; syndicate to your site, CRM and campaigns via API.

Generate qualified, context-rich leads and track what converts.

Why it matters

Electrification is booming, but the buying experience is fragmented and opaque. We replace cold-call sales and forum scavenger hunts with clarity, speed and trust—for every home and every partner.

How it works (fast)

Catalogue & bundle in 42 (PIM + pricebook).

Publish your co-branded portal or widget.

Convert with a clean flow: address → eligibility → personalise → save/compare → hand-off.

What we stand for

Transparency first: “Why this” explanations and clear incentive rules.

Privacy by design: consented data, tenant-scoped, export/delete controls.

Accessibility & speed: fast, readable, mobile-first by default.

Ready to electrify the journey?

Households: join the waitlist at voltarocks.com

Partners/Retailers: Book a demo and spin up your portal

#Electrification #EnergyTransition #HomeEnergy #Solar #Batteries #EnergyEfficiency #CustomerPortal #CleanTech #VoltaRocks",Climate Data and Analytics,11-50 employees,Privately Held,"Geelong, Victoria, Australia",Australia,voltarocks.com,https://www.linkedin.com/company/voltarocks
