Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
B&R Industrial Automation,"Constant innovation and strong partnership are two areas that have characterized B&R for over 40 years now. Together with ABB, we are the only company in the world to offer a complete portfolio of robotics, automation and software. Closeness to our customers has always been our greatest strength.

As part of the ABB family, we continue to be guided by the same values: Creating more productive and sustainable manufacturing solutions together with our customers. We share our automation expertise through training and during collaboration.

Imprint:  https://www.br-automation.com/en/about-us/imprintdisclosure/",Industrial Automation,"1,001-5,000 employees",Public Company,"Singapore, Singapore",Singapore,br-automation.com,https://www.linkedin.com/company/b&r-industrial-automation
VEGA Level and Pressure,"Imprint: https://www.vega.com/imprint
VEGA is a world leader in the area of level, switching and pressure measurement. The company employs over 2,800 people worldwide, 1,300 of whom work at its headquarters in Schiltach in the Black Forest. This is where, for over 65 years now, solutions to demanding measuring tasks are being conceived and brought to realization: for chemical and pharmaceutical plants, the food industry, drinking water supply systems, sewage treatment plants, landfills, mining, power generation, oil platforms, ships and airplanes.

VEGA is active in over 80 countries with its globe-spanning network of subsidiaries and distributors. The company and its products have all the necessary certificates and approvals for worldwide application. This applies to the technical safety as well as the quality of the products and services.

With the goal of considerably simplifying level and pressure instrumentation, VEGA introduced plics, the world’s first standardized instrument platform, in 2003. What at that time seemed unthinkable for many users became a reality with plics: a standard compact housing, a simple, universal adjustment concept as well as short delivery times. Since then VEGA delivers 80 percent of its instruments within a week after ordering.

Technologies
Level
Radar, guided radar, ultrasonic, capacitive, hydrostatic, radiometric, conductive, vibration
Pressure
Process pressure, hydrostatic, differential pressure",Industrial Automation,"1,001-5,000 employees",Privately Held,"Singapore, Singapore",Singapore,vega.com,https://www.linkedin.com/company/vega-level-and-pressure
Process Automation Solutions,"Process Automation Solutions (PA) and all associated member companies are now Orise.

Please find our LinkedIn at: https://www.linkedin.com/company/orise/",Industrial Automation,"1,001-5,000 employees",Public Company,"Singapore, Singapore",Singapore,orise.com,https://www.linkedin.com/company/process-automation-solutions
Renu Factory Automation Pvt. Ltd.,"RENU Electronics Pvt. Ltd is an ISO 9001 : 2015 and ISO 14001 : 2015 certified Factory Automation products manufacturing company. It is a trusted and a respected name globally that offers low cost quality solutions for various factory automation applications. RENU Electronics’ major strengths are Product Design, Product Engineering, Manufacturing, Driver Development, Customization of products and many more.

The company was established in 1991 as design and development company for Factory Automation products to meet customer specific requirements. It grew the operations over the years with the help of 300+ people and 45,000+ sq.ft of area of state of the art Production facility, Test Lab and Engineering facilities.

RENU Electronics is now an established contender in factory automation field. While most of the products are RoHS compliant and have CE and UL approvals, all the panel mounted devices have conform to nothing less than IP66 standards.  

RENU Electronics’ Vision -
To be a respectable brand offering quality products to Global customers in the area of industrial electronics and factory floor automation.

RENU Electronics’ Mission -
	Build strengths in engineering and production and product marketing
	Identify and work with partners in the global market
	Sales channels in selected markets

RENU Electronics offers what its business partners need - economical and reliable solutions to exceed their expectations. 

RENU Electronics strives to make ""Automation Simplified""",Industrial Automation,201-500 employees,Privately Held,"Singapore, Singapore",Singapore,renuelectronics.com,https://www.linkedin.com/company/renuelectronicspune
ANDRITZ Automation & Digitalization,"ANDRITZ Automation is a global leading supplier of machines and plant control systems headquartered in Graz, Austria. We provide automation services and tools for a wide range of industries including: pulp and paper, mining, and oil and gas. Customers around the world rely on ANDRITZ Automation in various fields like tissue, stainless steel, and food and beverage. 

ANDRITZ Automation makes plants efficient and profitable. With our plant control systems, simulation, and advanced control tools, we help plants quickly become operationally ready through comprehensive process know-how and pre-tested components. Customers receive individual solutions based on their needs, following all required standards to ensure a smooth workflow starting with quotation engineering, project management, hardware and software engineering to erection work, start-up and operator training, and continuing with maintenance and engineering work for expansions and improvements.",Industrial Automation,"10,001+ employees",,"Singapore, Singapore",Singapore,andritz.com,https://www.linkedin.com/company/andritz-automation-ltd-
Mikron Automation,"Mikron Automation - a division of the Swiss Mikron Group -  is your worldwide partner for advanced assembly solutions. At Mikron we are committed to delivering the best assembly systems and all needed services throughout your product’s entire life cycle. With our extensive engineering know-how, complex process expertise, scalable platforms, and lifelong support we are driving lasting success for your business.
Mikron Automation has produced and installed more than 4’200 assembly and testing systems worldwide to customers in the pharmaceutical, medtech, automotive, electrical/industrial and consumer goods. Mikron Automation currently employs over 1’000 people and is headquartered in Boudry (Switzerland), a region that is regarded as the heart of the Swiss watchmaking industry. It also has sites in Denver (USA), Singapore, Shanghai (China) and Kaunas (Lithuania). 

At a glance:
•	Number of employees: 1000+
•	Sales in 2024: CHF 233 million
•	Assembly experience: 50 years 
•	Systems installed worldwide: over 4’200
•	Projects: more than 100 per year",Industrial Automation,"501-1,000 employees",Public Company,"Singapore, Singapore",Singapore,mikronautomation.com,https://www.linkedin.com/company/mikron-automation
Hyperganic,"Hyperganic builds software to design objects that are as complex, functional, elegant and sustainable as nature.

Our algorithms generate parts, structures and entire machines through a process of digital evolution.

Since 2015, we have been working with the leading companies, engineers, designers and scientists all over the world.",Industrial Automation,51-200 employees,Privately Held,"Singapore, Singapore",Singapore,hyperganic.com,https://www.linkedin.com/company/hyperganic
OMRON Industrial Automation APAC,"OMRON has established a global network and a closely linked service system covering our operating regions of Japan, North America, Europe, Greater China, and Asia Pacific. OMRON provides fast and efficient support to its business partners worldwide through its comprehensive support system, from development to production, distribution and maintenance.

Over a quarter of a century ago OMRON founded its Asia Pacific operations in Singapore to meet the needs of the region's rapidly expanding industrial markets. Operations that initially marketed products for OMRON's Industrial Business Group has expanded to also represent the company's Electronic Components.

Today OMRON Asia Pacific consists of over 2,500 employees in sales, manufacturing, technical support and research and development activities. The regional headquarters located in Singapore manages and supports activities in the region.",Industrial Automation,201-500 employees,Public Company,"Singapore, Singapore",Singapore,omron-ap.com,https://www.linkedin.com/company/omron-industrial-automation-apac
Festo Southeast Asia,"Festo is a global player and an independent family-owned company with headquarters in Esslingen am Neckar, Germany. The company supplies pneumatic and electrical automation technology to 300,000 customers of factory and process automation in over 40 industries. The products and services are available in 176 countries. With over 20,000 employees in over 250 branch offices in 61 countries worldwide, Festo achieved a turnover of around €3 billion in 2018. Each year around 8 % of this turnover is invested in research and development. In this learning company, 1.5 % of turnover is invested in basic and further training. Yet training services are not only provided for Festo's own staff – Festo Didactic SE also supplies basic and further training programmes in the field of automation technology for customers, students and trainees.

With decades of global experience in Automation and Didactic, Festo arrived in Southeast Asia during the late 70’s, starting in the Philippines. Currently headquartered in Singapore, Festo has 6 national companies and works closely with many local distributors across the region.

•	1977: Festo Inc., Manila, Philippines

•	1978: Festo Sdn., Kuala Lumpur, Malaysia

•	1980: Festo Pte. Ltd., Singapore

•	1989: Festo PT., Jakarta, Indonesia

•	1992: Festo Ltd., Bangkok, Thailand

•	2009: Festo Co., Ltd., Ho Chi Minh City, Vietnam

All companies are certificated with ISO 9001. Every year, we have over 60 events, e.g. exhibitions, technology seminars and trainings, to provide our customers and partners in South East Asia with more direct communication and services.",Industrial Automation,201-500 employees,Privately Held,"Singapore, Singapore",Singapore,festo.com,https://www.linkedin.com/company/festo-sea
mVizn,"mVizn develops AI-powered computer vision systems that enhance safety and automation in industrial environments. Based in Singapore, we specialize in edge-deployed solutions for container terminals, ports, and logistics yards—integrating seamlessly with cranes and control systems to deliver real-time operational intelligence.",Industrial Automation,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,mvizn.com,https://www.linkedin.com/company/mvizn
