Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
ICON plc,"Since our foundation in Dublin, Ireland in 1990, our mission has been to help our clients to accelerate the development of drugs and devices that save lives and improve quality of life. We do this by delivering best in class information, solutions and performance, with an unyielding focus on quality at all times.

We offer a full range of consulting, development and commercialisation services from a global network of offices in 53 countries. We focus our innovation on the factors that are critical to our clients – reducing time to market, reducing cost, and increasing quality – and our global team of experts has extensive experience in a broad range of therapeutic areas.",Biotechnology Research,"10,001+ employees",Public Company,"Auckland, Auckland, New Zealand",New Zealand,iconplc.com,https://www.linkedin.com/company/icon-plc-2
New Zealand Bovine Pharma,"New Zealand Bovine Pharma supplies bovine raw material and bovine collagen products to the global medical and pharmaceutical industries.

Bovine raw material and bovine collagen products have many medical and pharmaceutical applications, including, for example, 3D bioprinting, repair and regeneration of human tissues and organs.

We are a specialty business. Our core business is supplying bovine raw material and bovine collagen products to the medical and pharmaceutical industries (as opposed to supplying meat to the food industry or hides to the leather industry).

Some of our key points of difference include:

-     Vision and Values
-     Closed Herd
-     Full Traceability
-     Integrated Quality Management System
-     US FDA Master File

Our bovine raw material and bovine collagen products are of the highest quality available.",Biotechnology Research,2-10 employees,Privately Held,New Zealand,New Zealand,nzbovinepharma.com,https://www.linkedin.com/company/new-zealand-bovine-pharma
Ayrmed,"Pioneering scientific skincare formulated from pure New Zealand ingredients by a leading Dunedin biochemist - A unique scientific process gently extracts the full-length collagen to produce a sublimely activated bio-available product able to matchlessly scaffold skin repair. Infinitely superior to powdered collagen commonly used in skin care products.

ACTIVATE YOUR SKIN REPAIR
Ayrmed Collagen’s unique full-length formula works to form a protective layer and creates a scaffold to activate skin repair. Treat your skin with maximum collagen for ultimate results.

POWERFUL ACTIVATED FULL LENGTH COLLAGEN
“If you just have one skin product – this is it, healing, repairing and rejuvenating - naturally”

THE PROMISE
Ayrmed Collagen Serum’s potent formula powered by pure full-length medical grade collagen boosts skin repair and maximises results for tired aging skin; collagen is regarded as helping heal damage from sun and outside elements, plump and smooth, combat fine lines, reduce dryness and act against aging.
“This revolutionary product deeply nurtures your skin’s ability to regenerate and repair”

REPAIR AND REJUVENATE YOUR SKIN
- Potent formula uniquely powered by pure full-length medical grade activated collagen
- boosts skin repair
- Acts to revitalise your complexion
- Combats fine lines, reduces dryness
- Maximises results for tired aging skin
- Helps heal damage; plumping and smoothing
- Nourishes cellular repair, remediates sun damage",Biotechnology Research,2-10 employees,Privately Held,"North Taieri, Dunedin, Otago, New Zealand",New Zealand,,https://www.linkedin.com/company/ayrmed
Platypus Bio,"Platypus Bio is a biotechnology company developing programmable RNA-sensing platforms for next-generation therapeutics and diagnostics.

Many diseases are defined by unique RNA signals inside cells. Platypus Bio is building technologies that detect these signals and translate them into precise biological responses.

By linking RNA recognition directly to functional biological outcomes, our platforms aim to enable the programmable elimination of diseased cells and rapid detection of disease-associated RNA signatures.

This approach has the potential to unlock new classes of precision medicines and molecular diagnostics by allowing biological systems to respond selectively to the RNA signals that define disease.

Platypus Bio is building technologies to transform RNA sensing into actionable biological outcomes across a wide range of medical applications.",Biotechnology Research,2-10 employees,Privately Held,"Dunedin, Otago, New Zealand",New Zealand,platypusbio.com,https://www.linkedin.com/company/platypus-bio
180 Collagen,"180 Collagen is a New Zealand-based biotechnology company that develops and supplies high-quality, medical-grade bovine collagen for research, medical devices, and regenerative medicine worldwide.
We specialise exclusively in collagen extracted from prime beef corium due to its exceptional versatility, biocompatibility, and suitability for high-end clinical applications. Our products are manufactured under stringent quality and compliance frameworks, ensuring they meet or exceed both domestic and international regulatory standards.
Driven by innovation and committed to global health outcomes, we support researchers, medical device manufacturers, and healthcare providers with reliable, high-performance collagen biomaterials designed for healing, recovery, and regenerative care.",Biotechnology Research,11-50 employees,Privately Held,"Waikato, Waikato, New Zealand",New Zealand,180collagen.com,https://www.linkedin.com/company/180-collagen
Best Friend Bioscience,"Best Friend Bioscience is a data science and personalized pet nutrition company. We are combining metagenomic and genetic screening with nutritional interactions. We strive to develop a future where pets live longer, healthier lives, thanks to the power of data science and machine learning. We are dedicated to continuous research and innovation, constantly striving to improve our understanding of genomic and metagenomic interactions and their impact on pet health. Our team of scientists, engineers, veterinary professionals, and dog lovers are using the latest technologies along with science backed research to deliver premium customized nutrition solutions. Our innovative 'make-to-order' process allows us to redefine sustainability standards by minimizing plastic use through the implementation of novel functional barrier materials.",Biotechnology Research,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,bestfriend.bio,https://www.linkedin.com/company/best-friend-bioscience
Aqua Curo Limited,"Using world-first technology, Aqua Curo is a long-term trial in harnessing bioremediation to remove New Zealand’s most common pollutants from our wastewater, and in turn our waterways. In this process macroalgae are used as a natural sponge, consuming pollutants like nitrogen and phosphorus and leaving the water cleaner and safer.",Biotechnology Research,2-10 employees,Privately Held,"Te Puke, Bay of Plenty, New Zealand",New Zealand,aquacuro.co.nz,https://www.linkedin.com/company/aqua-curo-limited
Mende Biotech Limited,"Mende Biotech Ltd is a bio-active research and development company that focuses primarily on our main product, TotarolTM, which is a unique, globally new product. 

TotarolTM is a potent antibacterial, antimicrobial, antioxidant and anti-inflammatory compound extracted from recycled totara wood such as fence posts, tree stumps, old house piles etc of which there is an abundant supply. The development of TotarolTM has involved in-depth scientific research and also the development of completely new and unique technology for its extraction. 

TotarolTM has already been embraced by both domestic and international cosmetic and therapeutic markets. 
Our primary aim is to continue to increase global awareness and marketing of TotarolTM

We have extended our focus to include 
•	 research into other bio-active plant compounds 
•	research into and development of medicinal, therapeutic and cosmetic applications of bio-active plant compounds for human and animal markets 
•	development of new technologies for the extraction of bio-active plant compounds 

Although we are already developing a range of combination products using TotarolTM and other bio-active plant extracts, TotarolTM remains our main product and still has a huge potential in as yet untapped markets.",Biotechnology Research,2-10 employees,Partnership,"Carterton, Wellington, New Zealand",New Zealand,totarol.com,https://www.linkedin.com/company/mende-biotech-limited
Line 5 Ltd.,"Offering services in the field of biotechnology and life sciences:
• Due Diligence
• Business Development
• Strategic Analysis
• Operations
• Project Planning and Budgeting
• Developmental Strategies
• Market Analysis
• Company Troubleshooting and Realignment
• Board and Governance",Biotechnology Research,Self-employed,Self Owned,"Auckland, Auckland, New Zealand",New Zealand,line5.co.nz,https://www.linkedin.com/company/line-5-ltd-
Applied Biofilm Consulting,"Applied Biofilm Consulting provides independent scientific consulting for companies working with biofilms, microbiomes, and complex microbial systems.

We support industry and R&D teams with experimental design, data interpretation, and technical risk reduction, helping organisations generate microbiology data that reflects real-world behaviour and stands up to scientific, regulatory, and commercial scrutiny.

Our expertise includes surface-associated and mixed-species biofilms, anaerobic and low-oxygen systems, microbiome-relevant models, and translating complex microbial data into clear, actionable decisions.

Industries served include medical devices and healthcare, microbiologically influenced corrosion (MIC) and energy systems, gut and environmental microbiomes, food and nutraceuticals, and early-stage biotech.

Liam Matthew Jones | PhD
m: (+64) 277-054268 | e: liam@appliedbiofilmconsulting.nz
Huakita in taiao | bacteria in context",Biotechnology Research,Self-employed,Self Owned,"Auckland, Auckland, New Zealand",New Zealand,appliedbiofilmconsulting.nz,https://www.linkedin.com/company/applied-biofilm-consulting
