Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Spark New Zealand,"In today’s fast-paced digital world, Spark is here to help all New Zealanders stay ahead. Whether it’s for yourself or your business needs, we’re committed to delivering the latest technology, greater coverage, and better experiences, so you can thrive and find your edge. Together, we’re powering New Zealand’s digital future.",Telecommunications,"5,001-10,000 employees",Public Company,"Auckland, Auckland, New Zealand",New Zealand,sparknz.co.nz,https://www.linkedin.com/company/spark-new-zealand
SOUTHLAND VENEERS LIMITED,"SOUTHLAND VENEERS LIMITED is a telecommunications company based out of 9 Matheson Road, Kennington, Southland, New Zealand.",Telecommunications,,,"Kennington, Southland, New Zealand",New Zealand,,https://www.linkedin.com/company/southland-veneers-limited
Matchmaster Digital,"Matchmaster design based on the New Zealand and Australian AS/NZS 1367 standards. Matchmaster developed an easy to follow SMATV guideline and distribution solution specifically for the NZ market, MDS.  Follow Matchmaster's designs, product suggestions and Matchmaster guarantee the systems integrity whilst offering a 3 year warranty on all products.",Telecommunications,,,"Christchurch, Canterbury, New Zealand",New Zealand,matchmaster.co.nz,https://www.linkedin.com/company/matchmaster-digital
THE TELECOMS RESEARCH ORGANISATION LIMITED,,Telecommunications,,,"Christchurch, Canterbury, New Zealand",New Zealand,,https://www.linkedin.com/company/the-telecoms-research-organisation-limited
Netwest Broadband,,Telecommunications,,,"Matamata, Waikato, New Zealand",New Zealand,netwest.co.nz,https://www.linkedin.com/company/netwest-broadband
generosity coffee,,Telecommunications,,,"Auckland, Auckland, New Zealand",New Zealand,generositycoffee.org.nz,https://www.linkedin.com/company/generosity-coffee
ENZEC,,Telecommunications,,,"Wellington, Wellington, New Zealand",New Zealand,enzec.co.nz,https://www.linkedin.com/company/enzec
HIGHWAY FUELS LIMITED,,Telecommunications,,,"Palmerston North, Manawatū-Whanganui, New Zealand",New Zealand,,https://www.linkedin.com/company/highway-fuels-limited
Moeraki Tavern,"? We stock an assortment of local and imported beers, as well as wide range of wines and non-alcoholic drinks.  Our tavern is family friendly, offers free Wi-Fi and also sells takeaway alcohol. For fresh fish and harbour views, Moeraki Tavern is the place to be. We look forward to meeting you.",Telecommunications,,,"Moeraki, Otago, New Zealand",New Zealand,moerakitavern.com,https://www.linkedin.com/company/moeraki-tavern
Connectrix (2018) Ltd,,Telecommunications,,,"Christchurch, Canterbury, New Zealand",New Zealand,connectrix.co.nz,https://www.linkedin.com/company/connectrix-2018-ltd
