Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Archireef,"Archireef is a nature-tech company helping coastal developers, port operators, and infrastructure owners understand, manage, and demonstrate their marine biodiversity performance.

We provide end-to-end services across four integrated layers: ecological risk and opportunity assessment, proprietary eco-engineering deployment, AI-enabled long-term monitoring, and regulatory-grade reporting aligned with IFC PS6, TNFD, and the Equator Principles.

Our proprietary products — Reef Tiles and Eco-Seawall Panels — are manufactured from biocompatible terracotta using adaptive 3D-printing processes. Biomimetically designed and diver-deployed, they deliver measurable marine biodiversity uplift across seabed, seawall, and breakwater environments with no heavy machinery required.

Every deployment is paired with a structured monitoring programme using eDNA analysis, AI-enabled photogrammetry, and bioindicator protocols — producing decision-useful evidence for clients, lenders, and regulators.

To date, we have conserved and restored approximately 77,000 m2 of critical marine habitats across Hong Kong, Singapore, the UAE, and Saudi Arabia, with observed species abundance increases of up to ~7× at monitored sites over 12 months.

Founded in 2020 in Hong Kong. Operations headquartered in the UAE. Serving clients across the GCC and Asia-Pacific.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,archireef.co,https://www.linkedin.com/company/archireef
Carbelim,"Carbelim is a climate-tech company redefining green engineering through nature-based carbon capture, clean air, and environmental intelligence solutions.

We develop microalgae-powered carbon capture and air purification infrastructure that transforms buildings, cities, campuses, industrial facilities, airports, townships, and public spaces into active climate assets. By combining advanced microalgae biotechnology, photobioreactor engineering, IoT-based monitoring, and real-time environmental data, Carbelim enables measurable air quality improvement, carbon capture, oxygen generation, and ESG-aligned sustainability outcomes.

Our solutions are designed for the future of urban infrastructure, where sustainability must be visible, measurable, scalable, and integrated into everyday environments. From AirForestTM systems and PureAir TowersTM to smart benches, indoor air purification units, and environmental intelligence platforms, Carbelim creates living systems that support cleaner air and carbon-neutral growth.

At the core of Carbelim’s work is a simple vision: to build breathable, resilient, carbon-neutral cities by turning infrastructure into living climate infrastructure.

Carbelim is committed to advancing biological air purification, carbon capture and utilisation, smart city sustainability, ESG innovation, and nature-inspired engineering for a cleaner and healthier future.

Redefining Green Engineering.",Climate Technology Product Manufacturing,51-200 employees,Privately Held,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,carbelim.io,https://www.linkedin.com/company/carbelim
EcoEdge AI,"EcoEdge AI is a GreenTech organization committed to energy efficiency and environmental sustainability. Leveraging cutting-edge technologies such as Artificial Intelligence (AI) and cloud computing, we optimize buildings, making them intelligent, autonomous, energy-efficient, and eco-friendly. 

With a strong emphasis on data security and privacy, EcoEdge AI adheres to SOC 2 compliance standards, ensuring our solutions are secure, reliable, and trustworthy. (https://ecoedge-ai.trust.site/)

At EcoEdge AI, our vision is clear: to lead the global charge in enhancing building efficiency and slashing carbon footprints. From elevating thermal comfort to slashing electricity consumption, lowering CO2 emissions, and cranking up energy efficiency – we're paving the way to a greener, cleaner planet.

#EcoEdgeAI #Sustainability #BuildingEfficiency #BuildingTheFuture #NetZero #SOC #SOC2 #Cybersecurity #Datasecurity",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,ecoedgeai.com,https://www.linkedin.com/company/ecoedge-ai
Hengst Filtration | Industrial Air Filtration,"Hengst is recognized as one of the market leaders in filtration to automotive and engines industry, as a producer of a wide variety of filtration applications in the industrial and consumer goods sectors. With more than 3,000 employees at 14 locations on four continents, the Hengst family of companies is well-established globally.

We provide high technology air filtration solutions for air inlet houses and dust collectors in all parts of the world. We supply air filtration solutions for all operating environments and all applications.
 
Our filter cartridges are installed on GE, Siemens, Alstom, Turbomach, Solar and many other gas turbines around the world and we provide air filtration solutions to most dust collectors and baghouses. 

With our vast filtration experience and our wide range of high quality filter media and material, we offer:
- custom solutions for specific filtration needs
- replacement filter elements
- on-site technical field support
- filter analysis to establish residual filter life
- filter house inspection and maintenance programs

Our R&D departments and manufacturing sites situated in Denmark and the Middle East work closely together to ensure our global customers certified high quality products. All filters are produced in Denmark or in the Middle East by skilled workers and in everything we do, we strive to continuously develop innovative filtration solutions that increase performance and reduce Total Cost of Ownership for our global customers.",Climate Technology Product Manufacturing,"1,001-5,000 employees",Privately Held,"Fujairah, Fujairah, United Arab Emirates",United Arab Emirates,hengst.com,https://www.linkedin.com/company/hengst-filtration-industrial-air-filtration
Rebound,"Rebound is the global, quality-assured platform for recycled feedstock, that enables buyers and sellers to efficiently trade recycled materials with trust and confidence. The platform aims to increase the efficiency of recycling at scale, provide new economic opportunities and reduce the impact of pollution on our planet.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,reboundmaterials.com,https://www.linkedin.com/company/rebound-materials
Metre 360,"Metre 360 is a Transportation Climate AI Lab researching and developing the next generation of transportation decarbonization infrastructure.

Our research spans artificial intelligence, authenticated emissions accounting, regulatory compliance, climate asset administration, tokenization, digital infrastructure, and sovereign implementation frameworks. We focus on the operational architecture required to continuously administer transportation decarbonization and enable transportation to operate as a trusted participant within future climate and economic systems.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Dubai, United Arab Emirates",United Arab Emirates,metre360.com,https://www.linkedin.com/company/metre360
Soyl,Soyl (previously Mawarid Desert Control) is a leading provider of smart agriculture solutions to combat desertification and soil degradation. The company focuses on sustainable ecosystem management across the Middle East using Liquid Natural Clay (LNC) and the reduction of water consumption.,Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,soyl.ag,https://www.linkedin.com/company/soyl-ag
Nexus Climate,"The climate transition is the biggest economic opportunity of our time. Operating from the UAE and UK, Nexus Climate is on a mission to build the innovation and investment infrastructure that enables and accelerates the scaling of climate technologies.

Key services:
Innovation Advisory - helping early stage climate technology founders develop businesses
Launch Services - bringing climate tech businesses to market
Growth - helping businesses scale for growth, including fundraising support

We specialise in bringing climate tech businesses to the MENA region.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,nexusclimate.vc,https://www.linkedin.com/company/nexusclimate
Distant Imagery Solutions,"Distant Imagery Solutions is a pioneering environmental technology company dedicated to large-scale ecosystem restoration and sustainability. We specialize in drone-led planting, AI-powered monitoring, and community-based solutions, combining cutting-edge technology with a nature-first approach.

Our in-house innovation enables us to operate at a fraction of traditional costs, empowering local communities to build, modify, and license our tools. This approach ensures scalability, transparency, and lasting impact.

Our Focus Areas:
Ecosystem Restoration: Utilizing custom-built drones to plant millions of seeds efficiently and effectively.
AI Monitoring & Reporting: Providing full monitoring, reporting, and verification (MRV) for environmental projects.
Community Empowerment: Training and equipping communities in the Global South to sustain and manage restoration projects.

Milestones & Recognition:
5.5M mangrove seeds planted in the UAE and beyond.
Winners of the UpLink WEF BC Innovators Award and Global 50 Award.
Finalists for the prestigious Zayed Sustainability Prize 

Our Vision:
To scale ecosystem restoration globally while fostering a sustainable blue and green economy.

Join us in creating a better future for our planet. 

#Innovation #Sustainability #EcosystemRestoration #BlueCarbon #ClimateAction",Climate Technology Product Manufacturing,2-10 employees,Self Owned,"Dubai, United Arab Emirates",United Arab Emirates,distantimagery.com,https://www.linkedin.com/company/distant-imagery-solutions
Kinetic7 Technologies,"Kinetic7 Technologies is at the forefront of the clean energy revolution, dedicated to addressing global energy challenges through innovative hydrogen (HHO) technology. Our flagship product, the Kinetic7 Hydrogen Production Unit (K7 HPU), represents a breakthrough in sustainable energy, providing a clean and efficient alternative to traditional cooking fuels. Designed for versatility, our technology serves a wide range of applications, from residential and commercial use to humanitarian efforts in regions facing energy poverty.
Kinetic7 is committed to making a global impact, aligning our mission with 13 of the 17 United Nations’ Sustainable Development Goals (SDGs). We are proud to contribute to the global transition toward net zero CO2 emissions. Our innovative technology has been showcased to top academic institutions, such as Oxford and Imperial College London, highlighting its potential to revolutionize the industry.
With a vision for a cleaner, safer, and more sustainable future, Kinetic7 Technologies is driving change in the energy sector, offering innovative solutions that meet the needs of today while safeguarding the planet for tomorrow.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,kinetic7.com,https://www.linkedin.com/company/kinetic7-technologies
