Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Team for the Planet,"Entrepreneurship in the service of the climate emergency! 

We identify, fund, and launch 100 companies designed and structured from start to finish to combat greenhouse gases.

Our mission:
> identify high-impact innovations;
> recruit experienced entrepreneurs to transform these innovations into companies with solid business models;
> inject financial resources to maximize and accelerate deployment.

All innovations are made available as open source.

Every euro raised is used to combat climate change.

Any individual or organization can join the effort starting at €1 on our website (in just a few minutes) and take concrete action, on a global scale, against climate change.

Everything is detailed (and you can contact us) at team-planet.com",Climate Technology Product Manufacturing,2-10 employees,Partnership,"Lyon, Auvergne-Rhône-Alpes, France",France,team-planet.com,https://www.linkedin.com/company/tftp
Marble,"Marble partners with scientists, engineers and operators to create hard tech companies for the New Climate Era. Since 2021, we have created 13 companies backed by some of the best climate and hard tech investors across Europe and North America.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Paris, Île-de-France, France",France,marble.studio,https://www.linkedin.com/company/marble-climate
Energy Observer,"To begin with, Energy Observer is the name of the first hydrogen-powered, zero-emission vessel to be self-sufficient in energy, advocating and serving as a laboratory for ecological transition. Now an organisation that combines expeditions and innovations, Energy Observer is exploring and developing solutions that prove that another future for energy is possible, an optimistic future, which is more respectful of the planet and those who live here.

Criss-crossing the oceans in a bid to go out and meet the people who are coming up with sustainable solutions on a daily basis, Energy Observer has become a movement, a round the world Odyssey, where every stopover is an opportunity to learn, understand and share positive energies.",Climate Technology Product Manufacturing,11-50 employees,Non Profit,"Saint-Malo, Brittany, France",France,energy-observer.org,https://www.linkedin.com/company/energyobserver
REPLOID,"REPLOID is a globally active, publicly traded company that converts organic waste (such as food waste) into high-quality proteins, fats, and fertilizers by breeding black soldier flies (Hermetia illucens) in order to promote industrial and regional circular economies, reduce emissions, and conserve resources by building and selling decentralized, highly automated modular insect farms. The goals are a global net-zero strategy, the circular and sustainable recycling of waste into valuable raw materials for animal feed, especially for dogs, cats, chickens, and fish, as well as high-quality hybrid biofertilizers that are produced and sold in collaboration with partners.",Climate Technology Product Manufacturing,51-200 employees,Public Company,"Paris, Île-de-France, France",France,reploid.eu,https://www.linkedin.com/company/reploid
Ensol,"Ensol est une plateforme d'équipement énergétique à destination des particuliers (panneaux solaires, batteries, bornes de recharge, pac). Nous permettons à nos clients de décarbonner leur électricité tout en faisant de sacrées économies.
La transition énergétique est l’un des plus gros challenges de notre siècle et les foyers français ont un rôle déterminant à jouer.
Notre objectif à Ensol est de rendre cette démarche simple, accessible et rentable pour que chacun puisse passer au solaire et piloter sa consommation et sa production d'énergie.
Notre objectif est d’équiper 160,000 foyers d’ici 2030.",Climate Technology Product Manufacturing,51-200 employees,Privately Held,"Paris, Île-de-France, France",France,goensol.com,https://www.linkedin.com/company/ensol-solaire
ADN GROUP,"We are developing a recycling composite technology that integrates eco-design and advanced processes, transforming waste into valuable ressources.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Annecy-le-Vieux, Auvergne-Rhône-Alpes, France",France,adngroup-solutions.com,https://www.linkedin.com/company/adngroupsolutions
Greenfib,"- Une matière 100% biosourcée, durable et issue de terres non vivrières

- Une manière qui accompagne jusqu’à la transformation des usages",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Theix, Brittany, France",France,greenfib.fr,https://www.linkedin.com/company/greenfib
Greenov,"Greenov, a Young Innovative Company created in January 2021, is a SAS with a mission that seeks to innovate to reduce the impacts of human activities on the maritime environment. Greenov is targeting four main areas: 
- The reduction of underwater noise pollution generated by noisy marine work (pile-driving, dredging, rock removal...) in coastal and offshore areas, with our solution the SubSea Quieter: a device consisting of an air-filled membrane that drastically reduces sound waves.
- Reducing accidental collisions between large cetaceans and ships;
- Preventive treatment of biofouling on ship hulls;
- Monitoring the impacts and pressures of visitor numbers and tourist activities on sensitive habitats, using intelligent sensors (cameras and hydrophones).

Greenov is positioned as a relay between scientific research and the needs of economic and public players. With a resolutely innovative approach, Greenov aims to be a technological gas pedal for maritime Cleantech. Greenov is already heavily involved at European level, having taken part in 5 European projects since its creation.

Convinced of the strength of the collective, Greenov also wishes to promote other companies developing Maritime Cleantechs, in order to find effective solutions used by players worldwide. This is the aim of our new initiative, to be found every month on our LinkedIn page and on our website: ""An Ocean of Cleantechs"".",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Vannes, Brittany, France",France,greenov.green,https://www.linkedin.com/company/greenov-fr
Climeet,"Climeet is the most commonly used SaaS platform for measuring and decreasing carbon emissions for events.
Climeet is compliant with French and International regulations (GHG Protocol, Bilan Carbone methodology).
Our clients include leading corporations such as Stellantis, Heineken, Decathlon, and LVMH, as well as event agencies and destinations. They rely on Climeet to meet their legal requirements and uphold their ethical commitments to stakeholders.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Paris, Île-de-France, France",France,climeet.events,https://www.linkedin.com/company/climeet
YAMA,"At Yama, we develop a new class of carbon capture for low-concentration CO2 streams across power and industrial assets - one of the largest and least solved segments of the market.
 
Our electrified platform combines a non-toxic sorbent with advanced membranes to break the cost and operational limits of conventional systems. De-risked through DAC pilots in harsh air conditions, we now deploy it on dilute, variable point-source streams.
 
We focus on gas turbines, CCGT, and intermittent industrial processes, where amines struggle—cutting capture costs by up to 50% with a modular, flexible and plug-and-play system requiring no process changes.
 
We are scaling across gas-fired infrastructure and data centers to decarbonize existing assets.
   
Working with:
- Utilities, hyperscalers & industrial operators
- OEMs, EPCs & project developers
- Buyers of carbon credits & e-fuels

hello@yamacarbon.com",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Paris, Île-de-France, France",France,yamacarbon.com,https://www.linkedin.com/company/yamacarbon
