Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Maxeon Solar Technologies,"Maxeon Solar Technologies is Powering Positive ChangeTM. Headquartered in Singapore, Maxeon designs and manufactures Maxeon brand solar panels for residential, commercial and utility power plant customers across the United States. The company is a leader in solar innovation with over 2,000 granted patents and a network of more than 320 trusted partners and distributors. A pioneer in sustainable solar manufacturing, Maxeon leverages a 40-year history in the solar industry and numerous awards for its technology.",Renewable Energy Semiconductor Manufacturing,201-500 employees,Public Company,"Singapore, Singapore",Singapore,maxeon.com,https://www.linkedin.com/company/maxeon
ECO WORLD SERVICES PTE LTD,"We live in a consumer culture where disposable products are ubiquitous, and sustainable disposables sound like an oxymoron. We see this as an incredible opportunity to help change the world—and more importantly, each of the local communities we serve—by making sustainable disposable products that shift an industry. Eco World Services Pte Ltd ensures that our environmental footprint is as green as can be. All our waste is recycled and all our environmentally friendly packaging is recyclable, can contain recycled content or can be produced using degradable films. Our aim is to continue to develop and implement a robust environmental policy throughout our business and to become one of Singapore’s most environmentally friendly bag distributing companies.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,ecoworldservices.com,https://www.linkedin.com/company/eco-world-services-pte-ltd
TEDxCanggu,"TEDxCanggu is all about solutions to systemic global problems that are worth spreading. Much of development discussions focus on the problem. TEDxCanggu aims to direct the audience to pay attention to the solutions that are out there. Canggu is an unknown tech hub of the world and a wonderful spot through history and geography. It has that sense of balance that inspires us to create and solve. As our lead organizer Ryan Roth puts it, “Our vision is for Tedxcanggu to be known as a place where it’s not only ideas worth spreading, but ideas that are real solutions to big world problems.”",Renewable Energy Semiconductor Manufacturing,11-50 employees,Non Profit,"Singapore, Singapore",Singapore,tedxcanggu.com,https://www.linkedin.com/company/tedxcanggu
BrandGreen | South East Asia,"A leading strategic innovation firm with a strong track record of international achievement in sustainability strategy and clean technology.

Advises leading MNCs, international organisations and promising startups in the areas of sustainability, cleantech, renewables and climate change response.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,Singapore,Singapore,,https://www.linkedin.com/company/brandgreen-south-east-asia
Sustainable Foods,"Founded with a profound passion for sustaining the earth and its life, SUSTAINABLE FOODS is a Parlour Group Pte. Ltd. CSR initiative which aims to help companies that promotes the same cause through extending funds and investing more as they continue to provide the needs of the consumers.

The main vision of SUSTAINABLE FOODS is to bring more a  healthy lifestyle and earth-friendly consumerism one at a time.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Non Profit,"Singapore, Singapore",Singapore,,https://www.linkedin.com/company/sustainable-foods-pte-ltd
VrukshaSG,"Millions of tons of plastic are used every day all over the world without considering the impact on Mother Earth. Vruksha deals with the sale and distribution of eco-friendly biodegradable products. This is the first step in our efforts to make the world plastic-free.
The products are produced from the remains of the Areca tree making them 100% chemical-free and leaving behind no waste. The dry Areca leaves that fall are collected and converted into plates that are sturdy, leak-proof, clean, chemical-free, and eco-friendly. The areca products manufactured in our company are distributed throughout India and some Middle Eastern countries.
Our experienced resourcing and manufacturing teams combined with our global network, allows us to provide the support you need – wherever you need it, at home, or abroad.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,vrukshasg.com,https://www.linkedin.com/company/vrukshasg
SINGA GLOBAL VENTURES,"SINGA GLOBAL VENTURES, is an independent plastic recycling and commodity trading company. We provide professional services which include comprehensive plastic scrap processing, market research, and integrated logistics and supply chain management.

Our primary focus is in reprocessing plastic scraps into regrinds for export and we also trade other commodity products for import and export.

OUR MISSION
WE, strive to be as one, in the league, of premier suppliers:
- For reprocessed plastic regrinds / resins and other commodities
- To provide high quality recycled plastic scraps and plastic regrinds in Indonesia 
- To provide a higher quality working standard through our waste management supply chain from the pickers to the landfills 
- To work with the local communities to eliminate waste in their surrounding communal areas
 
OUR VISION
WE, aim to be:
- A leading social enterprise that focuses on improving the living standard of the community through plastics recycling
- One of the leaders in integrating worldwide network for Recycled -
- Plastic Suppliers, Manufacturers and End-Consumers
- A Corporation that thrives on fulfilling our socio-economic responsibility through community educational engagement and community participation",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,Singapore,Singapore,,https://www.linkedin.com/company/singaglobalventures
Neosolar Consultant,Consultancy for all solar related matters,Renewable Energy Semiconductor Manufacturing,2-10 employees,Self Owned,"Singapore, Singapore",Singapore,,https://www.linkedin.com/company/neosolar-consultant
JPD Consulting,"JPD Consulting consists of a group of professionals with more than 40 years of combined experience in the fields of engineering, marine, energy and human resources. The goal is to bridge foreign stakeholders in the emerging Philippine renewable energy sector to different resources that they require for their projects. Our aim has always been to lead towards a technologically-advanced and energy efficient future for the betterment of Filipinos.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Partnership,"Singapore, Singapore",Singapore,jpd-consulting.com,https://www.linkedin.com/company/jpd-consulting-ph
MILES PTE. LTD.,"Miles provides a convenient, effective and risk-free fuel-saving solution with our latest N-ion Smart Energy Saving Chip. Not only our product reduces the monthly petrol usage up to 30%, it enables smoother engine operation, pro-long our engine lifespan while reducing toxic gas emission.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,miles.com.sg,https://www.linkedin.com/company/miles-pte-ltd
SINCAP GROUP LIMITED,,Renewable Energy Semiconductor Manufacturing,2-10 employees,,"Singapore, Singapore",Singapore,,https://www.linkedin.com/company/sincap-group-limited
Grid Exchange,Clean Energy Exchange Platform,Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,gridexchange.net,https://www.linkedin.com/company/grid-exchange
Dhara Growth Partners,"Bringing finance to impact.
We showcase exclusive opportunities taking root in the sustainable development space to seasoned investors. We also contribute to the origination of such opportunities through strategic partnerships with technology and service providers.

Our mission is to enhance capital flow towards opportunities that offer a high potential for healthy returns while delivering measurable positive social and environmental impact for the long term by contributing to the capital stock and health of the economy in frontier and emerging markets across Asia, Africa and the Americas.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,dharagrowthpartners.com,https://www.linkedin.com/company/dhara-growth-partners
