Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Gilat Satellite Networks,"Gilat Satellite Networks Ltd. (NASDAQ: GILT, TASE: GILT) is a leading global provider of satellite-based broadband communications. With over 35 years of experience, we develop and deliver deep technology solutions for satellite, ground, and new space connectivity, offering next-generation solutions and services for critical connectivity across commercial and defense applications.  We believe in the right of all people to be connected and are united in our resolution to provide communication solutions to all reaches of the world.

Together with our wholly-owned subsidiaries—Gilat Wavestream, Gilat DataPath, and Gilat Stellar Blu—we offer integrated, high-value solutions supporting multi-orbit constellations, Very High Throughput Satellites (VHTS), and Software-Defined Satellites (SDS) via our Commercial and Defense Divisions. Our comprehensive portfolio is comprised of a cloud-based platform and modems; high-performance satellite terminals; advanced Satellite On-the-Move (SOTM) antennas and ESAs; highly efficient, high-power Solid State Power Amplifiers (SSPA) and Block Upconverters (BUC) and includes integrated ground systems for commercial and defense markets, field services, network management software, and cybersecurity services.

Gilat’s products and tailored solutions support multiple applications including government and defense, IFC and mobility, broadband access, cellular backhaul, enterprise, aerospace, broadcast, and critical infrastructure clients all while meeting the most stringent service level requirements. For more information, please visit: http://www.gilat.com",Satellite Telecommunications,"1,001-5,000 employees",Public Company,"San Dimas, California, United States",United States,gilat.com,https://www.linkedin.com/company/gilat-satellite-networks
GPS of Things,"GPS of Things offers small, battery-powered bluetooth low-energy trackers, equipped with AI threat analysis, remote access from any device, and next-generation network cards for future proofed asset security solutions.",Satellite Telecommunications,2-10 employees,Privately Held,"San Jose, California, United States",United States,gpsofthings.com,https://www.linkedin.com/company/gps-of-things
Georgetown Planning Institute,"Innovation, Transformation, Policy

GPI supports corporate, venture capital, and government clients in realizing the potential of advances in tech, telecom and space with a proven methodology for identifying investment opportunities, driving market and technology innovation, and transforming organizations for changing technology & competitive realities.

For decades, GPI has assisted government and defense clients to better understand the potential that advances in space, telecom, and tech can bring them and to understand the critical role that government and defense leaders can play both as clients and regulators in fostering successful growth in these burgeoning markets. 

Their clients have included: Volvo, KKR, 3M, AT&T, Ford, as well as the Department of Defense, OUSD(I), DCSA, DDI(I&S), USPS, US Senate Commerce Committee, & House Energy & Commerce Committee, National Academy of Science, Congressional OTA (Office of Technology Assessment), Consortium of Midwest Governors.

contact@gpi-innovation.com",Satellite Telecommunications,2-10 employees,Public Company,"Washington, Washington, United States",United States,gpi-innovation.com,https://www.linkedin.com/company/georgetown-planning-institute
Yacht Store LLC,"Yacht Store LLC is a company that provides products and services for leisure boats and commercial vessels.
We specialize in satellite communications, Starlink, KVH, 
Intellian, DirecTV, Internet, TV network for all types of vessels.

Yacht Store LLC es una empresa que ofrece productos y servicios para Yates  y  embarcaciones comerciales.
Nos especializamos en comunicaciones satelitales, Starlink, KVH,
Intellian, DirecTV, Internet, red de TV para todo tipo de embarcaciones.",Satellite Telecommunications,2-10 employees,Self Owned,"Pompano Beach, Florida, United States",United States,myyachtstore.com,https://www.linkedin.com/company/yacht-store-llc
CWAV LLC,"CWAV offers audio/video solutions for commercial and residential clients.  We support and service a variety of products including Starlink, Dish Network, DirecTV, Sonos, and more.  We strive for excellent customer service and satisfaction.",Satellite Telecommunications,2-10 employees,Privately Held,"Merrill, Wisconsin, United States",United States,centralwiav.com,https://www.linkedin.com/company/cwav-llc
Everest Aerials & Satellites,"We are LOCAL, GUARANTEED, AFFORDABLE and proud PROFESSIONAL TV Aerial & Satellite system installers and repair engineers. Our experienced TV aerial engineers and support staff have been providing high-quality aerial installation, satellite dish installation, TV wall mounting, CCTV installation, TV aerial repairs, and multi-room TV systems for over two decades.",Satellite Telecommunications,51-200 employees,Self Owned,"Northeastern United States, United States",United States,everestaerials.co.uk,https://www.linkedin.com/company/everest-aerials-satellites
CM Wireless & Electronics,"""Telecom, Nurse Call, Solar, Security, TV Services - We Do It All! Connecting Businesses with Comprehensive Solutions""",Satellite Telecommunications,11-50 employees,Partnership,"Phoenix, Arizona, United States",United States,cmwireless.com,https://www.linkedin.com/company/cm-wireless-&-electronics
New Connections Inc,High-Speed Satellite Internet. It doesn't matter where in the USA you are located we can get you connected.  Serving Residential and Commercial.,Satellite Telecommunications,11-50 employees,Partnership,"Spokane, Washington, United States",United States,newconnectionsinc.com,https://www.linkedin.com/company/new-connections-inc
Starlink Installation Techs LLC,"Starlink Installation Techs LLC (doing business as Installers of Starlink) is a professional nationwide Starlink installation company that directly manages its own team of certified and insured technicians across all 50 U.S. states. We specialize in high-quality, enterprise-grade Starlink deployments for businesses, multi-location chains, apartment complexes, RV parks, marinas, commercial properties, and organizations that need fast, reliable satellite internet — whether as primary connectivity or as resilient backup/failover to fiber and SD-WAN. Our technicians handle the full scope of professional installations: site surveys, custom mounting solutions (including non-penetrating and metal roof systems), clean cable routing, weatherproofing, router/mesh configuration, speed validation, and detailed hand-off documentation. Every technician is fully trained, background-checked, and carries $1 million in general liability insurance. Most projects are scheduled and completed within 72 hours with transparent pricing and a 1-year workmanship guarantee. We are not a lead-generation network or third-party aggregator. As one company, we control the entire process in-house — from initial assessment to final activation — ensuring consistent quality, accountability, and professional results on every job. Businesses choose us because we deliver: Reliable Starlink solutions for locations where fiber is unavailable, too expensive, or unreliable
Multi-site rollouts for fuel stations, grocery chains, QSRs, logistics yards, and distributed operations
Resilient backup connectivity for existing fiber/SD-WAN setups
Clean, low-impact installations with minimal disruption to operations
Scalable support for RV parks, marinas, and remote commercial sites

If your business needs dependable high-speed satellite internet — installed professionally, on time, and with full accountability — we’re the team to call. Disclaimer: We have no affiliation or official connection with Starlink, SpaceX.",Satellite Telecommunications,2-10 employees,Partnership,"Sheridan, Wyoming, United States",United States,installersofstarlink.com,https://www.linkedin.com/company/starlink-installation-techs-llc
Plaiedes,,Satellite Telecommunications,Self-employed,Privately Held,"Santa Monica, California, United States",United States,plaiedes.com,https://www.linkedin.com/company/plaiedes
