Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Cradle,"Leverage AI to generate protein candidates and improve their properties. More breakthroughs in fewer experiments — guided by your own experimental data.

Jobs: https://jobs.cradle.bio",Biotechnology,51-200 employees,Privately Held,"Zurich, Zurich, Switzerland",Switzerland,cradle.bio,https://www.linkedin.com/company/cradlebio
Cy Biopharma,"A clinical-stage biotechnology company developing novel solutions for rare disease and chronic pain. Redefining what is possible in pain medicine.

Contact for ongoing trial details.

Chief Executive Officer: James Morrison
Chief Medical Officer: Prof. Richard Langford
Chief Finance Officer: Dr. Roger Sawhney",Biotechnology,2-10 employees,Privately Held,"Baar, Zug, Switzerland",Switzerland,cybiopharma.com,https://www.linkedin.com/company/cy-biopharma
GENeuver Biologics,"GENeuver uses multiple machine learning methods to help researchers in identifying genetic variations that are associated with physiological implication. We employ multiple algorithms defined based on patterns identified in public genomic datasets and mapped these patterns to reported phenotypic in various population and patient groups.

Our algorithms also allow researchers to narrow down choices of target sequences with predictable outcomes. We believe our approach significantly reduce the time, cost and effort necessary for gene editing using CRISPR.",Biotechnology,11-50 employees,Privately Held,"Basel, Basel-Stadt, Switzerland",Switzerland,geneuver.com,https://www.linkedin.com/company/geneuver
ID-Gene ecodiagnostics,"ID-GENE ecodiagnostics Ltd is a Swiss company founded in 2014 as a spin-off of the University of Geneva. 

ID-GENE provides fast, sensitive and reliable genetic tests for environmental bioassessment and biomonitoring. We aim to empower environmental agencies, consultancies, and the industry through innovative tools for environmental impact assessment. The company works to foster scientific innovation in an entrepreneurial mindset to make environmental genomics accessible and to improve the long-term management of environmental resources. 

ID-GENE has developed a deep expertise in molecular ecodiagnostics. It offers comprehensive, reliable and cost-effective genetic tests to enable fast and high quality assessment of the biodiversity and environmental monitoring. 

ID-GENE approach is a proven reliable alternative to the traditional studies requiring specialized personnel and long time-to-result (i.e. morphology-based methods).",Biotechnology,2-10 employees,Privately Held,"Plan-les-Ouates, Geneva, Switzerland",Switzerland,id-gene.com,https://www.linkedin.com/company/idgene
LamKap Bio Group,"The core focus of this biotechnology company is in the field of research, development, and manufacturing of selected bispecific antibodies for antibody-based therapies of cancer diseases and diseases of the immune system.",Biotechnology,11-50 employees,Privately Held,"Pfäffikon, Schwyz, Switzerland",Switzerland,lamkapbio.com,https://www.linkedin.com/company/lamkap-bio
Senaptec International,"Senaptec is all about sensory performance.  We provide tools to assess and improve an individual’s vision skills.  Athletes use our tools to gain a competitive edge.  Those with brain issues have used the tools for rehabilitation and general brain health.  The Senaptec Sensory Station has software to analyze an individual on 10 fundamental skills related to their vision and motor response.  The results are generated by comparing to the Senaptec’s proprietary sensory database.  Following an assessment, Senaptec provides training/therapy software to improve the skills having the greatest opportunity.  This software run on the Sensory Station as well as on individual tablets for at-home training.  Senaptec also manufactures Strobe Eyewear, which provides resistance training for the brain.  The Senaptec Strobe is designed to train the connections between an individual's eyes, brain, and body. Using liquid crystal technology, the lenses flicker between clear and opaque, removing visual information and forcing the individual to process more efficiently.",Biotechnology,2-10 employees,Privately Held,"Commugny, Vaud, Switzerland",Switzerland,senaptec-international.com,https://www.linkedin.com/company/senaptec-international
Syndya Therapeutics,"Syndya Therapeutics is a 3D combinatorial, phenotypic screening company.",Biotechnology,2-10 employees,Privately Held,"Schlieren, Switzerland",Switzerland,syndya-therapeutics.com,https://www.linkedin.com/company/syndya-therapeutics
aeChem Life Technologies Sàrl,"""Diagnostics to help patients in their therapeutic journey""

Our mission is to revolutionize the diagnostic industry by delivering state-of-the-art technology that sets a new gold standard for accuracy, sensitivity and turn-around time, particularly for the detection of low-concentration biomarkers. We strive to provide high-end yet cost-effective solutions for a broad range of patients via central labs, diagnostic companies and foundations. Ultimately our drive is to improve lives all over the globe, regardless of economic circumstances.

Our vision at aeChem is to pioneer the advancement of diagnostic technologies and to be a frontrunner in medical innovation. We believe that as our understanding of disease onset continues to evolve and improve, having diagnostics that can detect low-concentration biomarkers will be more critical than ever. This will enable us to maximize therapeutic effects and improve outcomes - or even survival - for patients. Our technology is ideally positioned to meet this challenge and to bring new and improved diagnostic solutions to the market. As a dynamic and innovative company that is constantly pushing the boundaries of what is possible in the field of diagnostics, our goal is to partner with healthcare professionals worldwide.",Biotechnology,2-10 employees,Privately Held,"Sion, Valais, Switzerland",Switzerland,aechem.ch,https://www.linkedin.com/company/aechem
LSPR AG,"LSPR AG provides scientists with the measurement techniques for label-free, efficient and cost-effective molecular interaction analysis.
LSPR AG adopts the principles of nano-optics in general and localised surface plasmon resonance (LSPR) in particular, for the label-free detection of molecular binding events. LSPR AG masters the complete technology chain, from the numerical design of nano-optical structures,  to their fabrication and their biochemical functionalization.",Biotechnology,2-10 employees,Privately Held,"Zurich, Zurich, Switzerland",Switzerland,lspr.swiss,https://www.linkedin.com/company/lspr-ag
Ormendes SA,"High Added Value Microbiotics Formulations

Ormendes is a Swiss company specializing in the development and distribution of high quality microbiotics.

In recent years, numerous studies have demonstrated that the microbiota is involved in many pathologies and fundamental for the proper functioning of the organism. It is now well known that an unbalanced intestinal flora can affect your health. As a result, the market of microbiotics has grown considerably. In this confusing market, consumers and healthcare professionals are struggling to see clearly among the multitude of existing products.
We have therefore assembled a pool of scientific and technical skills to develop and offer innovative solutions, with proven safety of use and clinical efficacy. All of our products offered today contain a specific blend of bacteria called « SLAB51», the efficacy and safety of which have been tested and demonstrated in experimental and clinical studies.
We therefore offer identifiable and traceable products from their conception to marketing.",Biotechnology,Self-employed,Self Owned,"Jouxtens-Mézery, Vaud, Switzerland",Switzerland,ormendes.ch,https://www.linkedin.com/company/ormendes-sa
