Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
StimBlue+,"StimBlue+, our cultivated macrocystis pyrifera seaweed, empowers farmers to build stronger, more resilient crops without relying on harmful, expensive chemicals, safeguarding our food systems and the planet's future.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Bluff, Southland, New Zealand",New Zealand,kelp.blue,https://www.linkedin.com/company/stimblue
Aspiring Materials,"We’re changing the impact core industries like water, cement, energy and manufacturing can have on the planet. Our critical minerals and essential materials are made locally, wherever you are, with less energy, less emissions and no harmful waste. 

We’re a dedicated team of geoscientists and engineers on a mission to build a low carbon future. 

We are looking for visionary investors and leaders of industry who want to be part of driving this paradigm shift across the industrial sector. We’ve built our pilot plant in Aotearoa New Zealand and are gearing up for commercial scale. 

This future we’re building is going to be amazing. Join us and make it happen faster.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Christchurch, Canterbury, New Zealand",New Zealand,aspiringmaterials.com,https://www.linkedin.com/company/aspiring-materials
ebm-papst A&NZ,"We are the global leading manufacturer and supplier of fans, blowers and air moving products and we hope to provide you with information on our unique range of products; enable you to get to know our motor technology and engineering and to inform you of how our developments can add value to your business. We will show you who we are, and where and how we operate. Then we can provide you with the service you expect.

ebm-papst A&NZ Pty Ltd was formed in December 2005 following separation from long time partners.

Assuming the coverage of the previous company, ebm-papst has grown and developed, now inhabiting a new head office in Laverton North, Melbourne. ebm-papst A&NZ Pty Ltd provides engineering and logistics expertise to add value to clients who require air movement or specialist drives products.

From products and innovations realised from three main manufacturing and development centres in Germany, namely: ebm-papst Mulfingen, ebm-papst St. Georgen and ebm-papst Landshut. 

ebm-papst A&NZ Pty Ltd develop fan, motor and control solutions into the following applications:

Refrigeration
Air-conditioning
Heating
Ventilation
Electronics
Telecommunications
Bio medical
Automotive
Sensors and actuators
Prime movers

By signing the Kyoto protocol Australia has committed its future to tackling climate change and global warming. ebm-papst has been addressing these issues globally and now supplies 36% of its turnover with EC or high efficiency, speed controllable motor technology.",Climate Technology Product Manufacturing,11-50 employees,Public Company,"Auckland, Auckland, New Zealand",New Zealand,ebmpapst.au,https://www.linkedin.com/company/ebm-papst-a&nz
NILO,"NILO is a clean technology company tackling two urgent problems: plastic waste and lowering the carbon footprint of industrial adhesives. Our patented binder technology transforms soft plastic waste into a cleaner, scalable solution for the global composite wood panel industry.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,nilo.net,https://www.linkedin.com/company/nilo-ltd
Oasis Engineering,"Oasis Engineering delivers world-leading solutions for energy and gas transfer, supporting those who push the boundaries of what’s possible - for the benefit of both humanity and the environment.

Our specialist teams in product development, precision machining, assembly, and sales work closely together to design, test, and deliver high-performance valves, couplings, refuelling nozzles and more, used in over 40 countries.

Since the 1980s, Oasis has supplied parts to every major CNG company worldwide, building a reputation for customised solutions, short lead times, high-flow technology, and trusted customer service. Today, we’re leveraging that experience to drive progress in the hydrogen economy, ensuring our partners can move energy safely, efficiently, and with confidence.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Tauranga, Bay of Plenty, New Zealand",New Zealand,oasisngv.com,https://www.linkedin.com/company/oasis-engineering-2003-limited
Zilch,"Electric cars by-the-hour to business & private members. Zilch uses sharing technology to increase vehicle utilisation and reduce fleet size. Part of the Carbn Group

Our mission is to drive faster, smarter, cleaner cities by lowering emissions, improving air quality, reducing congestion, and making roads safer for everybody.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Auckland Central, Auckland, New Zealand",New Zealand,zilch.nz,https://www.linkedin.com/company/zilchcarsnz
Cetogenix,"Cetogenix is a clean technology company focussed on developing sustainable solutions to tackle climate change at a global scale. Our first technology targets the 1.5 billion tonnes of organic waste generated world-wide and addresses the growing demand for renewable natural gas. By retrofitting existing waste-to-biogas plants, we can increase renewable natural gas production by up to 40% and recover other components as added-value products, such as bio-fertilizers. Cetogenix ‘s technologies eliminate the need for organic wastes to be landfilled or incinerated, lowering their environmental impacts, and generating novel added-value market opportunities.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Rotorua, Bay of Plenty, New Zealand",New Zealand,cetogenix.co.nz,https://www.linkedin.com/company/cetogenix
SDG Changemakers Ltd,"Healthy Planet, Healthy People, Healthy Business

At SDG Changemakers, we help businesses and organisations take practical steps toward a low-carbon, circular, and socially fair economy.

We make sustainability make sense—breaking down the three key pillars:
 Environmental Integrity
 Social Responsibility
 Commercial Resilience

Through hands-on support and meaningful projects, we guide businesses to unlock new opportunities, reduce impact, and build a future that works for everyone.

We’re also walking the talk — co-designing OraSoil hand-in-hand with Pacific farmers to create solutions that truly work for them.

Let’s create lasting change—together.

#Sustainability #CircularEconomy #SocialImpact #BusinessForGood #SDGChangemakers #OraSoil",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Waikato, New Zealand",New Zealand,sdgchangemakers.today,https://www.linkedin.com/company/sdg-changemakers
twiice,"Food Technology company based in Auckland, New Zealand.
More taste, less waste.
Certified B Corporation",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,twiice.co.nz,https://www.linkedin.com/company/twiicenz
Ternary Kinetics,"A sustainable liquid energy source that can be stored, pumped, and shipped",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Auckland, New Zealand",New Zealand,ternary.energy,https://www.linkedin.com/company/ternary-kinetics
