Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
KarbonWise,"KarbonWise is a sustainability solutions company that helps businesses take climate action with confidence and clarity.

We bring together expert advisory services and a cloud-based software platform to make sustainability measurable, manageable and meaningful.

From automated carbon accounting and life cycle analysis to ESG data management and reporting, we simplify the complex, so you can focus on what matters.

Our platform is built to align with leading global frameworks such as CSRD, GRI, TCFD and BRSR, making it easier to meet compliance requirements while delivering long-term value. At the same time, our advisory team supports clients with net zero strategy, supply chain engagement, climate risk assessments, and organisational enablement.

Whether you're just starting out or aiming for industry leadership, we meet you where you are - with the tools, insight and support to move forward, faster.

At KarbonWise, we believe sustainability should drive real business value, not just tick compliance boxes.

For every step of your journey.",Climate Data and Analytics,11-50 employees,Privately Held,"Dubai, United Arab Emirates",United Arab Emirates,karbonwise.com,https://www.linkedin.com/company/karbonwise
Oren,"Oren is Asia’s leading agentic AI platform for GHG accounting, sustainability reporting, supply chain sustainability, climate risk, and sustainable finance, helping enterprises turn ESG data into actionable intelligence.

Built for modern sustainability, risk, finance, and compliance teams, Oren brings all ESG and climate-related data into a single intelligent system of record. The platform automates data capture, validation, calculation, and reporting, enabling organisations to move beyond fragmented spreadsheets, manual follow-ups, and disconnected disclosure processes.

With agentic AI workflows, Oren helps enterprises calculate Scope 1, 2, and 3 emissions, manage supplier sustainability data, assess climate-related risks, identify eligible sustainable finance opportunities, and generate audit-ready reports across leading global and regional frameworks.

Oren is designed to support complex enterprise structures, multi-location operations, and supply chain-intensive businesses across industries such as manufacturing, BFSI, real estate, infrastructure, pharma, auto, chemical, FMCG, energy, and industrial sectors.

By combining automation, intelligence, and enterprise-grade data governance, Oren enables companies to strengthen compliance, improve transparency, reduce reporting effort, and make sustainability decisions with greater speed and confidence.

At Oren, we believe the future of sustainability will be powered by AI systems that make ESG, climate, and sustainable finance data measurable, scalable, and business-critical.",Climate Data and Analytics,51-200 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,orennow.com,https://www.linkedin.com/company/orennow
Climes,"Climes is India’s leading carbon intelligence platform (backed by Peak XV/Sequoia).

Our platform enables businesses to measure, report, and reduce their carbon footprint with accuracy across Scope 1, 2, and 3. It integrates seamlessly with existing systems, cleans and structures complex datasets, and produces audit-ready disclosures aligned with BRSR Core, Decree 11, and other global regulatory standards.

As part of our connected sustainability ecosystem, Climes API, Climes LITE, and Carbon Neutral Events enable organisations to integrate emissions data, activate climate-positive touchpoints, and fund verified avoidance and removal projects at scale.",Climate Data and Analytics,2-10 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,climes.io,https://www.linkedin.com/company/climes-io
Olive Gaea,"At Olive Gaea, we help enterprises turn complex sustainability, supply chain, and ESG data into actionable business intelligence. Our AI-powered platform, ZERO, goes beyond traditional carbon accounting and ESG reporting to provide decision intelligence that empowers leaders to optimize operations, de-risk supply chains, and future-proof their business.

We combine automated data collection, advanced analytics and scenario modeling, and identification of Impacts, Risks, and Opportunities (IROs) to help organizations make faster, smarter decisions - whether reducing emissions, identifying operational efficiencies, or embedding ESG into core business strategy.

Thanks to a unique blend of technology and expert advisory, we help organizations translate ESG intent into measurable business impact. Beyond the platform, we provide:
- Carbon APIs for product and service-level footprinting
- Strategic sustainability consulting, LCAs, and more
- High-integrity offsets to support net-zero commitments

Trusted by large enterprises and government entities across MENA and beyond, Olive Gaea helps global brands move from ESG compliance to strategic advantage, measurable impact, and long-term resilience.",Climate Data and Analytics,11-50 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,olivegaea.com,https://www.linkedin.com/company/theolivegaea
SustainInsight,"Transform sustainability from reporting into intelligence.

Backed by SBC in Europe, partnered with Microsoft, and trusted by leading organizations including DAMAC and Expo City Dubai.

SustainInsight is an AI-powered Sustainability Intelligence Platform helping organizations move beyond spreadsheets, disconnected systems, and manual reporting.

Powered by intelligent AI agents and developed by a team of sustainability experts, AI specialists, and technology leaders, SustainInsight combines deep domain expertise with advanced automation to create a connected ecosystem for end-to-end sustainability management.

From ESG reporting and carbon accounting to predictive insights and compliance management, the platform enables organizations to measure, automate, verify, and act with confidence — reducing time, cost, and effort while accelerating the journey toward Net Zero.

 What SustainInsight enables:

 AI Agents automating sustainability workflows, data collection, emissions calculations, and reporting

 AI-powered sustainability reporting aligned with GRI, IFRS, UN SDGs, CDP, and ISO frameworks

 Scope 1, 2 & 3 carbon intelligence across operations and supply chains

 ESG performance monitoring and compliance management

 AI-powered data capture through OCR and intelligent automation

 Predictive analytics for emissions forecasting and decarbonization planning

 Interactive real-time dashboards and actionable sustainability insights

One AI Platform. All Sustainability Decisions.",Climate Data and Analytics,11-50 employees,Privately Held,"Dubai, United Arab Emirates",United Arab Emirates,sustaininsight.com,https://www.linkedin.com/company/sustaininsight
Gonnect,"Gonnect is an AI-powered platform that helps companies measure, manage, and reduce their environmental impact.

By combining carbon analytics and ESG data automation, Gonnect enables organizations to track emissions, streamline reporting, and uncover actionable insights for smarter sustainability decisions.

From carbon footprint analysis to ESG performance dashboards — Gonnect transforms sustainability from a compliance task into a strategic growth opportunity.

At Gonnect, we’re building the digital core for global sustainability — empowering organizations with AI-driven tools to measure, manage, and accelerate their journey to net zero.",Climate Data and Analytics,2-10 employees,Partnership,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,,https://www.linkedin.com/company/gonnectgreenconnect
GeoAI Environmental Engineering Consultancy L.L.C,"We are an AI-based consulting company located in Abu Dhabi, dedicated to reducing the impacts of natural hazards and climate change in the world. With over 20 years of experience and international collaborations—including partnerships with several NGOs—we combine scientific expertise with practical solutions. Our multidisciplinary team, skilled in geoinformatics, AI, data science, environmental planning, GIS, and remote sensing, leverages advanced technologies like machine learning and geospatial intelligence. We deliver innovative, data-driven solutions in environmental monitoring, smart city planning, and risk management, focusing on climate resilience, urban sustainability, ecosystem conservation, and disaster risk reduction. Partner with us to achieve sustainable, long-lasting change.

We offer the national and international projects on:
- Climate Change & Global Warming; monitoring, modeling, and formulating strategies for mitigation and adaptation.
- Sand & Dust Storms (including Bioaerosols, Microbiology); advanced monitoring, modeling, and mapping of dust sources to mitigate risks.
- Flood Mapping, Modeling & Pre-Warning Platforms
- Water Bodies & Shrinkage; assessing changes in lakes, rivers, and wetlands, and examining their environmental and societal implications.
- Land Degradation, Land Use & Land Cover Changes; evaluating soil, vegetation, and surface transformations to support sustainable resource management.
- Coral Reef, Mangrove Conservation & Blue Carbon; protecting and restoring key coastal ecosystems to maintain biodiversity and natural resilience.
- Air Quality & Pollution Monitoring
- Coastal Resilience & Sea Level Rise
- Urban Environment and Life Quality, Risk & Hazard Assessments; applying geospatial analysis, machine learning, and AI to enhance urban sustainability and resilience.
- Oil Spill Detection, Tracking & Real-Time Monitoring
- Soil Salinization, its impacts & Predictive Modeling
- Site Selection Using Remote Sensing & GIS",Climate Data and Analytics,11-50 employees,Privately Held,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,geoai-consulting.com,https://www.linkedin.com/company/geoai-consultaing
CO2MENA,"CO2MENA is the first carbon accounting digital solution developed in the Middle East with particular focus on the region’s carbon footprint measurement and reduction. Carbon accounting enables organizations to measure, report, and manage their greenhouse gas emissions, contributing to environmental sustainability while unlocking economic advantages. By adopting carbon accounting practices, businesses can enhance their reputation, drive operational efficiency, comply with regulations, attract investors, and contribute to a low-carbon economy. CO2MENA is built to deliver on these benefits and potential insights into how organizations can successfully embark on their carbon accounting journey.

هو أول نظام رقمي لحساب انبعاثات الكربون تم تطويره في الشرق الأوسط مع التركيز بشكل خاص على قياس البصمة الكربونية في المنطقة والحد منها. تمكن محاسبة انبعاثات الكربون المؤسسات من قياس انبعاثات الغازات الدفيئة وإدارتها لتقليلها مما يساهم في الاستدامة البيئية مع إطلاق العنان للمزايا الاقتصادية. ومن خلال اعتماد ممارسات حساب الكربون، يمكن للشركات تعزيز سمعتها، وزيادة الكفاءة التشغيلية، والامتثال للوائح، وجذب المستثمرين، والمساهمة في اقتصاد منخفض الكربون. تم تصميم النظام لتقديم هذه الفوائد ودعم الاستراتيجيات المحتملة حول كيفية بدء المؤسسات بنجاح في رحلة حساب الكربون الخاصة بها.",Climate Data and Analytics,2-10 employees,Privately Held,"Dubai, United Arab Emirates",United Arab Emirates,co2mena.com,https://www.linkedin.com/company/co2mena
NetGreen.Live,"Plant with Purpose. Measure with Proof. Report with Confidence!

NetGreen is the UAE's only vertically integrated nature restoration company — combining government-licensed plantation execution with AI-powered MRV technology that turns every tree planted into a verifiable, reportable ESG asset.


Our commitment to transparency and measurable impact is validated by our elite standing within the UAE’s strategic initiatives:

Global Tech Endorsement: Proudly partnered with Microsoft for Startups and powered by Microsoft Azure infrastructure.

National Recognition: Shortlisted by Future 100 and Majra 100, placing NetGreen among the most promising enterprises contributing to the UAE’s future economy.

Making Impact with: with industry leaders such as Veolia (RECAPP), Green Future Project, Shattleh, WeForest, and Goumbook to deliver verifiable nature-based solutions.",Climate Data and Analytics,2-10 employees,Privately Held,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,netgreen.live,https://www.linkedin.com/company/netgreen-live
Avance Labs,"Avance Labs is a data-driven net zero platform established to decarbonize fuels and products across supply chains and de-risk first-of-a-kind green projects in hard-to-abate transport and industrial sectors.

We partner with project developers and collaborate with regulators and project financiers to enhance the bankability of first-of-a-kind green projects. 

We are a team of project developers and financiers, carbon accountants, and data scientists who developed and invested in over 7 GW of electricity generating capacity, advised on over $80 Bill in energy and infrastructure project transactions, and originated electricity interconnection projects.",Climate Data and Analytics,11-50 employees,Privately Held,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,avance.energy,https://www.linkedin.com/company/avance-labs
