Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Sustainability Online,"SustainabilityOnline.net is a site dedicated to sharing the latest news on ESG initiatives within the business and corporate sector, with a view to fostering positive, profitable change. Visit https://sustainabilityonline.net/ to learn more.",Media & Telecommunications,2-10 employees,Self Owned,"Dublin, County Dublin, Ireland",Ireland,sustainabilityonline.net,https://www.linkedin.com/company/sustainabilityonline-net
ShelfLife Magazine,"ShelfLife is Ireland’s retail authority and the leading trade publication in its category.
 
ShelfLife ranks #1 with buyers and retailers and has the highest circulation of any trade title in the country. With a footprint across several platforms, we provide our audience with critical insights and access to leading brands and solution providers.
 
ShelfLife is recognised as a leading and trustworthy brand, with a distinctive design and size making it unique in the market — and ensuring that it is the most read trade publication in its sector.

As well as ShelfLife magazine, we publish shelflife.ie, the Week in Grocery newsletter, ShelfLife Sourcebook Directory & A-Z Buyers Guide, as well as the CSNA Stockbook.

Our events include the annual Grocery Management Awards and national CStore Awards.

While our sister title Drinks Industry Ireland magazine, website and newsletter is the voice of Ireland’s licensed and hospitality trade and is the leading trade publication in its category.",Media & Telecommunications,11-50 employees,Privately Held,"Blackrock, County Dublin, Ireland",Ireland,shelflife.ie,https://www.linkedin.com/company/shelflife-magazine
Africa New Media Group,"We write, share and speak for GAP (Generation Alpha Plus) in Africa. Every day, millions of people interact with our content, across Africa and around the world through our partnership with MSN. Our generation is not the future - we are the present.",Media & Telecommunications,11-50 employees,Privately Held,"Malahide, County Dublin, Ireland",Ireland,,https://www.linkedin.com/company/africa-new-media-group
NewsBrands Ireland,"NewsBrands Ireland is the voice of the national news media industry. Our vision is to champion and secure a vibrant and sustainable future for the Irish news publishing industry, preserving its independence, and protecting its vital role as a key pillar of our democracy.",Media & Telecommunications,2-10 employees,Non Profit,"Dublin 4, County Dublin, Ireland",Ireland,newsbrandsireland.ie,https://www.linkedin.com/company/newsbrands-ireland
Maverick Social,"Our team specialises in creating spectacular video content for luxury brands, epic experiences and events on the world stage.   

We work for some of the finest hotels in Europe.  Including the 2022 CN Traveller's Readers' Choice ""Best Resort in the World"", Adare Manor.

The films we create are perfect for use on social media, on your website and for sharing with advisers, agents, suppliers and prospective guests.  They are also ideal for use at conferences such as ILTM and IMEX.",Media & Telecommunications,2-10 employees,Privately Held,"Dublin, County Dublin, Ireland",Ireland,maverick-social.com,https://www.linkedin.com/company/maverick-social-international
Writers' Bloc EU,"Writers' Bloc tracks, protects & monetises content, for independent publishers, freelance journalists, & creators, turning articles into royalty-earning assets.

Click. Protect. Earn. 

Join the waitlist for early access: https://getlaunchlist.com/pages/writers-bloc 

See it in action and how it can work for you: https://demo.writersbloc.eu/",Media & Telecommunications,2-10 employees,Privately Held,"Dublin 12, County Dublin, Ireland",Ireland,writersbloc.eu,https://www.linkedin.com/company/writers-bloc-eu
Half Baked,Startup ideas from the world's best founders. Delivered daily. Join 130K+ others.,Media & Telecommunications,2-10 employees,Privately Held,"Cork, County Cork, Ireland",Ireland,gethalfbaked.com,https://www.linkedin.com/company/gethalfbaked
Europe-Data.com,"Incorporating data about business, society, consumer behaviour, geography, demographics and various other segments, and featuring country-by-country information as well as pan-European insight, Europe-data.com offers a valuable snapshot of how we live, work, and play in Europe.",Media & Telecommunications,2-10 employees,Self Owned,"Dublin, County Dublin, Ireland",Ireland,europe-data.com,https://www.linkedin.com/company/europe-data-com
The Skipper,"Established in 1964, The Skipper has evolved into the leading commercial fishing publication in Ireland and the UK, with a monthly publication that is available in both digital and print editions. As part of the Donegal based media company Mara Media, The Skipper is printed as a glossy 48-page monthly magazine and is recognised as the leading marine media forum for coverage of all news and events within the fishing industry.

 

With a monthly audience of approximately 11,500 readers, The Skipper is available on subscription worldwide, with our monthly digital edition available at the touch of a button. It is also distributed throughout the year at a number of industry exhibitions and events, including our own Skipper Expos, meaning our reach is wide and is expanding all the time. Our website has on average 26,500 monthly visitors, as well as our strong social media presence with over 78,000 followers, The Skipper is dedicated to covering fishing related matters for our readership and is distributed and sold throughout Ireland & the UK’s coastal communities. 

 

Reflecting our position as a sector leader, the Skipper Expos have proven exceptionally successful and are the ideal place for anyone involved in the fishing industry to do business, network and keep updated with current trends.",Media & Telecommunications,2-10 employees,Self Owned,"Donegal, County Donegal, Ireland",Ireland,theskipper.ie,https://www.linkedin.com/company/the-skipper
Sustainable Media Ireland,"Sustainable Media Ireland is a voluntary sector-wide sustainability network for Irish media organisations and representatives of their supply chains.

Our vision is an Irish media sector that is a sustainability leader and that uses its collective voice to create a greener, more inclusive, more resilient future for all.

Sustainable Media Ireland strives to make a positive contribution to the United Nations Sustainable Development Goals.

An initiative of Coimisiún na Meán.",Media & Telecommunications,Self-employed,Non Profit,"Dublin, County Dublin, Ireland",Ireland,sustainablemedia.ie,https://www.linkedin.com/company/sustainable-media-ireland
