Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
CREAL,"CREAL brings natural vision to Augmented Reality.

AR glasses and headsets are meant to blend the digital and physical worlds, helping us see, learn, and work with greater clarity, confidence, and ease. Enhanced by AI, they’re already transforming fields like medicine, manufacturing, and automotive. Soon, they’ll extend into everyday life, gradually replacing our smartphones and laptops to become the next essential tool.

And an everyday tool must feel natural, healthy, and effortless.

Today’s smart glasses can’t deliver that. By projecting flat 2D images — or, at best, a simulated 3D — they keep digital content hovering apart from reality, while inferring headache and nausea to its user due to visual conflicts. Incremental display tweaks won’t fix it. The industry needs a revolution.

That’s where CREAL steps in, by building an entirely new kind of display. A real 3D display.

CREAL’s patented light field technology projects light rays exactly as they behave in the real world, enabling genuine 3D digital imagery. The digital content blends seamlessly with the surroundings, offering continuous focal depth for a truly natural, healthy and comfortable visual experience.

Combined with transparent and prescription lenses, CREAL’s display provides AR manufacturers with the missing ingredient to finally make AR glasses ready for everyday life.",Consumer Electronics,11-50 employees,Privately Held,"Écublens, Vaud, Switzerland",Switzerland,creal.com,https://www.linkedin.com/company/creal3d
Hexagon GeoCloud,"Hexagon GeoCloud creates a central source of truth for geodata, enabling teams to manage, share, collaborate, visualise, and apply AI‐powered analysis across projects, leveraging their data where and how they need it. Hardware-agnostic yet seamlessly integrated with Leica Geosystems’ hardware and 
software, GeoCloud gives organisations the flexibility to integrate it into their workflows. 

GeoCloud offers: 
• Scalable cloud infrastructure
• AI-powered analysis
• Streamlined management of diverse datasets across projects and teams
• Creation of sophisticated 3D spatial visualisations
• Ease of use in uploading data directly into the cloud
• Secure and smooth project sharing between field and office

GeoCloud allows teams to review data, validate accuracy, and make decisions without delays or costly 
return visits",Consumer Electronics,"10,001+ employees",Public Company,"Heerbrugg, St Gallen, Switzerland",Switzerland,hexagon.com,https://www.linkedin.com/company/hexagon-geocloud
DOUGH,"We create premium gaming hardware with our global community of tech enthusiasts. As the team behind DOUGH, we listen to end users and deliver their needs with the original intent. As a result, our team builds tech loved by customers. The most recent success is Spectrum, a series of high-end gaming monitors that do not scream ""gaming"" on the surface. Our new glossy finish enhances the user experience by providing more vibrant colors, deeper blacks, and sharper content.

Join our high-growth company to advance consumer technology through the power of many!

Check out our community: https://dough.community/",Consumer Electronics,11-50 employees,Privately Held,"Brunnen, Schwyz, Switzerland",Switzerland,dough.tech,https://www.linkedin.com/company/dough-technology
Rolling Square,"Rolling Square was founded in 2015, when we developed the world’s first keyring charging cable, inCharge. 
From packing and shipping products manually in a two-room apartment, in just a few years we have become an internationally recognized tech goods brand, with over 1 million products sold, 1000 B2B customers (including Google, Intel, Microsoft and IBM) and 17 different product releases. 
We focus on designing products that are actually useful and provide the best user experience. That’s how we got to be one of the most successful companies in tech crowdfunding across Europe.
Our vision for the future is to keep making products that solve problems, while shaping our fast-growing business as the largest tech minimalist community in the world.",Consumer Electronics,11-50 employees,Privately Held,"Chiasso, Ticino, Switzerland",Switzerland,rollingsquare.com,https://www.linkedin.com/company/rolling-square
Bang & Olufsen Genève,"Référence absolue en matière de hi-fi haut de gamme, Bang & Olufsen a su traverser les époques en créant des produits audio et vidéo de haute volée.",Consumer Electronics,11-50 employees,Privately Held,"Geneva, Geneva, Switzerland",Switzerland,laboutique-geneve.ch,https://www.linkedin.com/company/la-boutique-geneve
Nagra - Audio Technology Switzerland S.A.,"Audio Technology Switzerland has taken over the audio activities of the Kudelski group producing the famous Nagra audio recorders.

Nagra Audio designs, builds and markets a full range of portable digital audio recorders for Broadcast, Cinema, Music and Security professionals as well as a range of products for the High-End audiophile Hi-Fi industry.

Nagra equipment enjoys an unrivalled reputation for quality and reliability and has received the most prestigious OSCAR and EMMY awards recognizing this achievement.

Follow us on our social media :
https://www.facebook.com/nagraaudio
https://www.instagram.com/nagraaudio/
http://www.youtube.com/c/NagraAudioChannel
https://www.pinterest.ch/Nagraaudio/
https://twitter.com/NAGRAAudio",Consumer Electronics,11-50 employees,Privately Held,"Vaud, Switzerland",Switzerland,nagraaudio.com,https://www.linkedin.com/company/nagra-audio-technology-switzerland
RacingFuel Simulators,"Driven by sheer passion and in cooperation with active (and discouraged) racing drivers, engineers and mechanics, racing simulators of the highest caliber are created in a small Zurich studio. Since 2013, the simulator development is executed parallel to the training of racing drivers on their own simulators - accordingly, only selected components on the specially developed design and motion platform are installed.

Today, the team consists of the 4 other employees Jo, Marco, Yannick and Phil. As a drift instructor, mechanic, professional racer and growing sports driver, they embody motorsport and pass their gained knowledge at the in-house event and training center ""RacingFuel Academy"" - since 2018.",Consumer Electronics,2-10 employees,Privately Held,"Horgen, Zurich, Switzerland",Switzerland,racingfuel-simulators.com,https://www.linkedin.com/company/racingfuel-simulators
Wuerfeli by QE,"Driven by the passion to reshape the world. A truly sustainable world. But we cannot do it alone. Nobody can. We need everyone. Everything and everybody needs to change. But change requires awareness. Raising awareness for an elusive problem, a big task! Big tasks are best sliced into smaller ones. Really small ones. Like teaching people about air quality. That’s where we start. First indoor, then outdoor.

This is QE.

Where do you start?",Consumer Electronics,2-10 employees,Public Company,"Landquart, Graubünden, Switzerland",Switzerland,wuerfeli.ch,https://www.linkedin.com/company/qe-wuerfeli
TRUSTLESS.AI,"TRUSTLESS.AI  was closed in October 2023.

It was spun-off from the Trustless Computing Association in 2019 to build the system and supply chain architecture, prototypes and proof-of-concepts of an hardware and software endpoint platform - compliant to the Trustless Computing Certification Body - for sensitive non-classified and diplomatic communications (Seevik Net) and for control subsystems for critical AIs, and other society-critical subsystems, like mainstream social media feeds (Seevik Controls). 

The platform included a server-side endpoint platform, a multinational cloud, as well as a 2mm-thin client mobile device, carried in custom leather wallets or ""encased"" in the back of top-end Android phones, aimed at far outcompeting the iPhone Lockdown Mode in security & convenience. 

As ""spin-in"" of the Trustless Computing Association, it was bound to be owned by its Trustless Computing Certification Body, with its planned multi-national democratic governance, in a spin-in group architecture similar to that of the OpenAI.
The platform included a server-side endpoint platform, a multinational cloud, as well as a 2mm-thin client mobile device, carried in custom leather wallets or ""encased"" in the back of top-end Android phones, aimed at far outcompeting the iPhone Lockdown Mode in security & convenience. 

As ""spin-in"" of the Trustless Computing Association, it was bound to be owned by its Trustless Computing Certification Body, with its planned multi-national democratic governance, in a spin-in group architecture similar to that of the OpenAI.",Consumer Electronics,2-10 employees,Privately Held,"Zurich, Zurich, Switzerland",Switzerland,trustless.ai,https://www.linkedin.com/company/trustlessai
RED-DOLPHIN.,"Three experts in bringing IT products to the market are putting their efforts together to create something new...

RED-DOLPHIN is a platform for new products launch, e-tail, and distribution.
- Products – we select innovators providing the best experience in HealthTech, GreenTech, HomeTech, FoodTech, WineTech, GameTech, SwissTech
- Customers – B2C & B2B with core focus on Innovators & Early Adopters who want to feel different by using newest technology products
- Sourcing – identifying through Suppliers network and Customers inputs new products from companies doing the R&D, design, and production
- Supply Chain – fast and agile single inventory model",Consumer Electronics,2-10 employees,Privately Held,"Geneva, Switzerland",Switzerland,red-dolphin.ch,https://www.linkedin.com/company/red-dolphin
