Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Bumerang (acquired by Vytal),"Building the most impactful reuse community in Europe by unleashing the full potential of reusable container systems through technology.

Every year, 9 million tons of packaging waste get thrown away in Spain.

Bumerang is a company built to create systemic change and inspire circular economy solutions to tackle the environmental crisis. As a certified B-Corporation, Bumerang’s mission is to make it easy for people to reuse improving our planet’s health. So we aim to create the best technology each day, focusing on every detail to deliver high-quality service to our customers.

As a market leader, at Bumerang we offer the biggest reusable system in the food industry. Working closely with collective catering, entertainment, and leisure. We offer affordable, reliable, and ecological takeaway solutions to keep single-use out of landfills.

Headquartered in Barcelona, Bumerang is available in every city in Spain, with more than 250 partners nationwide. Founded in 2020 by engineer and surfer Oriol Segarra after traveling and working for the Ocean Clean Up to keep single-use out of our oceans.

We’re always looking for motivated people to join us to keep bringing change. If you’re crazy about re-use, re-pair, and re-thinking the system and love being outdoors and activism, let’s get in touch.

Visit youbumerang.com to learn more.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Barcelona, Catalonia, Spain",Spain,,https://www.linkedin.com/company/vytalspain
Universal Plastic,"Universal Plastic is a science-driven tech company providing the data infrastructure needed to understand and mitigate marine plastic pollution.

We empower governments, institutions, and businesses to monitor coastlines through reliable, verifiable data. Our platform integrates citizen science, sensor networks, laboratory analysis, and other validated sources to transform fragmented environmental information into operational intelligence. This enables decision-makers to identify coastal risks, prioritize interventions, and measure real environmental impact.

By connecting local monitoring efforts with scientific and policy frameworks, we help turn distributed environmental data into shared knowledge that supports coordinated action.

Our goal is to make ocean plastic data trustworthy, traceable, and usable, enabling more effective ocean management and accelerating the transition to a resilient blue economy.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Barcelona, Catalonia, Spain",Spain,universalplastic.io,https://www.linkedin.com/company/universal-plastic®
MacroCarbon,"We’re turning an ocean crisis into a climate solution. 

We are a Canaries-based company innovating to grow floating seaweeds at scale. With our MACROalgae, we can produce sustainable aviation fuel that reduces emissions, restores marine ecosystems, and brings economic opportunities to coastal communities, all while sequestering CARBON into biochar.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Canary Islands, Spain",Spain,macrocarbon.world,https://www.linkedin.com/company/macrocarbon
Nido,"Heating & cooling accounts for nearly half of all energy consumption and 40% of energy-related carbon dioxide emissions. In the EU 65M+ boilers are over their useful life and 95% of them use fossil fuels and these need urgent change.

At Nido, we are streamlining heat pump installation in the residential sector, enabling users to transition to clean heating & cooling faster with affordable pricing. We also support installers get the best out of their time by removing time consuming tasks and allowing them to focus on their preferred task - home installations! 

 For a free quotation go to GoNido.com
 Remodeling partners email us at partners@GoNido.com
 Installers email us at installers@GoNido.com",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Madrid, Community of Madrid, Spain",Spain,gonido.com,https://www.linkedin.com/company/gonido
H2CAT,H2CAT és la xarxa catalana d'innovació i escalabilitat del coneixement en tecnologies diferencials en l`àmbit de l'hidrogen renovable. El nostre objectiu és incrementar els indicadors de productivitat científica i generar actius tecnològics amb retorn econòmic de la recerca catalana en l’àmbit de l’hidrogen verd,Climate Technology Product Manufacturing,51-200 employees,Privately Held,"Barcelona, Catalonia, Spain",Spain,,https://www.linkedin.com/company/h2cat
Ecomemb,"Ecomemb es una spin-off de la Universidad de Girona (UdG) y del Instituto Catalán de Investigación del Agua (ICRA) dedicada a la regeneración sostenible de membranas de ósmosis inversa, siendo los filtros industriales más empleados para el tratamiento de agua.

Somos la primera empresa europea especializada en la regeneración de membranas de ósmosis inversa para su reutilización en los mismos procesos para las que fueron diseñadas.

Con nuestra tecnología patentada, garantizamos la calidad y la durabilidad para cada cliente, y contribuimos de esta manera a la sostenibilidad del planeta.

Ecomemb, alarga la vida de las membranas manteniendo al mismo tiempo todas las garantías en la operación. Las membranas Ecomemb son ecológicas, fiables, económicas y están disponibles. En el caso de regenerar las propias membranas del cliente ofrecemos tiempos de respuesta de menos de 4 semanas para la devolución de las mismas. 

Ecomemb alinea a tu empresa con la economía circular y con los objetivos de desarrollo sostenible. El uso de las membranas permite

-	Ahorrar hasta un 60% de los costes de reposición de membranas
-	Utilizar menos energía en la filtración alcanzando los estándares de calidad del agua
-	Aumentar la vida útil de la membrana entre el 50%-100%.
-	Evitar la emisión de 85 kg de CO2 por membrana
-	Evitar el envío a vertedero de 12 kg de plástico y el uso de recursos fósiles para manufacturar una membrana nueva

No te quedes atrás, únete a la comunidad ecomember!",Climate Technology Product Manufacturing,2-10 employees,Self Owned,"Girona, Catalonia, Spain",Spain,ecomemb.com,https://www.linkedin.com/company/ecomemb-sl
Murarte Global,"Murarte Global es un grupo internacional de tecnología climática que desarrolla soluciones urbanas y de movilidad sostenible con impacto real, medible y escalable.

Operamos en Europa, Latinoamérica y Norteamérica, con oficinas en Madrid, Bogotá, Múnich y Houston, acompañando a empresas y administraciones públicas en su transición hacia modelos urbanos más eficientes, saludables y alineados con objetivos ESG y Net Zero.

Nuestra actividad se estructura en dos líneas de negocio:

Soluciones Urbanas: Diseñamos y ejecutamos proyectos urbanos 360o que integran ciencia, diseño y economía circular. Nuestro portafolio incluye NaNOx, Señalética Sostenible, Green Gardens y Ecolum: soluciones propias con patentes y certificaciones internacionales, orientadas a la mejora de la calidad del aire, la transformación de espacios, la revalorización de activos y la activación de marca en el entorno urbano.

eMovilidad: A través de Uflou, ofrecemos soluciones digitales para el cumplimiento normativo, la gestión de planes de movilidad sostenible, la optimización de desplazamientos corporativos y la generación de certificados de ahorro energético, convirtiendo la movilidad en un activo estratégico.

En Murarte Global no hablamos de sostenibilidad: la implementamos, la medimos y la comunicamos.

Transformamos ciudades. Generamos impacto positivo.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Pozuelo de Alarcón, Community of Madrid, Spain",Spain,murarteglobal.com,https://www.linkedin.com/company/murarte-global
DENODL,"We are a technology company specialized in the development of innovative solutions in sensing, software, and data analytics, designed to optimize resource use and improve plant quality and productivity in the agricultural sector, sports turf management, and professional landscaping.

Our commitment is to provide simple and accessible technologies that enable informed, cost-effective, and sustainable decision-making for irrigation and crop care.",Climate Technology Product Manufacturing,11-50 employees,Self Owned,"Sarriguren, Chartered Community of Navarre, Spain",Spain,denodl.com,https://www.linkedin.com/company/denodltech
Agrolinera,"Agrolinera es una empresa de Asturias que desarrolla y opera tecnologías que faciliten la recogida y valorización de lactosuero y purín en comunidades rurales minifundistas. 

La actividad de Agrolinera, pionera en nuestro país, consistirá en la venta y operación de equipos automatizados de recogida y pretratamiento que permitan aprovechar estos recursos de una manera racional y sostenible. 

Agrolinera se dirige preferentemente a los gestores de residuos y plantas de biogás que trabajan con ganaderías de leche tradicionales. Su sistema es particularmente útil en comunidades rurales productoras de quesos artesanos que se encuentran en zonas de montaña y que son, además, medioambientalmente sensibles. 

El objetivo -al rentabilizar la recogida del residuo- es mejorar la calidad de vida de los ganaderos y permitirles, al tiempo, una gestión económica y sostenible de los recursos que generan. De este modo se facilita cumplir la normativa, se protege el medioambiente y se fija población en las comunidades rurales.

El equipo empresarial de Agrolinera está formado por los dos socios fundadores, que tienen experiencia en desarrollo de proyectos de energías renovables, soluciones de datos aplicadas a cadena de suministro, sistemas de gestión medioambiental y operación logística multimodal.",Climate Technology Product Manufacturing,2-10 employees,Self Owned,"Llanera, Principality of Asturias, Spain",Spain,agrolinera.com,https://www.linkedin.com/company/agrolinera
Miber,"Somos una empresa especializada en el sector de servicios, comprometidos con el montaje y mantenimiento de instalaciones. 

Nuestra misión es proporcionar un servicio excepcional en cada etapa de los proyectos que emprendemos. En MIBER, consideramos que la calidad, seguridad, puntualidad e innovación son los pilares fundamentales en todas nuestras interacciones con clientes, proveedores, personal y con la sociedad en general. 

Participamos activamente en todas las fases de los proyectos en los que nos involucramos. Desde el diseño e ingeniería, pasando por la instalación y montaje, hasta la puesta en marcha, mantenimiento y asistencia técnica, así como en diagnósticos y reparaciones.

La innovación está en el corazón de todo lo que hacemos. Siempre buscamos nuevas formas de mejorar nuestros servicios y adoptar las últimas tecnologías para ofrecer soluciones avanzadas y eficientes.

Si buscas una empresa confiable para tus proyectos de instalación y mantenimiento, no dudes en contactar con MIBER. Estamos listos para brindarte soluciones a medida y un servicio excepcional en cada paso del camino.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Puebla de Vallbona, Valencian Community, Spain",Spain,miber.es,https://www.linkedin.com/company/miber-instalaciones-y-montajes-industriales-sl
