Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
temi Robots,"Temi - robots as a service.
Cost effective, 24/7 autonomous staff member, for everyday tasks, and with focus on engagement efficiency.
temi is a multinational robotics company that specializes in Robot as a Service solutions (RaaS), autonomous platforms, Al, smart assistant and cloud-based services.

We develop professional and customer-centric solutions for all segments and customers worldwide including Home, Hospitality, Retails, Medical, Industrial, Commercial and all other relevant applications.

Temi is part of Robocore, the spin-off company of the largest Mistubishi automation solution provider, Tung Hing Enterprise, in China. 

We also develop solutions by integrating smart external sensors on the platforms such as wellness sensors, medical-grade sensors and others.

Apart from service robot, we are cooperating with Verobotics, the facade cleaning robot developer, to promote smart building exterior maintenance, and combining our Robot Management System, Zpine, with the digital twin solutions from Das Intellitech",Robotics Engineering,51-200 employees,Privately Held,"Singapore, Singapore",Singapore,robotemi.com,https://www.linkedin.com/company/robotemi
Eureka Robotics,"Eureka Robotics' AI Vision System is an integrated solution of 3D camera, controller and software for bin picking and vision-guided robotics.

A super-model trained on millions of parts, together with software accessible to entry-level users, reduces deployment time by months compared to conventional vision projects. The system integrates with any robotic arm and operates as an open platform: models can run locally, engineers can train new parts in-house, and no subscription fees apply.",Robotics Engineering,51-200 employees,Privately Held,"Singapore, Singapore",Singapore,eurekarobotics.com,https://www.linkedin.com/company/eurekarobotics
BeeX,"BeeX designs and operates a fleet of fully autonomous underwater drones aimed at transforming underwater capabilities at scale. 

Where traditional inspection requires teams of specialists and large supporting vessels offshore, BeeX drones operate entirely on their own. Our approach delivers industry-grade underwater data at a fraction of traditional costs and project schedules, consistent and repeatable across any environment.

With global deployments across complex underwater conditions, 14 years of proprietary subsea data, the largest fleet of operational underwater drones, and drone acquisition contracts with the Singapore Ministry of Defence, we're leading the most advanced end-to-end solution for underwater inspections, and the most scalable operating model in the industry.

Interested to learn more? Reach us at hello@beex.sg",Robotics Engineering,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,beex.sg,https://www.linkedin.com/company/beexsg
Sensory AI,"Sensory AI builds Physical AI infrastructure for the service economy.
We make autonomous service stores where AI agents, robotics, and human operators work together as one governed operating system - running locally on edge silicon, learning across a connected fleet.

Our flagship deployment, Ella The Robot Barista, is a live multi-agent Physical AI store. Specialized AI agents handle customer interaction, system operations, and store-level business intelligence. A deterministic orchestrator commands the robot. SensoryOS, our cloud reasoning layer, aggregates telemetry across the fleet, identifies patterns, and pushes human-approved improvements back to every store over the air.

The architecture is the product, AI agents reason, deterministic systems execute, and humans govern. Every store self-heals from anomalies, self-optimizes against fleet-wide patterns, and gets better every day.
Physical AI has spent its first chapter in factories and warehouses. We are building the infrastructure for its next chapter - in retail, hospitality, food service, and every corner of the service economy where intelligence, robotics, and real-world operations need to work as one system.

Headquartered in Singapore.",Robotics Engineering,11-50 employees,Self Owned,"Singapore, Singapore",Singapore,sensoryai.pro,https://www.linkedin.com/company/sensoryai
Sharpa,"Sharpa is an AI robotics company dedicated to developing ultra-high performance robots and core components, unlocking the limitless possibilities of future general-purpose robotic applications.
We are hiring: talent@sharpa.com",Robotics Engineering,51-200 employees,Privately Held,"Singapore, Singapore",Singapore,sharpa.com,https://www.linkedin.com/company/sharpa-robotics
Tashi Network,"Tashi Network is the Coordination Layer for Intelligent Systems, empowering robotics communication and AI agent coordination. Tashi replaces centralized coordination with a verifiable, distributed fabric where independent systems can synchronize, validate, and settle actions in real time; without servers.",Robotics Engineering,11-50 employees,Privately Held,"Singapore River, Central, Singapore",Singapore,tashi.network,https://www.linkedin.com/company/tashinetwork
PBA Group,"PBA are the leading experts in ultra-precision motion control and mechatronic solutions, providing cutting-edge technologies designed to deliver unmatched accuracy and performance. 

With close to 40 years of expertise, our team is dedicated to developing innovative precision motion solutions that integrate mechanical engineering, electronics, and advanced control systems for a wide range of industries, including semiconductor, automation, photonics/optics, and medical devices.
Our solutions ensure ultra-precise movement, reliability, and efficiency, meeting the most demanding application requirements. Whether you need high-performance motion control, custom mechatronic designs, or integration services, we are committed to delivering tailored solutions that push the boundaries of what's possible.

PBA specialises in direct drive products, as well as high and ultra-precision precision motion solutions, with cutting-edge technology at the forefront of our motion automation expertise. Our system partners and OEM machine builders look for PBA to elevate their solutions for exceptional precision, reliability, and innovation in motion control and mechatronics. 

PBA Group has over 15 owned and operated facilities worldwide and more than 450 employees regionally, with a strong Asia focus and growing global presence. For more information on PBA Systems, please visit www.pbasystems.com.sg",Robotics Engineering,"501-1,000 employees",Privately Held,"Singapore, Singapore",Singapore,pbasystems.com.sg,https://www.linkedin.com/company/pba-motion
Avetics Global,We are an AI first company (just kidding...) we are just a regular drone company and 50% of what we do is not on our website.,Robotics Engineering,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,avetics.com,https://www.linkedin.com/company/avetics-global
AliciaBots,"We are a robotics startup company aspiring to solve maritime challenges using robotics. We offer automated and cost-efficient solutions for cleaning, inspection, and monitoring with an aim to make the workplace safer and more efficient. We want to be a credible link between the maritime industry and automation.",Robotics Engineering,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,aliciabots.com,https://www.linkedin.com/company/aliciabots
Fabrica AI,"Fabrica AI invented an autonomous tile grouting robot that operates with a single press of a button powered by Computer Vision and Robot Operating System (ROS). The robot is able to fill up the grout in all the grout lines and navigate past obstacles such as pipes and drain holes to automate the tile grouting process. Human intervention is only needed to move the robot from room to room, reload grout, and change water, and the robot does not need to be supervised while in operation. Real-time mapping of the rooms (including irregularly shaped corridors and the main living area) and grout an entire apartment with no need to upload any floor plan beforehand. No BIM or any prior set-up is required. The robot is small (under 60cm on each side),  reasonably lightweight (roughly 60kg), and can be easily operated by one person and able to navigate tight spaces such as corridors in smaller homes.  
Besides, using the robot means that workers do not need to bend down for grouting which may hurt their knees and back over time. Our robot also ensures high quality of grouting as it is consistently able to compress grout within gaps and not just produce a nice surface finish. This will prevent grout from falling out over time leaving behind hollow gaps in tile joints where dirt can accumulate.",Robotics Engineering,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,fabrica.ai,https://www.linkedin.com/company/fabrica-ai
