Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Eaton,"Eaton is an intelligent power management company dedicated to improving the quality of life and protecting the environment for people everywhere. We are guided by our commitment to do business right, to operate sustainably and to help our customers manage power ─ today and well into the future. By capitalizing on the global growth trends of electrification and digitalization, we’re accelerating the planet’s transition to renewable energy and helping to solve the world’s most urgent power management challenges.

Eaton is an Equal Opportunity Employer. Eaton is committed to ensuring equal employment opportunities for all job applicants and employees. Employment decisions are based upon job-related reasons regardless of an applicant's race, color, religion, sex, sexual orientation, gender identity, age, national origin, disability, marital status, genetic information, protected veteran status, or any other status protected by law.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees",Public Company,"Dublin 4, County Dublin, Ireland",Ireland,eaton.com,https://www.linkedin.com/company/eaton
Bright Electrical Services,Fully Registered Electrical Contractor Safe Electric Registered Registered Electrical EV Installer with (myenergi) Domestic/Commercial/Industrial Electrician service All aspects of electrical work carried out to a high standard. Electrical maintenance. New installs. 24hr emergency call out service,"Appliances, Electrical, and Electronics Manufacturing",Self-employed,Self Employed,"Bettystown, County Meath, Ireland",Ireland,,https://www.linkedin.com/company/bright-electrical-services
On Site Power Generation Ltd,"Our company was founded in 1999, when we established that there was a niche in the market for Generator supply, maintenance and repair.  The past 20 years have been spent building our business, learning and cultivating relationships with generator providers such as Meccalte, CGM and Smartgen.  Some of our local customers include Supervalu, Sulzar Pumps and Lisavaird Co op.","Appliances, Electrical, and Electronics Manufacturing",2-10 employees,Privately Held,"Wexford, Wexford, County Wexford, Ireland",Ireland,powergen.ie,https://www.linkedin.com/company/on-site-power-generation-ltd
IQ Engineering Ltd,"Quality Management Systems
EHS Management Systems
Project Management
Technical translations","Appliances, Electrical, and Electronics Manufacturing",Self-employed,Self Owned,Ireland,Ireland,iqengineeringltd.com,https://www.linkedin.com/company/iq-engineering-ltd
EMP ELECTRICAL LTD,EMP ELECTRICAL LTD is an electrical/electronic manufacturing company based out of Dunboyne Co.Meath,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,Self Owned,"Dunboyne, County Meath, Ireland",Ireland,,https://www.linkedin.com/company/emp-electrical-ltd
Hormann Electronics Ltd.,,"Appliances, Electrical, and Electronics Manufacturing",51-200 employees,,"Cork, County Cork, Ireland",Ireland,hormann.ie,https://www.linkedin.com/company/hormann-electronics-ltd-
"CASE-WS, Ltd. (Case Weighting Services Limited)",,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,Privately Held,"Ennis, County Clare, Ireland",Ireland,,https://www.linkedin.com/company/case-weighting-services-limited
Professional Surge Ja. Ltd,"A family owned company, continuing the legacy of Professional Services, we design and manufacture high quality surge protection and voltage monitors customized for Jamaica's unique electrical needs. We believe in constant innovation while never compromising on class, premium value, or interpersonal relationships.","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Privately Held,"County Dublin, Ireland",Ireland,,https://www.linkedin.com/company/professional-surge-ja-ltd
iCashco,iCashco is an Irish Company that has been developing and manufacturing highly reliable and functioning cash handling systems for the retail sector since 2015.,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,Privately Held,"Portlaoise, County Laois, Ireland",Ireland,icashco.com,https://www.linkedin.com/company/icashco
Mobile Signal Boosters Ireland,The wireless mobile network is the most widely used means of communication in this world. One of the biggest and most frequent complaints made by mobile users is having ‘poor signal’. That is where the Ireland Booster industry comes in. It has been around for decades.We have been in this industry for more than 10 years and understand how important it is to find a solution to this problem. We provide innovative signal solutions after much research and we developed a line of highly efficient mobile phone reception boosters. The signal boosters are specifically created for use around the Ireland.,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Privately Held,"Dublin, County Dublin, Ireland",Ireland,irelandboosters.com,https://www.linkedin.com/company/mobile-signal-boosters-ireland
Powerohm Limited,"Celebrating 25 years in business  1994-2019  POWEROHM was established in 1994 and has grown steadily to become a highly regarded LV Switchgear Manufacturer.  Clients include businesses in Healthcare, Pharmaceutical, Data and Technology Centres, Leisure and Recreational and Commercial areas.  PowerOhm is highly regarded in the electrical industry with its main focus upon:    §  Low Voltage Switchgear for Power Distribution  §  Motor Control and Process Control Centres           §  Generator Control","Appliances, Electrical, and Electronics Manufacturing",,,"Limerick, County Limerick, Ireland",Ireland,powerohm.ie,https://www.linkedin.com/company/powerohm-limited
H20 TURBINES LTD,,"Appliances, Electrical, and Electronics Manufacturing",,,"County Wexford, Ireland",Ireland,h2oturbines.com,https://www.linkedin.com/company/h20-turbines-ltd
C. SCOPE INTERNATIONAL LIMITED,,"Appliances, Electrical, and Electronics Manufacturing",,,"Ashford, County Wicklow, Ireland",Ireland,,https://www.linkedin.com/company/c.-scope-international-limited
Porto Internet Solutions,"We provide products required by IT Directors and Facilities Managers of any size Data Centres and we also offer Internet Marketing to small and medium busnesses through the acquistion of a local licence of a leading Internet Marketing corporation. We are now authorized agents for Great Bulbs which supply energy saving bulbs for homes and businesses and we are agents for Riello UPS, which can save you money on your energy bills.

Porto Internet Solutions are investing heavily in conducting their business online and that's why we have just launched hampers4gifts.ie in which we are providing the opportunity for the Social Media Community to let us know what they want in their hampers.

You can also shop online at www.greatbulbs.ie for your energy saving bulbs and use coupon number AZ648MP and get a further 10 % off. We will launch another business in early December appealing to the consumer market. In the new year a new e-commerce site for the electrical company with in the organization will be launched incorporating energy efficient bulbs, lighting and Riello UPS.","Appliances, Electrical, and Electronics Manufacturing",2-10 employees,Privately Held,"Navan, County Meath, Ireland",Ireland,,https://www.linkedin.com/company/porto-internet-solutions
VEONIS TECHNOLOGIES LIMITED,,"Appliances, Electrical, and Electronics Manufacturing",2-10 employees,,"County Dublin, Ireland",Ireland,,https://www.linkedin.com/company/veonis-technologies-limited
