Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
ICL Group,"ICL is a leading global specialty minerals company that creates impactful solutions for humanity’s sustainability challenges in the global food, agriculture, and industrial markets. 
The company's unique set of natural resources, passionate team of talented employees, and technological ingenuity, create impact by scaling up food production, ensuring food quality, enabling sustainable agriculture and industrial production, and protecting the environment.
The Company employs approximately 12,000 employees worldwide and operates 48 plants in 13 countries worldwide in strategic locations 
ICL’s three main pillars that define and set its guidelines: 
Ingenuity: our innovation is created by passionate employees, unparalleled R&D infrastructure, and multiple partners, all forming a unique ecosystem. 
Care: we focus on doing what is right for our employees, business partners, shareholders, communities, and the environment.
Leadership: we are market leaders in innovation, cost management, and sustainability, thanks to a performance-driven, can-do mindset, and our winning spirit.",Climate Technology Product Manufacturing,"10,001+ employees",Public Company,"Roswell, Georgia, United States",United States,icl-group.com,https://www.linkedin.com/company/icl-group
"CarbonLogicX, Inc.","Welcome to CarbonLogicX – Where Innovation Meets Sustainability!

About Us:
At CarbonLogicX, we are on a mission to redefine sustainability by harnessing the power of innovative technology. As a leader in the environmental solutions space, we specialize in transforming agricultural waste into a valuable resource through our cutting-edge MicroHub technology.

Our Vision:
Empowering communities and industries to embrace a circular economy, we envision a world where waste becomes opportunity. CarbonLogicX is at the forefront of climate action, offering sustainable solutions that mitigate environmental impact while fostering socio-economic growth.

What Sets Us Apart:
Eco-Logic Innovation: Our modular and mobile pyrolysis MicroHubs are designed for eco-logic, converting agricultural waste into biochar, a stable form of carbon that enhances soil health and promotes carbon sequestration.

Holistic Impact: Beyond waste management, CarbonLogicX actively contributes to multiple United Nations Sustainable Development Goals (UN SDGs), including No Poverty, Zero Hunger, Clean Water and Sanitation, Decent Work and Economic Growth, Responsible Consumption, and Climate Action.

Nature-Inspired Solutions: Our commitment to sustainability is embedded in every aspect of CarbonLogicX. We draw inspiration from nature to develop solutions that align with the principles of ecological balance and environmental harmony.

Join Us on the Sustainability Journey:
Whether you are a partner, stakeholder, or simply an advocate for positive change, join us on this transformative journey. Together, let's build a sustainable future for generations to come.

Connect with us to stay updated on our latest innovations and initiatives in the realm of environmental sustainability. Let's make a difference, one carbon-conscious step at a time!  

#CarbonLogicX #Sustainability #Innovation #ClimateAction",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Salt Lake City, Utah, United States",United States,carbonlogicx.com,https://www.linkedin.com/company/carbonlogicx
Energy IoT Open Source,"Energy IoT Open Source is a non-profit 501 (3)c organization established to accelerate the open source development of software and hardware for Energy IoT as a basic platform for democratizing the microgrid for micro-utility sites.  
  
The main goals are to simplify, standardize, and reduce cost for access to micro-grid solutions everywhere.	
	 	 	
  Energy IoT or ""Energy Internet of Things"" requires the same security rigor as industrial IoT and the affordability of consumer IoT.",Climate Technology Product Manufacturing,2-10 employees,Non Profit,"Oakland, California, United States",United States,eiot.energy,https://www.linkedin.com/company/energy-iot-open-source
"Buoy, LLC","Buoy provides a reusable food ware system for communities as a whole including Buoy's restaurant and consumer facing app, Buoy's own washing operations, container recovery and re-distribution and Buoy's own products made from 100% recycled ocean bound plastic, re-recycled by us when damaged into new containers, Made in California with 100% solar power.",Climate Technology Product Manufacturing,2-10 employees,Partnership,"Los Angeles, California, United States",United States,buoyzero.com,https://www.linkedin.com/company/buoyecodesign
Sealor,Sealor creates underground barrier walls by making use of microbiological precipitation in limestone to reduce and stop bottom up flooding which is the main cause of the South Florida flooding events,Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Miami, Florida, United States",United States,sealor.com,https://www.linkedin.com/company/sealor
"RedNOx, Inc.","RedNOx, Inc. is a Silicon Valley–based climate technology company pioneering ultra-sensitive gas sensor solutions for agriculture and heavy-duty mobility. 

Founded by Dr. Solomon Ssenyange, Dr. Prabir Dutta, and Dr. Darby Makel, the company leverages decades of expertise in chemistry, sensor design, and commercialization to address two critical global challenges:
 • Reducing nitrogen fertilizer emissions (N2O and NO) in agriculture.
 • Enabling ultra-low NOx emissions compliance for heavy-duty engines.

With headquarters in Fremont, California, RedNOx is building a platform that combines hardware innovation with data-driven insights to deliver measurable environmental and economic value.",Climate Technology Product Manufacturing,2-10 employees,Partnership,"Fremont, California, United States",United States,rednoxinc.com,https://www.linkedin.com/company/rednox-inc
Climate&Hand,"We believe sustainability and profit goes hand in hand. We offer hands-on consulting services to help organizations that care (or are curious) about sustainability bring their ideas to life. Our team is experienced at product development & management, entrepreneurship, and technology consulting. We have experience working with teams ranging from established companies to early stage startups. Some of our past projects include:

-planned the startup showcase for Uganda’s inaugural climate tech conference [2024]
-created market expansion strategy for client in BCI industry [2024]
-created user research strategy for client in construction tech industry [2024]
-consulted with an internal team (inside a 150 people, venture backed organization) to triple sustainability budget [2024]
-built functional MVP for client in agtech/robotics/wearable industry [2023]
-helping 100+ hands-on engineers transition and find jobs at ClimateTech companies [2023]",Climate Technology Product Manufacturing,2-10 employees,Self Owned,"Roxbury Crossing, Massachusetts, United States",United States,,https://www.linkedin.com/company/climate-hand
EARTHICS,We turn unconventional carbon feedstocks to critical materials.,Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Chicago, Illinois, United States",United States,earthics.net,https://www.linkedin.com/company/earthics
Recast Systems,Next generation weather modification,Climate Technology Product Manufacturing,2-10 employees,Privately Held,"San Francisco, California, United States",United States,recastsystems.com,https://www.linkedin.com/company/recastsystems
"Kepler ReCapture, Inc","Kepler ReCapture's Mission: Rebalance the Earth’s carbon cycle to near pre-industrial levels!  We are a global, interdisciplinary team of 20+ professionals from the fields of biochemistry, oceanography, naval architecture, information technology, business development, and finance. 

Kepler’s approach to the Carbon Removal is applying an ocean-based, platform that extracts excess CO2 (from air and oceans) and converts it into durable product streams that never decompose back into greenhouse gasses like building products, sea wall construction, and high valued carbon fiber products and graphene all profitably.

On our way to the carbon removal goal, we are able to address several global environmental concerns with not just ""clean"" carbon products, desalinated water, and brine products.  Carbon capture from the environment is an energy intensive process.  The Kepler solution not only achieves onboard production of marine energy for sea water processing, but also produces excess energy.

Kepler Recapture is the world's first ocean-based, sustainable, CO2 mining operation set to reach the IPCC’s critical gigaton-scale by 2035.  As we align the machinery of man with the machinery of nature, Kepler ReCapture aims to become the vanguard of these emerging multi-trillion dollar markets.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Lewes, Delaware, United States",United States,keplerrecapture.com,https://www.linkedin.com/company/kepler-recapture
Uplift Geosystems,"Uplift Geosystems is developing cost-saving, waste-reducing, and safe equipment and processes for regenerating acid from steel pickling operations, critical mineral refining, and carbon removal projects.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Baltimore, Maryland, United States",United States,upliftgeosystems.com,https://www.linkedin.com/company/upliftgeosystems
